TIME,SUBJECT,COVERAGE
0,ERC721.sol,0
6,ERC721.sol,36.84
10,ERC721.sol,36.84
15,ERC721.sol,36.84
19,ERC721.sol,36.84
24,ERC721.sol,36.84
30,ERC721.sol,36.84
35,ERC721.sol,36.84
39,ERC721.sol,36.84
44,ERC721.sol,36.84
49,ERC721.sol,36.84
54,ERC721.sol,36.84
58,ERC721.sol,36.84
63,ERC721.sol,36.84
68,ERC721.sol,36.84
73,ERC721.sol,36.84
78,ERC721.sol,36.84
83,ERC721.sol,36.84
88,ERC721.sol,36.84
93,ERC721.sol,36.84
98,ERC721.sol,36.84
103,ERC721.sol,36.84
107,ERC721.sol,36.84
112,ERC721.sol,36.84
118,ERC721.sol,36.84
123,ERC721.sol,36.84
129,ERC721.sol,36.84
134,ERC721.sol,36.84
139,ERC721.sol,36.84
143,ERC721.sol,36.84
147,ERC721.sol,36.84
154,ERC721.sol,36.84
158,ERC721.sol,36.84
163,ERC721.sol,36.84
169,ERC721.sol,36.84
174,ERC721.sol,36.84
179,ERC721.sol,36.84
183,ERC721.sol,36.84
189,ERC721.sol,36.84
195,ERC721.sol,36.84
200,ERC721.sol,36.84
206,ERC721.sol,36.84
211,ERC721.sol,36.84
216,ERC721.sol,36.84
221,ERC721.sol,36.84
227,ERC721.sol,36.84
232,ERC721.sol,36.84
238,ERC721.sol,36.84
244,ERC721.sol,36.84
248,ERC721.sol,36.84
255,ERC721.sol,36.84
260,ERC721.sol,36.84
266,ERC721.sol,36.84
273,ERC721.sol,36.84
279,ERC721.sol,36.84
283,ERC721.sol,36.84
288,ERC721.sol,36.84
294,ERC721.sol,36.84
301,ERC721.sol,36.84
308,ERC721.sol,36.84
315,ERC721.sol,36.84
319,ERC721.sol,36.84
323,ERC721.sol,36.84
330,ERC721.sol,36.84
335,ERC721.sol,36.84
341,ERC721.sol,36.84
347,ERC721.sol,36.84
354,ERC721.sol,36.84
358,ERC721.sol,36.84
363,ERC721.sol,36.84
366,ERC721.sol,36.84
370,ERC721.sol,36.84
374,ERC721.sol,36.84
377,ERC721.sol,36.84
381,ERC721.sol,36.84
385,ERC721.sol,36.84
389,ERC721.sol,36.84
392,ERC721.sol,36.84
397,ERC721.sol,36.84
402,ERC721.sol,36.84
412,ERC721.sol,36.84
421,ERC721.sol,36.84
426,ERC721.sol,36.84
430,ERC721.sol,36.84
438,ERC721.sol,36.84
444,ERC721.sol,36.84
450,ERC721.sol,36.84
456,ERC721.sol,36.84
464,ERC721.sol,36.84
470,ERC721.sol,36.84
477,ERC721.sol,36.84
484,ERC721.sol,36.84
492,ERC721.sol,36.84
496,ERC721.sol,36.84
499,ERC721.sol,36.84
503,ERC721.sol,36.84
507,ERC721.sol,36.84
510,ERC721.sol,36.84
514,ERC721.sol,36.84
517,ERC721.sol,36.84
522,ERC721.sol,36.84
525,ERC721.sol,36.84
529,ERC721.sol,36.84
533,ERC721.sol,36.84
537,ERC721.sol,36.84
541,ERC721.sol,36.84
545,ERC721.sol,36.84
548,ERC721.sol,36.84
552,ERC721.sol,36.84
556,ERC721.sol,36.84
560,ERC721.sol,36.84
564,ERC721.sol,36.84
568,ERC721.sol,36.84
571,ERC721.sol,36.84
575,ERC721.sol,36.84
579,ERC721.sol,36.84
585,ERC721.sol,36.84
593,ERC721.sol,36.84
602,ERC721.sol,36.84
610,ERC721.sol,36.84
616,ERC721.sol,36.84
619,ERC721.sol,36.84
622,ERC721.sol,36.84
626,ERC721.sol,36.84
629,ERC721.sol,36.84
634,ERC721.sol,36.84
639,ERC721.sol,36.84
643,ERC721.sol,36.84
646,ERC721.sol,36.84
650,ERC721.sol,36.84
654,ERC721.sol,36.84
658,ERC721.sol,36.84
662,ERC721.sol,36.84
666,ERC721.sol,36.84
670,ERC721.sol,36.84
673,ERC721.sol,36.84
678,ERC721.sol,36.84
681,ERC721.sol,36.84
685,ERC721.sol,36.84
689,ERC721.sol,36.84
693,ERC721.sol,36.84
697,ERC721.sol,36.84
701,ERC721.sol,36.84
704,ERC721.sol,36.84
708,ERC721.sol,36.84
712,ERC721.sol,36.84
716,ERC721.sol,36.84
720,ERC721.sol,36.84
724,ERC721.sol,36.84
727,ERC721.sol,36.84
731,ERC721.sol,36.84
735,ERC721.sol,36.84
739,ERC721.sol,36.84
743,ERC721.sol,36.84
747,ERC721.sol,36.84
751,ERC721.sol,36.84
754,ERC721.sol,36.84
758,ERC721.sol,36.84
762,ERC721.sol,36.84
766,ERC721.sol,36.84
769,ERC721.sol,36.84
773,ERC721.sol,36.84
777,ERC721.sol,36.84
781,ERC721.sol,36.84
785,ERC721.sol,36.84
789,ERC721.sol,36.84
793,ERC721.sol,36.84
796,ERC721.sol,36.84
800,ERC721.sol,36.84
804,ERC721.sol,36.84
808,ERC721.sol,36.84
812,ERC721.sol,36.84
816,ERC721.sol,36.84
819,ERC721.sol,36.84
823,ERC721.sol,36.84
827,ERC721.sol,36.84
831,ERC721.sol,36.84
835,ERC721.sol,36.84
839,ERC721.sol,36.84
843,ERC721.sol,36.84
847,ERC721.sol,36.84
850,ERC721.sol,36.84
854,ERC721.sol,36.84
858,ERC721.sol,36.84
862,ERC721.sol,36.84
865,ERC721.sol,36.84
870,ERC721.sol,36.84
874,ERC721.sol,36.84
878,ERC721.sol,36.84
881,ERC721.sol,36.84
886,ERC721.sol,36.84
889,ERC721.sol,36.84
893,ERC721.sol,36.84
897,ERC721.sol,36.84
900,ERC721.sol,36.84
0,IERC721.sol,0
2,IERC721.sol,0
4,IERC721.sol,0
6,IERC721.sol,0
8,IERC721.sol,0
9,IERC721.sol,0
11,IERC721.sol,0
13,IERC721.sol,0
14,IERC721.sol,0
16,IERC721.sol,0
17,IERC721.sol,0
19,IERC721.sol,0
20,IERC721.sol,0
22,IERC721.sol,0
23,IERC721.sol,0
25,IERC721.sol,0
26,IERC721.sol,0
28,IERC721.sol,0
29,IERC721.sol,0
31,IERC721.sol,0
32,IERC721.sol,0
34,IERC721.sol,0
35,IERC721.sol,0
37,IERC721.sol,0
38,IERC721.sol,0
40,IERC721.sol,0
41,IERC721.sol,0
43,IERC721.sol,0
44,IERC721.sol,0
46,IERC721.sol,0
47,IERC721.sol,0
49,IERC721.sol,0
50,IERC721.sol,0
52,IERC721.sol,0
53,IERC721.sol,0
55,IERC721.sol,0
56,IERC721.sol,0
58,IERC721.sol,0
59,IERC721.sol,0
61,IERC721.sol,0
62,IERC721.sol,0
64,IERC721.sol,0
65,IERC721.sol,0
66,IERC721.sol,0
68,IERC721.sol,0
69,IERC721.sol,0
71,IERC721.sol,0
72,IERC721.sol,0
74,IERC721.sol,0
75,IERC721.sol,0
77,IERC721.sol,0
79,IERC721.sol,0
80,IERC721.sol,0
82,IERC721.sol,0
83,IERC721.sol,0
85,IERC721.sol,0
86,IERC721.sol,0
88,IERC721.sol,0
89,IERC721.sol,0
91,IERC721.sol,0
92,IERC721.sol,0
94,IERC721.sol,0
95,IERC721.sol,0
97,IERC721.sol,0
99,IERC721.sol,0
100,IERC721.sol,0
102,IERC721.sol,0
103,IERC721.sol,0
105,IERC721.sol,0
106,IERC721.sol,0
108,IERC721.sol,0
109,IERC721.sol,0
111,IERC721.sol,0
112,IERC721.sol,0
114,IERC721.sol,0
116,IERC721.sol,0
117,IERC721.sol,0
119,IERC721.sol,0
120,IERC721.sol,0
122,IERC721.sol,0
123,IERC721.sol,0
125,IERC721.sol,0
126,IERC721.sol,0
128,IERC721.sol,0
129,IERC721.sol,0
131,IERC721.sol,0
132,IERC721.sol,0
134,IERC721.sol,0
135,IERC721.sol,0
137,IERC721.sol,0
139,IERC721.sol,0
140,IERC721.sol,0
141,IERC721.sol,0
143,IERC721.sol,0
144,IERC721.sol,0
146,IERC721.sol,0
148,IERC721.sol,0
149,IERC721.sol,0
151,IERC721.sol,0
152,IERC721.sol,0
154,IERC721.sol,0
155,IERC721.sol,0
157,IERC721.sol,0
158,IERC721.sol,0
160,IERC721.sol,0
