TIME,SUBJECT,COVERAGE
0,ERC20.sol,0
5,ERC20.sol,66.67
8,ERC20.sol,75
11,ERC20.sol,75
14,ERC20.sol,75
18,ERC20.sol,75
22,ERC20.sol,75
26,ERC20.sol,75
32,ERC20.sol,75
38,ERC20.sol,75
42,ERC20.sol,75
46,ERC20.sol,75
49,ERC20.sol,75
53,ERC20.sol,75
57,ERC20.sol,75
62,ERC20.sol,75
66,ERC20.sol,75
70,ERC20.sol,75
75,ERC20.sol,75
83,ERC20.sol,75
88,ERC20.sol,75
92,ERC20.sol,75
97,ERC20.sol,75
102,ERC20.sol,75
106,ERC20.sol,75
110,ERC20.sol,75
115,ERC20.sol,75
120,ERC20.sol,75
126,ERC20.sol,75
131,ERC20.sol,75
136,ERC20.sol,75
142,ERC20.sol,75
148,ERC20.sol,75
153,ERC20.sol,75
159,ERC20.sol,75
165,ERC20.sol,75
172,ERC20.sol,75
176,ERC20.sol,75
182,ERC20.sol,75
189,ERC20.sol,75
195,ERC20.sol,75
201,ERC20.sol,75
205,ERC20.sol,75
211,ERC20.sol,75
215,ERC20.sol,75
221,ERC20.sol,75
230,ERC20.sol,75
235,ERC20.sol,75
243,ERC20.sol,75
249,ERC20.sol,75
253,ERC20.sol,75
259,ERC20.sol,75
267,ERC20.sol,75
273,ERC20.sol,75
279,ERC20.sol,75
286,ERC20.sol,75
291,ERC20.sol,75
299,ERC20.sol,75
306,ERC20.sol,75
310,ERC20.sol,75
317,ERC20.sol,75
323,ERC20.sol,75
330,ERC20.sol,75
336,ERC20.sol,75
343,ERC20.sol,75
349,ERC20.sol,75
357,ERC20.sol,75
359,ERC20.sol,75
362,ERC20.sol,75
369,ERC20.sol,75
377,ERC20.sol,75
383,ERC20.sol,75
391,ERC20.sol,75
398,ERC20.sol,75
402,ERC20.sol,75
409,ERC20.sol,75
417,ERC20.sol,75
421,ERC20.sol,75
424,ERC20.sol,75
427,ERC20.sol,75
430,ERC20.sol,75
433,ERC20.sol,75
436,ERC20.sol,75
440,ERC20.sol,75
443,ERC20.sol,75
447,ERC20.sol,75
451,ERC20.sol,75
454,ERC20.sol,75
458,ERC20.sol,75
461,ERC20.sol,75
465,ERC20.sol,75
468,ERC20.sol,75
472,ERC20.sol,75
475,ERC20.sol,75
478,ERC20.sol,75
482,ERC20.sol,75
491,ERC20.sol,75
494,ERC20.sol,75
497,ERC20.sol,75
501,ERC20.sol,75
504,ERC20.sol,75
507,ERC20.sol,75
514,ERC20.sol,75
522,ERC20.sol,75
532,ERC20.sol,75
536,ERC20.sol,75
542,ERC20.sol,75
549,ERC20.sol,75
556,ERC20.sol,75
562,ERC20.sol,75
572,ERC20.sol,75
576,ERC20.sol,75
580,ERC20.sol,75
584,ERC20.sol,75
593,ERC20.sol,75
602,ERC20.sol,75
610,ERC20.sol,75
619,ERC20.sol,75
626,ERC20.sol,75
634,ERC20.sol,75
640,ERC20.sol,75
647,ERC20.sol,75
655,ERC20.sol,75
662,ERC20.sol,75
670,ERC20.sol,75
676,ERC20.sol,75
683,ERC20.sol,75
690,ERC20.sol,75
697,ERC20.sol,75
705,ERC20.sol,75
712,ERC20.sol,75
719,ERC20.sol,75
727,ERC20.sol,75
734,ERC20.sol,75
741,ERC20.sol,75
749,ERC20.sol,75
755,ERC20.sol,75
763,ERC20.sol,75
770,ERC20.sol,75
778,ERC20.sol,75
782,ERC20.sol,75
790,ERC20.sol,75
797,ERC20.sol,75
805,ERC20.sol,75
812,ERC20.sol,75
816,ERC20.sol,75
825,ERC20.sol,75
833,ERC20.sol,75
842,ERC20.sol,75
849,ERC20.sol,75
854,ERC20.sol,75
862,ERC20.sol,75
870,ERC20.sol,75
878,ERC20.sol,75
885,ERC20.sol,75
893,ERC20.sol,75
900,ERC20.sol,75
0,IERC20.sol,0
1,IERC20.sol,0
3,IERC20.sol,0
4,IERC20.sol,0
5,IERC20.sol,0
6,IERC20.sol,0
8,IERC20.sol,0
9,IERC20.sol,0
10,IERC20.sol,0
11,IERC20.sol,0
13,IERC20.sol,0
14,IERC20.sol,0
15,IERC20.sol,0
16,IERC20.sol,0
18,IERC20.sol,0
19,IERC20.sol,0
20,IERC20.sol,0
21,IERC20.sol,0
22,IERC20.sol,0
24,IERC20.sol,0
25,IERC20.sol,0
26,IERC20.sol,0
27,IERC20.sol,0
28,IERC20.sol,0
29,IERC20.sol,0
30,IERC20.sol,0
31,IERC20.sol,0
33,IERC20.sol,0
34,IERC20.sol,0
35,IERC20.sol,0
36,IERC20.sol,0
37,IERC20.sol,0
39,IERC20.sol,0
40,IERC20.sol,0
41,IERC20.sol,0
42,IERC20.sol,0
43,IERC20.sol,0
45,IERC20.sol,0
46,IERC20.sol,0
47,IERC20.sol,0
48,IERC20.sol,0
50,IERC20.sol,0
51,IERC20.sol,0
52,IERC20.sol,0
53,IERC20.sol,0
54,IERC20.sol,0
55,IERC20.sol,0
