TIME,SUBJECT,COVERAGE
0,StrategyDForceUSDC.sol,0
7,StrategyDForceUSDC.sol,19.64
13,StrategyDForceUSDC.sol,23.21
19,StrategyDForceUSDC.sol,26.79
27,StrategyDForceUSDC.sol,32.14
35,StrategyDForceUSDC.sol,32.14
42,StrategyDForceUSDC.sol,37.5
49,StrategyDForceUSDC.sol,46.43
55,StrategyDForceUSDC.sol,46.43
62,StrategyDForceUSDC.sol,46.43
68,StrategyDForceUSDC.sol,46.43
74,StrategyDForceUSDC.sol,48.21
80,StrategyDForceUSDC.sol,48.21
86,StrategyDForceUSDC.sol,50
91,StrategyDForceUSDC.sol,50
97,StrategyDForceUSDC.sol,51.79
104,StrategyDForceUSDC.sol,51.79
111,StrategyDForceUSDC.sol,51.79
117,StrategyDForceUSDC.sol,51.79
123,StrategyDForceUSDC.sol,51.79
129,StrategyDForceUSDC.sol,51.79
135,StrategyDForceUSDC.sol,51.79
142,StrategyDForceUSDC.sol,51.79
147,StrategyDForceUSDC.sol,53.57
153,StrategyDForceUSDC.sol,53.57
159,StrategyDForceUSDC.sol,53.57
166,StrategyDForceUSDC.sol,53.57
172,StrategyDForceUSDC.sol,53.57
179,StrategyDForceUSDC.sol,53.57
185,StrategyDForceUSDC.sol,53.57
191,StrategyDForceUSDC.sol,53.57
197,StrategyDForceUSDC.sol,53.57
203,StrategyDForceUSDC.sol,53.57
211,StrategyDForceUSDC.sol,53.57
217,StrategyDForceUSDC.sol,53.57
223,StrategyDForceUSDC.sol,53.57
229,StrategyDForceUSDC.sol,53.57
235,StrategyDForceUSDC.sol,53.57
242,StrategyDForceUSDC.sol,53.57
248,StrategyDForceUSDC.sol,53.57
253,StrategyDForceUSDC.sol,53.57
259,StrategyDForceUSDC.sol,53.57
264,StrategyDForceUSDC.sol,53.57
270,StrategyDForceUSDC.sol,53.57
275,StrategyDForceUSDC.sol,53.57
281,StrategyDForceUSDC.sol,53.57
287,StrategyDForceUSDC.sol,53.57
292,StrategyDForceUSDC.sol,53.57
298,StrategyDForceUSDC.sol,53.57
303,StrategyDForceUSDC.sol,53.57
309,StrategyDForceUSDC.sol,53.57
315,StrategyDForceUSDC.sol,53.57
320,StrategyDForceUSDC.sol,53.57
326,StrategyDForceUSDC.sol,53.57
332,StrategyDForceUSDC.sol,53.57
337,StrategyDForceUSDC.sol,53.57
343,StrategyDForceUSDC.sol,53.57
349,StrategyDForceUSDC.sol,53.57
354,StrategyDForceUSDC.sol,55.36
360,StrategyDForceUSDC.sol,55.36
365,StrategyDForceUSDC.sol,55.36
371,StrategyDForceUSDC.sol,55.36
377,StrategyDForceUSDC.sol,55.36
382,StrategyDForceUSDC.sol,55.36
388,StrategyDForceUSDC.sol,55.36
393,StrategyDForceUSDC.sol,55.36
399,StrategyDForceUSDC.sol,55.36
405,StrategyDForceUSDC.sol,55.36
411,StrategyDForceUSDC.sol,55.36
416,StrategyDForceUSDC.sol,55.36
422,StrategyDForceUSDC.sol,55.36
428,StrategyDForceUSDC.sol,55.36
433,StrategyDForceUSDC.sol,55.36
439,StrategyDForceUSDC.sol,55.36
444,StrategyDForceUSDC.sol,55.36
451,StrategyDForceUSDC.sol,55.36
457,StrategyDForceUSDC.sol,55.36
462,StrategyDForceUSDC.sol,55.36
468,StrategyDForceUSDC.sol,55.36
473,StrategyDForceUSDC.sol,55.36
479,StrategyDForceUSDC.sol,55.36
485,StrategyDForceUSDC.sol,55.36
491,StrategyDForceUSDC.sol,55.36
497,StrategyDForceUSDC.sol,55.36
503,StrategyDForceUSDC.sol,55.36
509,StrategyDForceUSDC.sol,55.36
515,StrategyDForceUSDC.sol,55.36
521,StrategyDForceUSDC.sol,55.36
527,StrategyDForceUSDC.sol,55.36
532,StrategyDForceUSDC.sol,55.36
538,StrategyDForceUSDC.sol,55.36
543,StrategyDForceUSDC.sol,55.36
550,StrategyDForceUSDC.sol,55.36
555,StrategyDForceUSDC.sol,55.36
562,StrategyDForceUSDC.sol,55.36
571,StrategyDForceUSDC.sol,55.36
579,StrategyDForceUSDC.sol,57.14
587,StrategyDForceUSDC.sol,57.14
593,StrategyDForceUSDC.sol,57.14
601,StrategyDForceUSDC.sol,57.14
607,StrategyDForceUSDC.sol,57.14
613,StrategyDForceUSDC.sol,57.14
620,StrategyDForceUSDC.sol,57.14
628,StrategyDForceUSDC.sol,57.14
635,StrategyDForceUSDC.sol,57.14
641,StrategyDForceUSDC.sol,57.14
647,StrategyDForceUSDC.sol,57.14
655,StrategyDForceUSDC.sol,57.14
663,StrategyDForceUSDC.sol,57.14
670,StrategyDForceUSDC.sol,57.14
676,StrategyDForceUSDC.sol,57.14
682,StrategyDForceUSDC.sol,57.14
690,StrategyDForceUSDC.sol,57.14
699,StrategyDForceUSDC.sol,57.14
706,StrategyDForceUSDC.sol,57.14
713,StrategyDForceUSDC.sol,57.14
721,StrategyDForceUSDC.sol,57.14
728,StrategyDForceUSDC.sol,57.14
735,StrategyDForceUSDC.sol,57.14
742,StrategyDForceUSDC.sol,57.14
750,StrategyDForceUSDC.sol,57.14
757,StrategyDForceUSDC.sol,57.14
766,StrategyDForceUSDC.sol,57.14
772,StrategyDForceUSDC.sol,57.14
779,StrategyDForceUSDC.sol,57.14
786,StrategyDForceUSDC.sol,57.14
