TIME,SUBJECT,COVERAGE
0,Bank.sol,0
7,Bank.sol,42.86
12,Bank.sol,42.86
17,Bank.sol,42.86
21,Bank.sol,42.86
26,Bank.sol,42.86
31,Bank.sol,42.86
36,Bank.sol,42.86
41,Bank.sol,50
47,Bank.sol,50
55,Bank.sol,50
61,Bank.sol,50
66,Bank.sol,50
70,Bank.sol,50
77,Bank.sol,50
81,Bank.sol,50
86,Bank.sol,50
93,Bank.sol,50
99,Bank.sol,50
105,Bank.sol,50
111,Bank.sol,50
118,Bank.sol,50
124,Bank.sol,50
130,Bank.sol,50
138,Bank.sol,50
144,Bank.sol,50
149,Bank.sol,50
157,Bank.sol,50
164,Bank.sol,50
170,Bank.sol,50
177,Bank.sol,50
183,Bank.sol,50
187,Bank.sol,50
194,Bank.sol,50
201,Bank.sol,50
208,Bank.sol,50
216,Bank.sol,50
223,Bank.sol,50
228,Bank.sol,50
235,Bank.sol,50
241,Bank.sol,50
247,Bank.sol,50
254,Bank.sol,50
261,Bank.sol,50
267,Bank.sol,50
273,Bank.sol,50
280,Bank.sol,50
287,Bank.sol,50
294,Bank.sol,50
300,Bank.sol,50
305,Bank.sol,50
313,Bank.sol,50
320,Bank.sol,50
326,Bank.sol,50
333,Bank.sol,57.14
338,Bank.sol,57.14
346,Bank.sol,57.14
354,Bank.sol,57.14
362,Bank.sol,57.14
370,Bank.sol,57.14
375,Bank.sol,57.14
382,Bank.sol,57.14
390,Bank.sol,57.14
395,Bank.sol,57.14
399,Bank.sol,57.14
403,Bank.sol,57.14
406,Bank.sol,57.14
410,Bank.sol,57.14
414,Bank.sol,57.14
419,Bank.sol,57.14
423,Bank.sol,57.14
427,Bank.sol,57.14
431,Bank.sol,57.14
436,Bank.sol,57.14
440,Bank.sol,57.14
444,Bank.sol,57.14
448,Bank.sol,57.14
453,Bank.sol,57.14
458,Bank.sol,57.14
466,Bank.sol,57.14
470,Bank.sol,57.14
474,Bank.sol,57.14
478,Bank.sol,57.14
482,Bank.sol,57.14
490,Bank.sol,57.14
499,Bank.sol,57.14
508,Bank.sol,57.14
513,Bank.sol,57.14
521,Bank.sol,57.14
528,Bank.sol,57.14
536,Bank.sol,57.14
545,Bank.sol,57.14
551,Bank.sol,57.14
556,Bank.sol,57.14
563,Bank.sol,57.14
572,Bank.sol,57.14
579,Bank.sol,57.14
587,Bank.sol,57.14
595,Bank.sol,57.14
603,Bank.sol,57.14
611,Bank.sol,57.14
617,Bank.sol,57.14
625,Bank.sol,57.14
633,Bank.sol,57.14
642,Bank.sol,57.14
649,Bank.sol,57.14
656,Bank.sol,57.14
664,Bank.sol,57.14
672,Bank.sol,57.14
680,Bank.sol,57.14
687,Bank.sol,57.14
695,Bank.sol,57.14
703,Bank.sol,57.14
710,Bank.sol,57.14
718,Bank.sol,57.14
726,Bank.sol,57.14
734,Bank.sol,57.14
741,Bank.sol,57.14
749,Bank.sol,57.14
754,Bank.sol,57.14
764,Bank.sol,57.14
771,Bank.sol,57.14
779,Bank.sol,57.14
787,Bank.sol,57.14
793,Bank.sol,57.14
801,Bank.sol,57.14
809,Bank.sol,57.14
817,Bank.sol,57.14
825,Bank.sol,57.14
831,Bank.sol,57.14
840,Bank.sol,57.14
847,Bank.sol,57.14
854,Bank.sol,57.14
863,Bank.sol,57.14
871,Bank.sol,57.14
879,Bank.sol,57.14
887,Bank.sol,57.14
895,Bank.sol,57.14
900,Bank.sol,57.14
0,Ownable.sol,0
2,Ownable.sol,0
4,Ownable.sol,0
6,Ownable.sol,0
8,Ownable.sol,0
9,Ownable.sol,0
11,Ownable.sol,0
13,Ownable.sol,0
15,Ownable.sol,0
16,Ownable.sol,0
18,Ownable.sol,0
20,Ownable.sol,0
22,Ownable.sol,0
24,Ownable.sol,0
26,Ownable.sol,0
27,Ownable.sol,0
29,Ownable.sol,0
31,Ownable.sol,0
33,Ownable.sol,0
35,Ownable.sol,0
36,Ownable.sol,0
38,Ownable.sol,0
40,Ownable.sol,0
42,Ownable.sol,0
43,Ownable.sol,0
45,Ownable.sol,0
47,Ownable.sol,0
49,Ownable.sol,0
51,Ownable.sol,0
52,Ownable.sol,0
54,Ownable.sol,0
56,Ownable.sol,0
58,Ownable.sol,0
60,Ownable.sol,0
62,Ownable.sol,0
63,Ownable.sol,0
65,Ownable.sol,0
67,Ownable.sol,0
69,Ownable.sol,0
71,Ownable.sol,0
72,Ownable.sol,0
74,Ownable.sol,0
76,Ownable.sol,0
78,Ownable.sol,0
79,Ownable.sol,0
81,Ownable.sol,0
83,Ownable.sol,0
85,Ownable.sol,0
87,Ownable.sol,0
88,Ownable.sol,0
90,Ownable.sol,0
92,Ownable.sol,0
94,Ownable.sol,0
96,Ownable.sol,0
98,Ownable.sol,0
