TIME,SUBJECT,COVERAGE
0,Reseller.sol,0
9,Reseller.sol,20.93
17,Reseller.sol,25.58
26,Reseller.sol,32.56
36,Reseller.sol,34.88
44,Reseller.sol,37.21
53,Reseller.sol,37.21
62,Reseller.sol,39.53
70,Reseller.sol,39.53
79,Reseller.sol,41.86
88,Reseller.sol,46.51
97,Reseller.sol,46.51
105,Reseller.sol,48.84
114,Reseller.sol,48.84
123,Reseller.sol,48.84
131,Reseller.sol,48.84
140,Reseller.sol,48.84
148,Reseller.sol,48.84
157,Reseller.sol,48.84
165,Reseller.sol,48.84
173,Reseller.sol,48.84
182,Reseller.sol,48.84
191,Reseller.sol,48.84
199,Reseller.sol,48.84
207,Reseller.sol,48.84
216,Reseller.sol,48.84
225,Reseller.sol,48.84
233,Reseller.sol,48.84
242,Reseller.sol,48.84
250,Reseller.sol,48.84
259,Reseller.sol,48.84
267,Reseller.sol,48.84
276,Reseller.sol,48.84
284,Reseller.sol,48.84
293,Reseller.sol,48.84
302,Reseller.sol,48.84
310,Reseller.sol,48.84
319,Reseller.sol,48.84
328,Reseller.sol,48.84
336,Reseller.sol,48.84
345,Reseller.sol,48.84
353,Reseller.sol,48.84
363,Reseller.sol,48.84
370,Reseller.sol,48.84
379,Reseller.sol,48.84
388,Reseller.sol,48.84
396,Reseller.sol,48.84
405,Reseller.sol,48.84
414,Reseller.sol,48.84
422,Reseller.sol,48.84
430,Reseller.sol,48.84
439,Reseller.sol,48.84
448,Reseller.sol,48.84
456,Reseller.sol,48.84
465,Reseller.sol,48.84
473,Reseller.sol,48.84
481,Reseller.sol,48.84
490,Reseller.sol,48.84
498,Reseller.sol,48.84
507,Reseller.sol,48.84
515,Reseller.sol,48.84
524,Reseller.sol,48.84
534,Reseller.sol,48.84
542,Reseller.sol,48.84
551,Reseller.sol,48.84
559,Reseller.sol,48.84
567,Reseller.sol,48.84
576,Reseller.sol,48.84
584,Reseller.sol,48.84
593,Reseller.sol,48.84
601,Reseller.sol,48.84
610,Reseller.sol,48.84
618,Reseller.sol,48.84
641,Reseller.sol,48.84
674,Reseller.sol,48.84
724,Reseller.sol,48.84
757,Reseller.sol,48.84
766,Reseller.sol,48.84
774,Reseller.sol,48.84
785,Reseller.sol,48.84
794,Reseller.sol,48.84
805,Reseller.sol,48.84
817,Reseller.sol,48.84
827,Reseller.sol,48.84
835,Reseller.sol,48.84
843,Reseller.sol,48.84
852,Reseller.sol,48.84
861,Reseller.sol,48.84
869,Reseller.sol,48.84
878,Reseller.sol,48.84
887,Reseller.sol,48.84
895,Reseller.sol,48.84
901,Reseller.sol,48.84
0,Reseller_utils.sol,0
4,Reseller_utils.sol,0
8,Reseller_utils.sol,0
12,Reseller_utils.sol,0
15,Reseller_utils.sol,0
19,Reseller_utils.sol,0
23,Reseller_utils.sol,0
26,Reseller_utils.sol,0
30,Reseller_utils.sol,0
33,Reseller_utils.sol,0
37,Reseller_utils.sol,0
41,Reseller_utils.sol,0
45,Reseller_utils.sol,0
49,Reseller_utils.sol,0
52,Reseller_utils.sol,0
56,Reseller_utils.sol,0
60,Reseller_utils.sol,0
64,Reseller_utils.sol,0
67,Reseller_utils.sol,0
71,Reseller_utils.sol,0
75,Reseller_utils.sol,0
79,Reseller_utils.sol,0
82,Reseller_utils.sol,0
86,Reseller_utils.sol,0
89,Reseller_utils.sol,0
93,Reseller_utils.sol,0
97,Reseller_utils.sol,0
101,Reseller_utils.sol,0
104,Reseller_utils.sol,0
108,Reseller_utils.sol,0
112,Reseller_utils.sol,0
116,Reseller_utils.sol,0
120,Reseller_utils.sol,0
124,Reseller_utils.sol,0
128,Reseller_utils.sol,0
131,Reseller_utils.sol,0
135,Reseller_utils.sol,0
139,Reseller_utils.sol,0
143,Reseller_utils.sol,0
146,Reseller_utils.sol,0
150,Reseller_utils.sol,0
153,Reseller_utils.sol,0
157,Reseller_utils.sol,0
160,Reseller_utils.sol,0
164,Reseller_utils.sol,0
168,Reseller_utils.sol,0
172,Reseller_utils.sol,0
