TIME,SUBJECT,COVERAGE
0,CFControllerV2.sol,0
40,CFControllerV2.sol,4.35
60,CFControllerV2.sol,6.52
80,CFControllerV2.sol,10.87
104,CFControllerV2.sol,10.87
122,CFControllerV2.sol,13.04
141,CFControllerV2.sol,15.22
160,CFControllerV2.sol,21.74
179,CFControllerV2.sol,21.74
197,CFControllerV2.sol,23.91
216,CFControllerV2.sol,23.91
234,CFControllerV2.sol,23.91
253,CFControllerV2.sol,23.91
272,CFControllerV2.sol,23.91
290,CFControllerV2.sol,23.91
309,CFControllerV2.sol,23.91
328,CFControllerV2.sol,26.09
347,CFControllerV2.sol,26.09
365,CFControllerV2.sol,26.09
385,CFControllerV2.sol,26.09
404,CFControllerV2.sol,26.09
422,CFControllerV2.sol,26.09
442,CFControllerV2.sol,26.09
460,CFControllerV2.sol,28.26
479,CFControllerV2.sol,28.26
497,CFControllerV2.sol,28.26
516,CFControllerV2.sol,28.26
534,CFControllerV2.sol,28.26
553,CFControllerV2.sol,28.26
572,CFControllerV2.sol,28.26
591,CFControllerV2.sol,28.26
609,CFControllerV2.sol,30.43
628,CFControllerV2.sol,30.43
647,CFControllerV2.sol,30.43
666,CFControllerV2.sol,30.43
685,CFControllerV2.sol,30.43
703,CFControllerV2.sol,30.43
722,CFControllerV2.sol,30.43
741,CFControllerV2.sol,30.43
759,CFControllerV2.sol,30.43
778,CFControllerV2.sol,30.43
798,CFControllerV2.sol,30.43
817,CFControllerV2.sol,30.43
836,CFControllerV2.sol,30.43
855,CFControllerV2.sol,30.43
874,CFControllerV2.sol,30.43
894,CFControllerV2.sol,30.43
903,CFControllerV2.sol,30.43
0,CFControllerV2.sol,0
25,CFControllerV2.sol,0
50,CFControllerV2.sol,0
73,CFControllerV2.sol,0
97,CFControllerV2.sol,0
120,CFControllerV2.sol,0
145,CFControllerV2.sol,0
164,CFControllerV2.sol,0
184,CFControllerV2.sol,0
203,CFControllerV2.sol,0
223,CFControllerV2.sol,0
243,CFControllerV2.sol,0
264,CFControllerV2.sol,0
283,CFControllerV2.sol,0
303,CFControllerV2.sol,0
324,CFControllerV2.sol,0
344,CFControllerV2.sol,0
367,CFControllerV2.sol,0
395,CFControllerV2.sol,0
421,CFControllerV2.sol,0
448,CFControllerV2.sol,0
476,CFControllerV2.sol,0
502,CFControllerV2.sol,0
528,CFControllerV2.sol,0
554,CFControllerV2.sol,0
583,CFControllerV2.sol,0
607,CFControllerV2.sol,0
634,CFControllerV2.sol,0
659,CFControllerV2.sol,0
686,CFControllerV2.sol,0
706,CFControllerV2.sol,0
726,CFControllerV2.sol,0
746,CFControllerV2.sol,0
767,CFControllerV2.sol,0
787,CFControllerV2.sol,0
808,CFControllerV2.sol,0
827,CFControllerV2.sol,0
848,CFControllerV2.sol,0
868,CFControllerV2.sol,0
