TIME,SUBJECT,COVERAGE
0,MolScribe.sol,0
24,MolScribe.sol,0
49,MolScribe.sol,0
74,MolScribe.sol,0
100,MolScribe.sol,0
126,MolScribe.sol,0
151,MolScribe.sol,0
176,MolScribe.sol,0
202,MolScribe.sol,0
227,MolScribe.sol,0
252,MolScribe.sol,0
278,MolScribe.sol,0
303,MolScribe.sol,0
328,MolScribe.sol,0
353,MolScribe.sol,0
378,MolScribe.sol,0
403,MolScribe.sol,0
428,MolScribe.sol,0
453,MolScribe.sol,0
478,MolScribe.sol,0
503,MolScribe.sol,0
528,MolScribe.sol,0
552,MolScribe.sol,0
577,MolScribe.sol,0
602,MolScribe.sol,0
626,MolScribe.sol,0
651,MolScribe.sol,0
675,MolScribe.sol,0
699,MolScribe.sol,0
723,MolScribe.sol,0
747,MolScribe.sol,0
771,MolScribe.sol,0
795,MolScribe.sol,0
820,MolScribe.sol,0
844,MolScribe.sol,0
869,MolScribe.sol,0
894,MolScribe.sol,0
901,MolScribe.sol,0
0,MolScribe.sol,0
22,MolScribe.sol,0
47,MolScribe.sol,0
71,MolScribe.sol,0
95,MolScribe.sol,0
120,MolScribe.sol,0
145,MolScribe.sol,0
169,MolScribe.sol,0
194,MolScribe.sol,0
218,MolScribe.sol,0
243,MolScribe.sol,0
268,MolScribe.sol,0
292,MolScribe.sol,0
317,MolScribe.sol,0
342,MolScribe.sol,0
366,MolScribe.sol,0
391,MolScribe.sol,0
416,MolScribe.sol,0
440,MolScribe.sol,0
465,MolScribe.sol,0
489,MolScribe.sol,0
514,MolScribe.sol,0
538,MolScribe.sol,0
563,MolScribe.sol,0
587,MolScribe.sol,0
612,MolScribe.sol,0
636,MolScribe.sol,0
660,MolScribe.sol,0
685,MolScribe.sol,0
710,MolScribe.sol,0
735,MolScribe.sol,0
759,MolScribe.sol,0
783,MolScribe.sol,0
807,MolScribe.sol,0
831,MolScribe.sol,0
856,MolScribe.sol,0
881,MolScribe.sol,0
901,MolScribe.sol,0
0,MolScribe.sol,0
23,MolScribe.sol,0
48,MolScribe.sol,0
73,MolScribe.sol,0
97,MolScribe.sol,0
122,MolScribe.sol,0
146,MolScribe.sol,0
171,MolScribe.sol,0
196,MolScribe.sol,0
220,MolScribe.sol,0
245,MolScribe.sol,0
269,MolScribe.sol,0
294,MolScribe.sol,0
318,MolScribe.sol,0
343,MolScribe.sol,0
367,MolScribe.sol,0
392,MolScribe.sol,0
416,MolScribe.sol,0
441,MolScribe.sol,0
466,MolScribe.sol,0
491,MolScribe.sol,0
515,MolScribe.sol,0
540,MolScribe.sol,0
564,MolScribe.sol,0
589,MolScribe.sol,0
614,MolScribe.sol,0
638,MolScribe.sol,0
664,MolScribe.sol,0
688,MolScribe.sol,0
713,MolScribe.sol,0
738,MolScribe.sol,0
763,MolScribe.sol,0
788,MolScribe.sol,0
813,MolScribe.sol,0
838,MolScribe.sol,0
862,MolScribe.sol,0
887,MolScribe.sol,0
900,MolScribe.sol,0
0,MolScribe.sol,0
23,MolScribe.sol,0
47,MolScribe.sol,0
72,MolScribe.sol,0
97,MolScribe.sol,0
122,MolScribe.sol,0
146,MolScribe.sol,0
172,MolScribe.sol,0
197,MolScribe.sol,0
222,MolScribe.sol,0
247,MolScribe.sol,0
272,MolScribe.sol,0
299,MolScribe.sol,0
326,MolScribe.sol,0
351,MolScribe.sol,0
379,MolScribe.sol,0
405,MolScribe.sol,0
431,MolScribe.sol,0
455,MolScribe.sol,0
479,MolScribe.sol,0
504,MolScribe.sol,0
529,MolScribe.sol,0
555,MolScribe.sol,0
580,MolScribe.sol,0
605,MolScribe.sol,0
629,MolScribe.sol,0
654,MolScribe.sol,0
679,MolScribe.sol,0
703,MolScribe.sol,0
728,MolScribe.sol,0
753,MolScribe.sol,0
777,MolScribe.sol,0
802,MolScribe.sol,0
827,MolScribe.sol,0
852,MolScribe.sol,0
876,MolScribe.sol,0
901,MolScribe.sol,0
0,MolScribe.sol,0
23,MolScribe.sol,0
49,MolScribe.sol,0
74,MolScribe.sol,0
99,MolScribe.sol,0
125,MolScribe.sol,0
150,MolScribe.sol,0
175,MolScribe.sol,0
199,MolScribe.sol,0
224,MolScribe.sol,0
250,MolScribe.sol,0
275,MolScribe.sol,0
299,MolScribe.sol,0
324,MolScribe.sol,0
349,MolScribe.sol,0
374,MolScribe.sol,0
398,MolScribe.sol,0
424,MolScribe.sol,0
448,MolScribe.sol,0
473,MolScribe.sol,0
498,MolScribe.sol,0
522,MolScribe.sol,0
547,MolScribe.sol,0
573,MolScribe.sol,0
