TIME,SUBJECT,COVERAGE
0,LoanTokenLogicStandard.sol,0
21,LoanTokenLogicStandard.sol,21.19
41,LoanTokenLogicStandard.sol,21.19
62,LoanTokenLogicStandard.sol,21.85
84,LoanTokenLogicStandard.sol,24.5
106,LoanTokenLogicStandard.sol,27.15
128,LoanTokenLogicStandard.sol,27.81
153,LoanTokenLogicStandard.sol,30.46
174,LoanTokenLogicStandard.sol,31.13
197,LoanTokenLogicStandard.sol,31.13
219,LoanTokenLogicStandard.sol,31.79
240,LoanTokenLogicStandard.sol,31.79
263,LoanTokenLogicStandard.sol,33.77
283,LoanTokenLogicStandard.sol,34.44
303,LoanTokenLogicStandard.sol,36.42
329,LoanTokenLogicStandard.sol,36.42
352,LoanTokenLogicStandard.sol,36.42
373,LoanTokenLogicStandard.sol,36.42
396,LoanTokenLogicStandard.sol,36.42
419,LoanTokenLogicStandard.sol,36.42
441,LoanTokenLogicStandard.sol,38.41
464,LoanTokenLogicStandard.sol,38.41
487,LoanTokenLogicStandard.sol,38.41
510,LoanTokenLogicStandard.sol,38.41
534,LoanTokenLogicStandard.sol,38.41
555,LoanTokenLogicStandard.sol,38.41
578,LoanTokenLogicStandard.sol,38.41
599,LoanTokenLogicStandard.sol,38.41
623,LoanTokenLogicStandard.sol,38.41
647,LoanTokenLogicStandard.sol,38.41
671,LoanTokenLogicStandard.sol,38.41
694,LoanTokenLogicStandard.sol,38.41
718,LoanTokenLogicStandard.sol,38.41
741,LoanTokenLogicStandard.sol,39.07
764,LoanTokenLogicStandard.sol,39.07
786,LoanTokenLogicStandard.sol,39.07
809,LoanTokenLogicStandard.sol,39.07
865,LoanTokenLogicStandard.sol,39.07
904,LoanTokenLogicStandard.sol,39.07
0,Ownable.sol,0
47,Ownable.sol,0
95,Ownable.sol,0
122,Ownable.sol,0
151,Ownable.sol,0
168,Ownable.sol,0
178,Ownable.sol,0
186,Ownable.sol,0
195,Ownable.sol,0
204,Ownable.sol,0
212,Ownable.sol,0
221,Ownable.sol,0
229,Ownable.sol,0
238,Ownable.sol,0
246,Ownable.sol,0
254,Ownable.sol,0
262,Ownable.sol,0
271,Ownable.sol,0
279,Ownable.sol,0
288,Ownable.sol,0
296,Ownable.sol,0
305,Ownable.sol,0
314,Ownable.sol,0
322,Ownable.sol,0
331,Ownable.sol,0
339,Ownable.sol,0
348,Ownable.sol,0
357,Ownable.sol,0
366,Ownable.sol,0
374,Ownable.sol,0
384,Ownable.sol,0
392,Ownable.sol,0
400,Ownable.sol,0
409,Ownable.sol,0
418,Ownable.sol,0
426,Ownable.sol,0
434,Ownable.sol,0
443,Ownable.sol,0
451,Ownable.sol,0
460,Ownable.sol,0
468,Ownable.sol,0
477,Ownable.sol,0
486,Ownable.sol,0
494,Ownable.sol,0
502,Ownable.sol,0
511,Ownable.sol,0
520,Ownable.sol,0
528,Ownable.sol,0
536,Ownable.sol,0
545,Ownable.sol,0
553,Ownable.sol,0
561,Ownable.sol,0
570,Ownable.sol,0
578,Ownable.sol,0
587,Ownable.sol,0
595,Ownable.sol,0
604,Ownable.sol,0
612,Ownable.sol,0
620,Ownable.sol,0
629,Ownable.sol,0
638,Ownable.sol,0
646,Ownable.sol,0
654,Ownable.sol,0
663,Ownable.sol,0
672,Ownable.sol,0
680,Ownable.sol,0
689,Ownable.sol,0
697,Ownable.sol,0
706,Ownable.sol,0
715,Ownable.sol,0
723,Ownable.sol,0
731,Ownable.sol,0
740,Ownable.sol,0
749,Ownable.sol,0
757,Ownable.sol,0
765,Ownable.sol,0
774,Ownable.sol,0
783,Ownable.sol,0
791,Ownable.sol,0
799,Ownable.sol,0
808,Ownable.sol,0
816,Ownable.sol,0
824,Ownable.sol,0
833,Ownable.sol,0
841,Ownable.sol,0
850,Ownable.sol,0
866,Ownable.sol,0
882,Ownable.sol,0
897,Ownable.sol,0
900,Ownable.sol,0
0,GasTokenUser.sol,0
11,GasTokenUser.sol,0
32,GasTokenUser.sol,0
41,GasTokenUser.sol,0
49,GasTokenUser.sol,0
58,GasTokenUser.sol,0
66,GasTokenUser.sol,0
74,GasTokenUser.sol,0
83,GasTokenUser.sol,0
91,GasTokenUser.sol,0
100,GasTokenUser.sol,0
108,GasTokenUser.sol,0
116,GasTokenUser.sol,0
125,GasTokenUser.sol,0
133,GasTokenUser.sol,0
141,GasTokenUser.sol,0
150,GasTokenUser.sol,0
159,GasTokenUser.sol,0
167,GasTokenUser.sol,0
175,GasTokenUser.sol,0
184,GasTokenUser.sol,0
192,GasTokenUser.sol,0
200,GasTokenUser.sol,0
209,GasTokenUser.sol,0
217,GasTokenUser.sol,0
225,GasTokenUser.sol,0
233,GasTokenUser.sol,0
242,GasTokenUser.sol,0
250,GasTokenUser.sol,0
258,GasTokenUser.sol,0
266,GasTokenUser.sol,0
274,GasTokenUser.sol,0
283,GasTokenUser.sol,0
291,GasTokenUser.sol,0
299,GasTokenUser.sol,0
308,GasTokenUser.sol,0
317,GasTokenUser.sol,0
325,GasTokenUser.sol,0
333,GasTokenUser.sol,0
341,GasTokenUser.sol,0
350,GasTokenUser.sol,0
358,GasTokenUser.sol,0
366,GasTokenUser.sol,0
375,GasTokenUser.sol,0
383,GasTokenUser.sol,0
391,GasTokenUser.sol,0
400,GasTokenUser.sol,0
409,GasTokenUser.sol,0
416,GasTokenUser.sol,0
425,GasTokenUser.sol,0
434,GasTokenUser.sol,0
442,GasTokenUser.sol,0
449,GasTokenUser.sol,0
458,GasTokenUser.sol,0
467,GasTokenUser.sol,0
475,GasTokenUser.sol,0
483,GasTokenUser.sol,0
491,GasTokenUser.sol,0
500,GasTokenUser.sol,0
508,GasTokenUser.sol,0
516,GasTokenUser.sol,0
525,GasTokenUser.sol,0
533,GasTokenUser.sol,0
542,GasTokenUser.sol,0
550,GasTokenUser.sol,0
558,GasTokenUser.sol,0
566,GasTokenUser.sol,0
574,GasTokenUser.sol,0
