TIME,SUBJECT,COVERAGE
0,Token50X100.sol,0
29,Token50X100.sol,12.42
57,Token50X100.sol,16.77
84,Token50X100.sol,19.88
111,Token50X100.sol,21.74
137,Token50X100.sol,24.22
165,Token50X100.sol,24.22
195,Token50X100.sol,24.22
223,Token50X100.sol,24.22
248,Token50X100.sol,24.22
275,Token50X100.sol,24.22
303,Token50X100.sol,24.22
329,Token50X100.sol,24.84
356,Token50X100.sol,24.84
382,Token50X100.sol,24.84
407,Token50X100.sol,24.84
435,Token50X100.sol,24.84
463,Token50X100.sol,24.84
489,Token50X100.sol,24.84
516,Token50X100.sol,26.71
542,Token50X100.sol,26.71
569,Token50X100.sol,26.71
595,Token50X100.sol,28.57
622,Token50X100.sol,28.57
648,Token50X100.sol,28.57
677,Token50X100.sol,28.57
703,Token50X100.sol,28.57
729,Token50X100.sol,28.57
755,Token50X100.sol,28.57
785,Token50X100.sol,28.57
813,Token50X100.sol,28.57
841,Token50X100.sol,28.57
874,Token50X100.sol,28.57
903,Token50X100.sol,28.57
934,Token50X100.sol,29.81
961,Token50X100.sol,29.81
990,Token50X100.sol,29.81
1015,Token50X100.sol,29.81
1044,Token50X100.sol,29.81
1071,Token50X100.sol,29.81
1095,Token50X100.sol,29.81
1121,Token50X100.sol,29.81
1148,Token50X100.sol,29.81
1176,Token50X100.sol,29.81
1201,Token50X100.sol,29.81
1234,Token50X100.sol,29.81
1260,Token50X100.sol,29.81
1286,Token50X100.sol,29.81
1314,Token50X100.sol,32.92
1340,Token50X100.sol,32.92
1365,Token50X100.sol,32.92
1390,Token50X100.sol,32.92
1418,Token50X100.sol,32.92
1448,Token50X100.sol,32.92
1478,Token50X100.sol,35.4
1505,Token50X100.sol,35.4
1537,Token50X100.sol,35.4
1567,Token50X100.sol,35.4
1594,Token50X100.sol,35.4
1622,Token50X100.sol,35.4
1649,Token50X100.sol,35.4
1674,Token50X100.sol,35.4
1699,Token50X100.sol,35.4
1726,Token50X100.sol,35.4
1751,Token50X100.sol,35.4
1778,Token50X100.sol,35.4
1802,Token50X100.sol,35.4
