TIME,SUBJECT,COVERAGE
0,Ledgis.sol,0
15,Ledgis.sol,20.34
31,Ledgis.sol,23.73
45,Ledgis.sol,23.73
60,Ledgis.sol,25.42
74,Ledgis.sol,25.42
88,Ledgis.sol,25.42
102,Ledgis.sol,32.2
117,Ledgis.sol,33.9
132,Ledgis.sol,35.59
147,Ledgis.sol,35.59
161,Ledgis.sol,37.29
177,Ledgis.sol,37.29
192,Ledgis.sol,38.98
208,Ledgis.sol,38.98
222,Ledgis.sol,38.98
236,Ledgis.sol,38.98
249,Ledgis.sol,40.68
263,Ledgis.sol,42.37
276,Ledgis.sol,42.37
289,Ledgis.sol,44.07
302,Ledgis.sol,44.07
315,Ledgis.sol,44.07
329,Ledgis.sol,44.07
342,Ledgis.sol,44.07
355,Ledgis.sol,44.07
369,Ledgis.sol,44.07
382,Ledgis.sol,47.46
395,Ledgis.sol,49.15
408,Ledgis.sol,49.15
422,Ledgis.sol,50.85
435,Ledgis.sol,50.85
448,Ledgis.sol,55.93
462,Ledgis.sol,55.93
474,Ledgis.sol,55.93
488,Ledgis.sol,55.93
501,Ledgis.sol,55.93
514,Ledgis.sol,55.93
528,Ledgis.sol,55.93
541,Ledgis.sol,55.93
554,Ledgis.sol,55.93
568,Ledgis.sol,55.93
581,Ledgis.sol,55.93
594,Ledgis.sol,57.63
611,Ledgis.sol,59.32
625,Ledgis.sol,59.32
639,Ledgis.sol,61.02
653,Ledgis.sol,61.02
669,Ledgis.sol,61.02
683,Ledgis.sol,61.02
700,Ledgis.sol,61.02
716,Ledgis.sol,61.02
732,Ledgis.sol,61.02
749,Ledgis.sol,61.02
763,Ledgis.sol,61.02
780,Ledgis.sol,61.02
795,Ledgis.sol,61.02
809,Ledgis.sol,61.02
824,Ledgis.sol,61.02
842,Ledgis.sol,61.02
858,Ledgis.sol,61.02
878,Ledgis.sol,61.02
892,Ledgis.sol,61.02
910,Ledgis.sol,61.02
926,Ledgis.sol,62.71
941,Ledgis.sol,62.71
955,Ledgis.sol,62.71
972,Ledgis.sol,62.71
988,Ledgis.sol,62.71
1004,Ledgis.sol,62.71
1019,Ledgis.sol,62.71
1034,Ledgis.sol,62.71
1047,Ledgis.sol,62.71
1063,Ledgis.sol,62.71
1080,Ledgis.sol,62.71
1096,Ledgis.sol,62.71
1110,Ledgis.sol,62.71
1125,Ledgis.sol,62.71
1140,Ledgis.sol,62.71
1156,Ledgis.sol,62.71
1174,Ledgis.sol,62.71
1192,Ledgis.sol,62.71
1208,Ledgis.sol,62.71
1223,Ledgis.sol,62.71
1239,Ledgis.sol,62.71
1258,Ledgis.sol,62.71
1272,Ledgis.sol,62.71
1290,Ledgis.sol,62.71
1305,Ledgis.sol,62.71
1322,Ledgis.sol,62.71
1337,Ledgis.sol,62.71
1357,Ledgis.sol,62.71
1371,Ledgis.sol,62.71
1386,Ledgis.sol,62.71
1403,Ledgis.sol,62.71
1419,Ledgis.sol,62.71
1438,Ledgis.sol,62.71
1455,Ledgis.sol,62.71
1473,Ledgis.sol,62.71
1491,Ledgis.sol,62.71
1507,Ledgis.sol,62.71
1522,Ledgis.sol,62.71
1536,Ledgis.sol,62.71
1553,Ledgis.sol,62.71
1568,Ledgis.sol,62.71
1584,Ledgis.sol,62.71
1599,Ledgis.sol,62.71
1613,Ledgis.sol,62.71
1629,Ledgis.sol,62.71
1643,Ledgis.sol,62.71
1660,Ledgis.sol,62.71
1676,Ledgis.sol,62.71
1692,Ledgis.sol,62.71
1707,Ledgis.sol,62.71
1724,Ledgis.sol,62.71
1739,Ledgis.sol,62.71
1753,Ledgis.sol,62.71
1770,Ledgis.sol,62.71
1786,Ledgis.sol,62.71
1799,Ledgis.sol,62.71
1801,Ledgis.sol,62.71
