TIME,SUBJECT,COVERAGE
0,TPA.sol,0
29,TPA.sol,39.29
62,TPA.sol,41.67
97,TPA.sol,48.81
134,TPA.sol,48.81
172,TPA.sol,51.19
210,TPA.sol,51.19
244,TPA.sol,53.57
277,TPA.sol,54.76
311,TPA.sol,54.76
344,TPA.sol,58.33
378,TPA.sol,58.33
412,TPA.sol,58.33
446,TPA.sol,58.33
480,TPA.sol,59.52
515,TPA.sol,59.52
551,TPA.sol,59.52
587,TPA.sol,59.52
621,TPA.sol,59.52
657,TPA.sol,60.71
692,TPA.sol,63.1
728,TPA.sol,63.1
766,TPA.sol,63.1
806,TPA.sol,63.1
841,TPA.sol,63.1
879,TPA.sol,63.1
917,TPA.sol,63.1
953,TPA.sol,63.1
990,TPA.sol,63.1
1028,TPA.sol,63.1
1063,TPA.sol,63.1
1104,TPA.sol,63.1
1143,TPA.sol,63.1
1179,TPA.sol,63.1
1216,TPA.sol,63.1
1259,TPA.sol,63.1
1302,TPA.sol,63.1
1340,TPA.sol,64.29
1383,TPA.sol,64.29
1429,TPA.sol,64.29
1468,TPA.sol,64.29
1517,TPA.sol,64.29
1562,TPA.sol,64.29
1611,TPA.sol,64.29
1652,TPA.sol,64.29
1695,TPA.sol,64.29
1734,TPA.sol,64.29
1770,TPA.sol,64.29
1803,TPA.sol,64.29
