TIME,SUBJECT,COVERAGE
0,AavePoolReward.sol,0
9,AavePoolReward.sol,57.58
18,AavePoolReward.sol,60.61
28,AavePoolReward.sol,60.61
38,AavePoolReward.sol,60.61
48,AavePoolReward.sol,66.67
59,AavePoolReward.sol,66.67
69,AavePoolReward.sol,66.67
79,AavePoolReward.sol,66.67
91,AavePoolReward.sol,66.67
101,AavePoolReward.sol,66.67
111,AavePoolReward.sol,81.82
121,AavePoolReward.sol,84.85
130,AavePoolReward.sol,84.85
139,AavePoolReward.sol,84.85
149,AavePoolReward.sol,84.85
158,AavePoolReward.sol,84.85
167,AavePoolReward.sol,84.85
177,AavePoolReward.sol,84.85
186,AavePoolReward.sol,84.85
195,AavePoolReward.sol,84.85
205,AavePoolReward.sol,84.85
214,AavePoolReward.sol,84.85
224,AavePoolReward.sol,84.85
233,AavePoolReward.sol,84.85
243,AavePoolReward.sol,84.85
251,AavePoolReward.sol,84.85
261,AavePoolReward.sol,84.85
270,AavePoolReward.sol,84.85
279,AavePoolReward.sol,84.85
288,AavePoolReward.sol,84.85
298,AavePoolReward.sol,84.85
308,AavePoolReward.sol,84.85
317,AavePoolReward.sol,84.85
326,AavePoolReward.sol,84.85
336,AavePoolReward.sol,84.85
346,AavePoolReward.sol,84.85
355,AavePoolReward.sol,84.85
365,AavePoolReward.sol,84.85
374,AavePoolReward.sol,84.85
384,AavePoolReward.sol,84.85
393,AavePoolReward.sol,84.85
402,AavePoolReward.sol,84.85
412,AavePoolReward.sol,84.85
421,AavePoolReward.sol,84.85
430,AavePoolReward.sol,84.85
443,AavePoolReward.sol,84.85
456,AavePoolReward.sol,84.85
469,AavePoolReward.sol,84.85
482,AavePoolReward.sol,84.85
495,AavePoolReward.sol,84.85
507,AavePoolReward.sol,84.85
520,AavePoolReward.sol,84.85
532,AavePoolReward.sol,84.85
544,AavePoolReward.sol,84.85
558,AavePoolReward.sol,84.85
570,AavePoolReward.sol,84.85
584,AavePoolReward.sol,84.85
597,AavePoolReward.sol,84.85
609,AavePoolReward.sol,84.85
623,AavePoolReward.sol,84.85
637,AavePoolReward.sol,84.85
650,AavePoolReward.sol,84.85
662,AavePoolReward.sol,84.85
675,AavePoolReward.sol,84.85
689,AavePoolReward.sol,84.85
703,AavePoolReward.sol,84.85
714,AavePoolReward.sol,84.85
728,AavePoolReward.sol,84.85
741,AavePoolReward.sol,84.85
754,AavePoolReward.sol,84.85
768,AavePoolReward.sol,84.85
782,AavePoolReward.sol,84.85
795,AavePoolReward.sol,84.85
808,AavePoolReward.sol,84.85
822,AavePoolReward.sol,84.85
835,AavePoolReward.sol,84.85
848,AavePoolReward.sol,84.85
860,AavePoolReward.sol,84.85
872,AavePoolReward.sol,84.85
886,AavePoolReward.sol,84.85
899,AavePoolReward.sol,84.85
914,AavePoolReward.sol,84.85
926,AavePoolReward.sol,84.85
941,AavePoolReward.sol,84.85
955,AavePoolReward.sol,84.85
970,AavePoolReward.sol,84.85
983,AavePoolReward.sol,84.85
996,AavePoolReward.sol,84.85
1010,AavePoolReward.sol,84.85
1024,AavePoolReward.sol,84.85
1039,AavePoolReward.sol,84.85
1052,AavePoolReward.sol,84.85
1065,AavePoolReward.sol,84.85
1080,AavePoolReward.sol,84.85
1094,AavePoolReward.sol,84.85
1107,AavePoolReward.sol,84.85
1121,AavePoolReward.sol,84.85
1135,AavePoolReward.sol,84.85
1148,AavePoolReward.sol,84.85
1161,AavePoolReward.sol,84.85
1173,AavePoolReward.sol,84.85
1189,AavePoolReward.sol,84.85
1202,AavePoolReward.sol,84.85
1211,AavePoolReward.sol,84.85
1220,AavePoolReward.sol,84.85
1229,AavePoolReward.sol,84.85
1239,AavePoolReward.sol,84.85
1248,AavePoolReward.sol,84.85
1258,AavePoolReward.sol,84.85
1267,AavePoolReward.sol,84.85
1277,AavePoolReward.sol,84.85
1287,AavePoolReward.sol,84.85
1297,AavePoolReward.sol,84.85
1307,AavePoolReward.sol,84.85
1321,AavePoolReward.sol,84.85
1337,AavePoolReward.sol,84.85
1349,AavePoolReward.sol,84.85
1363,AavePoolReward.sol,84.85
1377,AavePoolReward.sol,84.85
1391,AavePoolReward.sol,84.85
1405,AavePoolReward.sol,84.85
1419,AavePoolReward.sol,84.85
1431,AavePoolReward.sol,84.85
1445,AavePoolReward.sol,84.85
1461,AavePoolReward.sol,84.85
1475,AavePoolReward.sol,84.85
1491,AavePoolReward.sol,84.85
1505,AavePoolReward.sol,84.85
1521,AavePoolReward.sol,84.85
1534,AavePoolReward.sol,84.85
1552,AavePoolReward.sol,84.85
1567,AavePoolReward.sol,84.85
1581,AavePoolReward.sol,84.85
1596,AavePoolReward.sol,84.85
1608,AavePoolReward.sol,84.85
1623,AavePoolReward.sol,84.85
1638,AavePoolReward.sol,84.85
1652,AavePoolReward.sol,84.85
1666,AavePoolReward.sol,84.85
1680,AavePoolReward.sol,84.85
1691,AavePoolReward.sol,84.85
1704,AavePoolReward.sol,84.85
1718,AavePoolReward.sol,84.85
1733,AavePoolReward.sol,84.85
1748,AavePoolReward.sol,84.85
1761,AavePoolReward.sol,84.85
1774,AavePoolReward.sol,84.85
1804,AavePoolReward.sol,84.85
