TIME,SUBJECT,COVERAGE
0,MIMOToken.sol,0
17,MIMOToken.sol,91.67
28,MIMOToken.sol,91.67
40,MIMOToken.sol,91.67
48,MIMOToken.sol,91.67
55,MIMOToken.sol,91.67
61,MIMOToken.sol,91.67
72,MIMOToken.sol,91.67
80,MIMOToken.sol,91.67
88,MIMOToken.sol,91.67
100,MIMOToken.sol,91.67
113,MIMOToken.sol,91.67
125,MIMOToken.sol,91.67
138,MIMOToken.sol,91.67
150,MIMOToken.sol,91.67
161,MIMOToken.sol,91.67
176,MIMOToken.sol,91.67
190,MIMOToken.sol,91.67
200,MIMOToken.sol,91.67
213,MIMOToken.sol,91.67
223,MIMOToken.sol,91.67
239,MIMOToken.sol,91.67
249,MIMOToken.sol,91.67
262,MIMOToken.sol,91.67
276,MIMOToken.sol,91.67
291,MIMOToken.sol,91.67
300,MIMOToken.sol,91.67
310,MIMOToken.sol,91.67
320,MIMOToken.sol,91.67
329,MIMOToken.sol,91.67
341,MIMOToken.sol,91.67
350,MIMOToken.sol,91.67
361,MIMOToken.sol,91.67
372,MIMOToken.sol,91.67
383,MIMOToken.sol,91.67
393,MIMOToken.sol,91.67
407,MIMOToken.sol,91.67
420,MIMOToken.sol,91.67
429,MIMOToken.sol,91.67
440,MIMOToken.sol,91.67
450,MIMOToken.sol,91.67
459,MIMOToken.sol,91.67
471,MIMOToken.sol,91.67
484,MIMOToken.sol,91.67
495,MIMOToken.sol,91.67
506,MIMOToken.sol,91.67
516,MIMOToken.sol,91.67
526,MIMOToken.sol,91.67
537,MIMOToken.sol,91.67
547,MIMOToken.sol,91.67
559,MIMOToken.sol,91.67
571,MIMOToken.sol,91.67
581,MIMOToken.sol,91.67
591,MIMOToken.sol,91.67
604,MIMOToken.sol,91.67
614,MIMOToken.sol,91.67
624,MIMOToken.sol,91.67
634,MIMOToken.sol,91.67
645,MIMOToken.sol,91.67
655,MIMOToken.sol,91.67
665,MIMOToken.sol,91.67
675,MIMOToken.sol,91.67
684,MIMOToken.sol,91.67
694,MIMOToken.sol,91.67
704,MIMOToken.sol,91.67
714,MIMOToken.sol,91.67
724,MIMOToken.sol,91.67
734,MIMOToken.sol,91.67
745,MIMOToken.sol,91.67
757,MIMOToken.sol,91.67
766,MIMOToken.sol,91.67
779,MIMOToken.sol,91.67
788,MIMOToken.sol,91.67
793,MIMOToken.sol,91.67
800,MIMOToken.sol,91.67
806,MIMOToken.sol,91.67
812,MIMOToken.sol,91.67
818,MIMOToken.sol,91.67
824,MIMOToken.sol,91.67
830,MIMOToken.sol,91.67
836,MIMOToken.sol,91.67
842,MIMOToken.sol,91.67
848,MIMOToken.sol,91.67
855,MIMOToken.sol,91.67
861,MIMOToken.sol,91.67
866,MIMOToken.sol,91.67
872,MIMOToken.sol,91.67
878,MIMOToken.sol,91.67
884,MIMOToken.sol,91.67
890,MIMOToken.sol,91.67
896,MIMOToken.sol,91.67
905,MIMOToken.sol,91.67
911,MIMOToken.sol,91.67
916,MIMOToken.sol,91.67
923,MIMOToken.sol,91.67
930,MIMOToken.sol,91.67
937,MIMOToken.sol,91.67
942,MIMOToken.sol,91.67
948,MIMOToken.sol,91.67
960,MIMOToken.sol,91.67
971,MIMOToken.sol,91.67
983,MIMOToken.sol,91.67
994,MIMOToken.sol,91.67
1006,MIMOToken.sol,91.67
1017,MIMOToken.sol,91.67
1028,MIMOToken.sol,91.67
1041,MIMOToken.sol,91.67
1057,MIMOToken.sol,91.67
1071,MIMOToken.sol,91.67
1083,MIMOToken.sol,91.67
1093,MIMOToken.sol,91.67
1103,MIMOToken.sol,91.67
1117,MIMOToken.sol,91.67
1127,MIMOToken.sol,91.67
1139,MIMOToken.sol,91.67
1150,MIMOToken.sol,91.67
1159,MIMOToken.sol,91.67
1168,MIMOToken.sol,91.67
1179,MIMOToken.sol,91.67
1191,MIMOToken.sol,91.67
1205,MIMOToken.sol,91.67
1215,MIMOToken.sol,91.67
1226,MIMOToken.sol,91.67
1236,MIMOToken.sol,91.67
1245,MIMOToken.sol,91.67
1255,MIMOToken.sol,91.67
1265,MIMOToken.sol,91.67
1275,MIMOToken.sol,91.67
1285,MIMOToken.sol,91.67
1294,MIMOToken.sol,91.67
1305,MIMOToken.sol,91.67
1313,MIMOToken.sol,91.67
1323,MIMOToken.sol,91.67
1333,MIMOToken.sol,91.67
1342,MIMOToken.sol,91.67
1350,MIMOToken.sol,91.67
1362,MIMOToken.sol,91.67
1377,MIMOToken.sol,91.67
1391,MIMOToken.sol,91.67
1402,MIMOToken.sol,91.67
1415,MIMOToken.sol,91.67
1424,MIMOToken.sol,91.67
1435,MIMOToken.sol,91.67
1443,MIMOToken.sol,91.67
1453,MIMOToken.sol,91.67
1463,MIMOToken.sol,91.67
1471,MIMOToken.sol,91.67
1481,MIMOToken.sol,91.67
1491,MIMOToken.sol,91.67
1504,MIMOToken.sol,91.67
1512,MIMOToken.sol,91.67
1522,MIMOToken.sol,91.67
1529,MIMOToken.sol,91.67
1538,MIMOToken.sol,91.67
1552,MIMOToken.sol,91.67
1563,MIMOToken.sol,91.67
1572,MIMOToken.sol,91.67
1579,MIMOToken.sol,91.67
1587,MIMOToken.sol,91.67
1595,MIMOToken.sol,91.67
1605,MIMOToken.sol,91.67
1615,MIMOToken.sol,91.67
1623,MIMOToken.sol,91.67
1632,MIMOToken.sol,91.67
1645,MIMOToken.sol,91.67
1657,MIMOToken.sol,91.67
1664,MIMOToken.sol,91.67
1671,MIMOToken.sol,91.67
1679,MIMOToken.sol,91.67
1687,MIMOToken.sol,91.67
1700,MIMOToken.sol,91.67
1711,MIMOToken.sol,91.67
1724,MIMOToken.sol,91.67
1735,MIMOToken.sol,91.67
1745,MIMOToken.sol,91.67
1751,MIMOToken.sol,91.67
1760,MIMOToken.sol,91.67
1769,MIMOToken.sol,91.67
1779,MIMOToken.sol,91.67
1789,MIMOToken.sol,91.67
1801,MIMOToken.sol,91.67
