TIME,SUBJECT,COVERAGE
0,Fomp.sol,0
10,Fomp.sol,52.38
17,Fomp.sol,57.14
25,Fomp.sol,57.14
34,Fomp.sol,57.14
42,Fomp.sol,57.14
54,Fomp.sol,57.14
63,Fomp.sol,57.14
70,Fomp.sol,57.14
80,Fomp.sol,71.43
88,Fomp.sol,71.43
97,Fomp.sol,71.43
105,Fomp.sol,71.43
114,Fomp.sol,71.43
121,Fomp.sol,71.43
129,Fomp.sol,71.43
135,Fomp.sol,71.43
143,Fomp.sol,71.43
150,Fomp.sol,71.43
160,Fomp.sol,71.43
168,Fomp.sol,71.43
175,Fomp.sol,73.02
183,Fomp.sol,73.02
191,Fomp.sol,73.02
199,Fomp.sol,73.02
210,Fomp.sol,73.02
218,Fomp.sol,73.02
228,Fomp.sol,73.02
236,Fomp.sol,73.02
244,Fomp.sol,73.02
251,Fomp.sol,73.02
257,Fomp.sol,73.02
263,Fomp.sol,73.02
270,Fomp.sol,73.02
276,Fomp.sol,73.02
286,Fomp.sol,73.02
293,Fomp.sol,73.02
303,Fomp.sol,73.02
312,Fomp.sol,73.02
320,Fomp.sol,73.02
329,Fomp.sol,73.02
336,Fomp.sol,73.02
344,Fomp.sol,73.02
353,Fomp.sol,73.02
359,Fomp.sol,73.02
365,Fomp.sol,73.02
371,Fomp.sol,73.02
380,Fomp.sol,73.02
389,Fomp.sol,73.02
396,Fomp.sol,73.02
409,Fomp.sol,73.02
418,Fomp.sol,73.02
426,Fomp.sol,73.02
434,Fomp.sol,73.02
443,Fomp.sol,73.02
453,Fomp.sol,73.02
460,Fomp.sol,73.02
470,Fomp.sol,73.02
478,Fomp.sol,73.02
487,Fomp.sol,73.02
495,Fomp.sol,73.02
505,Fomp.sol,73.02
515,Fomp.sol,73.02
522,Fomp.sol,73.02
530,Fomp.sol,73.02
540,Fomp.sol,73.02
548,Fomp.sol,73.02
557,Fomp.sol,73.02
566,Fomp.sol,73.02
575,Fomp.sol,73.02
584,Fomp.sol,73.02
593,Fomp.sol,73.02
602,Fomp.sol,73.02
612,Fomp.sol,73.02
622,Fomp.sol,73.02
632,Fomp.sol,73.02
640,Fomp.sol,73.02
653,Fomp.sol,73.02
663,Fomp.sol,73.02
672,Fomp.sol,73.02
681,Fomp.sol,73.02
690,Fomp.sol,73.02
700,Fomp.sol,73.02
711,Fomp.sol,73.02
721,Fomp.sol,73.02
731,Fomp.sol,73.02
740,Fomp.sol,73.02
749,Fomp.sol,73.02
760,Fomp.sol,73.02
769,Fomp.sol,73.02
778,Fomp.sol,73.02
790,Fomp.sol,73.02
799,Fomp.sol,73.02
809,Fomp.sol,73.02
817,Fomp.sol,73.02
828,Fomp.sol,73.02
837,Fomp.sol,73.02
847,Fomp.sol,73.02
858,Fomp.sol,73.02
869,Fomp.sol,73.02
878,Fomp.sol,73.02
888,Fomp.sol,73.02
897,Fomp.sol,73.02
906,Fomp.sol,73.02
916,Fomp.sol,73.02
926,Fomp.sol,73.02
938,Fomp.sol,73.02
947,Fomp.sol,73.02
957,Fomp.sol,73.02
967,Fomp.sol,73.02
978,Fomp.sol,73.02
988,Fomp.sol,73.02
1001,Fomp.sol,73.02
1011,Fomp.sol,73.02
1021,Fomp.sol,73.02
1032,Fomp.sol,73.02
1040,Fomp.sol,73.02
1050,Fomp.sol,73.02
1061,Fomp.sol,73.02
1070,Fomp.sol,73.02
1079,Fomp.sol,73.02
1089,Fomp.sol,73.02
1101,Fomp.sol,73.02
1110,Fomp.sol,73.02
1120,Fomp.sol,73.02
1130,Fomp.sol,73.02
1139,Fomp.sol,73.02
1150,Fomp.sol,73.02
1162,Fomp.sol,73.02
1172,Fomp.sol,73.02
1181,Fomp.sol,73.02
1193,Fomp.sol,73.02
1201,Fomp.sol,73.02
1207,Fomp.sol,73.02
1217,Fomp.sol,73.02
1228,Fomp.sol,73.02
1238,Fomp.sol,74.6
1249,Fomp.sol,74.6
1258,Fomp.sol,74.6
1268,Fomp.sol,74.6
1278,Fomp.sol,74.6
1288,Fomp.sol,74.6
1297,Fomp.sol,74.6
1309,Fomp.sol,74.6
1318,Fomp.sol,74.6
1330,Fomp.sol,74.6
1341,Fomp.sol,74.6
1352,Fomp.sol,74.6
1363,Fomp.sol,74.6
1377,Fomp.sol,74.6
1387,Fomp.sol,74.6
1402,Fomp.sol,74.6
1413,Fomp.sol,74.6
1423,Fomp.sol,74.6
1434,Fomp.sol,74.6
1444,Fomp.sol,74.6
1454,Fomp.sol,74.6
1467,Fomp.sol,74.6
1479,Fomp.sol,74.6
1491,Fomp.sol,74.6
1501,Fomp.sol,74.6
1511,Fomp.sol,74.6
1521,Fomp.sol,74.6
1528,Fomp.sol,74.6
1534,Fomp.sol,74.6
1541,Fomp.sol,74.6
1548,Fomp.sol,74.6
1555,Fomp.sol,74.6
1563,Fomp.sol,74.6
1579,Fomp.sol,74.6
1597,Fomp.sol,74.6
1609,Fomp.sol,74.6
1623,Fomp.sol,74.6
1633,Fomp.sol,74.6
1646,Fomp.sol,74.6
1660,Fomp.sol,74.6
1673,Fomp.sol,74.6
1683,Fomp.sol,74.6
1695,Fomp.sol,74.6
1709,Fomp.sol,74.6
1722,Fomp.sol,74.6
1739,Fomp.sol,74.6
1757,Fomp.sol,74.6
1769,Fomp.sol,74.6
1780,Fomp.sol,74.6
1791,Fomp.sol,74.6
1800,Fomp.sol,74.6
