TIME,SUBJECT,COVERAGE
0,WheatFarm.sol,0
30,WheatFarm.sol,19.27
60,WheatFarm.sol,19.27
87,WheatFarm.sol,19.27
118,WheatFarm.sol,21.1
148,WheatFarm.sol,21.1
176,WheatFarm.sol,21.1
207,WheatFarm.sol,21.1
234,WheatFarm.sol,21.1
265,WheatFarm.sol,21.1
298,WheatFarm.sol,21.1
333,WheatFarm.sol,21.1
372,WheatFarm.sol,21.1
407,WheatFarm.sol,23.85
438,WheatFarm.sol,23.85
465,WheatFarm.sol,23.85
493,WheatFarm.sol,23.85
521,WheatFarm.sol,23.85
548,WheatFarm.sol,23.85
576,WheatFarm.sol,23.85
603,WheatFarm.sol,23.85
632,WheatFarm.sol,23.85
658,WheatFarm.sol,23.85
686,WheatFarm.sol,23.85
713,WheatFarm.sol,23.85
739,WheatFarm.sol,24.77
764,WheatFarm.sol,24.77
790,WheatFarm.sol,24.77
816,WheatFarm.sol,24.77
842,WheatFarm.sol,24.77
869,WheatFarm.sol,24.77
896,WheatFarm.sol,24.77
923,WheatFarm.sol,24.77
950,WheatFarm.sol,24.77
977,WheatFarm.sol,24.77
1007,WheatFarm.sol,24.77
1037,WheatFarm.sol,24.77
1063,WheatFarm.sol,24.77
1090,WheatFarm.sol,24.77
1117,WheatFarm.sol,24.77
1146,WheatFarm.sol,24.77
1179,WheatFarm.sol,24.77
1205,WheatFarm.sol,24.77
1234,WheatFarm.sol,24.77
1259,WheatFarm.sol,24.77
1289,WheatFarm.sol,24.77
1326,WheatFarm.sol,24.77
1354,WheatFarm.sol,24.77
1381,WheatFarm.sol,24.77
1408,WheatFarm.sol,24.77
1436,WheatFarm.sol,24.77
1465,WheatFarm.sol,24.77
1495,WheatFarm.sol,24.77
1524,WheatFarm.sol,24.77
1549,WheatFarm.sol,24.77
1577,WheatFarm.sol,24.77
1607,WheatFarm.sol,24.77
1634,WheatFarm.sol,24.77
1662,WheatFarm.sol,24.77
1689,WheatFarm.sol,24.77
1717,WheatFarm.sol,24.77
1743,WheatFarm.sol,24.77
1773,WheatFarm.sol,24.77
1800,WheatFarm.sol,24.77
