TIME,SUBJECT,COVERAGE
0,JGNRewards.sol,0
15,JGNRewards.sol,72.22
31,JGNRewards.sol,72.22
49,JGNRewards.sol,72.22
64,JGNRewards.sol,72.22
81,JGNRewards.sol,72.22
97,JGNRewards.sol,72.22
116,JGNRewards.sol,72.22
134,JGNRewards.sol,72.22
152,JGNRewards.sol,72.22
170,JGNRewards.sol,72.22
186,JGNRewards.sol,72.22
203,JGNRewards.sol,72.22
221,JGNRewards.sol,72.22
235,JGNRewards.sol,72.22
248,JGNRewards.sol,72.22
260,JGNRewards.sol,72.22
277,JGNRewards.sol,72.22
294,JGNRewards.sol,72.22
308,JGNRewards.sol,72.22
321,JGNRewards.sol,72.22
339,JGNRewards.sol,72.22
353,JGNRewards.sol,72.22
368,JGNRewards.sol,72.22
380,JGNRewards.sol,72.22
393,JGNRewards.sol,72.22
405,JGNRewards.sol,72.22
418,JGNRewards.sol,72.22
431,JGNRewards.sol,72.22
444,JGNRewards.sol,72.22
459,JGNRewards.sol,72.22
475,JGNRewards.sol,72.22
488,JGNRewards.sol,72.22
502,JGNRewards.sol,72.22
516,JGNRewards.sol,72.22
531,JGNRewards.sol,72.22
543,JGNRewards.sol,72.22
556,JGNRewards.sol,72.22
569,JGNRewards.sol,72.22
584,JGNRewards.sol,72.22
597,JGNRewards.sol,72.22
611,JGNRewards.sol,72.22
625,JGNRewards.sol,72.22
638,JGNRewards.sol,72.22
652,JGNRewards.sol,72.22
665,JGNRewards.sol,72.22
678,JGNRewards.sol,72.22
692,JGNRewards.sol,72.22
703,JGNRewards.sol,72.22
717,JGNRewards.sol,72.22
732,JGNRewards.sol,72.22
745,JGNRewards.sol,72.22
759,JGNRewards.sol,72.22
774,JGNRewards.sol,72.22
788,JGNRewards.sol,72.22
803,JGNRewards.sol,72.22
817,JGNRewards.sol,72.22
833,JGNRewards.sol,72.22
847,JGNRewards.sol,72.22
860,JGNRewards.sol,72.22
874,JGNRewards.sol,72.22
886,JGNRewards.sol,72.22
901,JGNRewards.sol,72.22
915,JGNRewards.sol,72.22
929,JGNRewards.sol,72.22
943,JGNRewards.sol,72.22
956,JGNRewards.sol,72.22
969,JGNRewards.sol,72.22
984,JGNRewards.sol,72.22
1001,JGNRewards.sol,72.22
1017,JGNRewards.sol,72.22
1034,JGNRewards.sol,72.22
1046,JGNRewards.sol,72.22
1060,JGNRewards.sol,72.22
1075,JGNRewards.sol,72.22
1087,JGNRewards.sol,72.22
1102,JGNRewards.sol,72.22
1115,JGNRewards.sol,72.22
1127,JGNRewards.sol,72.22
1142,JGNRewards.sol,72.22
1157,JGNRewards.sol,72.22
1175,JGNRewards.sol,72.22
1195,JGNRewards.sol,72.22
1208,JGNRewards.sol,72.22
1224,JGNRewards.sol,72.22
1241,JGNRewards.sol,72.22
1257,JGNRewards.sol,72.22
1272,JGNRewards.sol,72.22
1285,JGNRewards.sol,72.22
1300,JGNRewards.sol,72.22
1313,JGNRewards.sol,72.22
1325,JGNRewards.sol,72.22
1337,JGNRewards.sol,72.22
1350,JGNRewards.sol,72.22
1362,JGNRewards.sol,72.22
1376,JGNRewards.sol,72.22
1392,JGNRewards.sol,72.22
1405,JGNRewards.sol,72.22
1416,JGNRewards.sol,72.22
1429,JGNRewards.sol,72.22
1441,JGNRewards.sol,72.22
1455,JGNRewards.sol,72.22
1470,JGNRewards.sol,72.22
1488,JGNRewards.sol,72.22
1506,JGNRewards.sol,72.22
1517,JGNRewards.sol,72.22
1528,JGNRewards.sol,72.22
1546,JGNRewards.sol,72.22
1565,JGNRewards.sol,72.22
1580,JGNRewards.sol,72.22
1592,JGNRewards.sol,72.22
1607,JGNRewards.sol,72.22
1621,JGNRewards.sol,72.22
1634,JGNRewards.sol,72.22
1646,JGNRewards.sol,72.22
1660,JGNRewards.sol,72.22
1674,JGNRewards.sol,72.22
1684,JGNRewards.sol,72.22
1701,JGNRewards.sol,72.22
1715,JGNRewards.sol,72.22
1733,JGNRewards.sol,72.22
1751,JGNRewards.sol,72.22
1767,JGNRewards.sol,72.22
1784,JGNRewards.sol,72.22
1797,JGNRewards.sol,72.22
1800,JGNRewards.sol,72.22
