TIME,SUBJECT,COVERAGE
0,XenoFelix.sol,0
22,XenoFelix.sol,0
44,XenoFelix.sol,0
72,XenoFelix.sol,17.5
96,XenoFelix.sol,17.5
124,XenoFelix.sol,25
157,XenoFelix.sol,27.5
191,XenoFelix.sol,27.5
227,XenoFelix.sol,28.75
260,XenoFelix.sol,28.75
299,XenoFelix.sol,28.75
336,XenoFelix.sol,28.75
374,XenoFelix.sol,30
409,XenoFelix.sol,30
445,XenoFelix.sol,40
480,XenoFelix.sol,41.25
514,XenoFelix.sol,41.25
551,XenoFelix.sol,43.75
586,XenoFelix.sol,43.75
622,XenoFelix.sol,47.5
659,XenoFelix.sol,47.5
697,XenoFelix.sol,47.5
733,XenoFelix.sol,47.5
769,XenoFelix.sol,48.75
808,XenoFelix.sol,48.75
846,XenoFelix.sol,50
883,XenoFelix.sol,50
918,XenoFelix.sol,50
958,XenoFelix.sol,50
996,XenoFelix.sol,50
1033,XenoFelix.sol,50
1068,XenoFelix.sol,53.75
1111,XenoFelix.sol,53.75
1149,XenoFelix.sol,55
1186,XenoFelix.sol,55
1220,XenoFelix.sol,55
1256,XenoFelix.sol,55
1295,XenoFelix.sol,55
1331,XenoFelix.sol,56.25
1370,XenoFelix.sol,56.25
1411,XenoFelix.sol,56.25
1446,XenoFelix.sol,57.5
1484,XenoFelix.sol,57.5
1522,XenoFelix.sol,57.5
1558,XenoFelix.sol,57.5
1597,XenoFelix.sol,57.5
1635,XenoFelix.sol,58.75
1672,XenoFelix.sol,58.75
1709,XenoFelix.sol,58.75
1746,XenoFelix.sol,58.75
1784,XenoFelix.sol,58.75
1803,XenoFelix.sol,58.75
