TIME,SUBJECT,COVERAGE
0,LUP.sol,0
11,LUP.sol,9.76
19,LUP.sol,9.76
28,LUP.sol,9.76
36,LUP.sol,14.63
47,LUP.sol,14.63
55,LUP.sol,14.63
63,LUP.sol,14.63
72,LUP.sol,29.27
81,LUP.sol,29.27
90,LUP.sol,29.27
99,LUP.sol,29.27
109,LUP.sol,34.15
120,LUP.sol,39.02
132,LUP.sol,43.9
144,LUP.sol,43.9
155,LUP.sol,43.9
166,LUP.sol,43.9
176,LUP.sol,43.9
188,LUP.sol,46.34
200,LUP.sol,46.34
211,LUP.sol,46.34
221,LUP.sol,46.34
231,LUP.sol,46.34
240,LUP.sol,46.34
251,LUP.sol,46.34
261,LUP.sol,46.34
272,LUP.sol,46.34
282,LUP.sol,46.34
297,LUP.sol,46.34
307,LUP.sol,46.34
318,LUP.sol,46.34
330,LUP.sol,46.34
341,LUP.sol,46.34
352,LUP.sol,46.34
363,LUP.sol,46.34
376,LUP.sol,46.34
389,LUP.sol,46.34
400,LUP.sol,46.34
412,LUP.sol,46.34
425,LUP.sol,46.34
437,LUP.sol,46.34
451,LUP.sol,56.1
462,LUP.sol,56.1
473,LUP.sol,56.1
484,LUP.sol,56.1
494,LUP.sol,56.1
505,LUP.sol,56.1
517,LUP.sol,56.1
529,LUP.sol,56.1
540,LUP.sol,56.1
551,LUP.sol,56.1
564,LUP.sol,56.1
574,LUP.sol,56.1
587,LUP.sol,56.1
600,LUP.sol,58.54
613,LUP.sol,58.54
624,LUP.sol,58.54
638,LUP.sol,58.54
651,LUP.sol,58.54
663,LUP.sol,58.54
677,LUP.sol,58.54
690,LUP.sol,58.54
700,LUP.sol,58.54
711,LUP.sol,58.54
722,LUP.sol,58.54
733,LUP.sol,58.54
743,LUP.sol,58.54
757,LUP.sol,58.54
771,LUP.sol,58.54
784,LUP.sol,58.54
797,LUP.sol,58.54
809,LUP.sol,58.54
820,LUP.sol,58.54
834,LUP.sol,58.54
844,LUP.sol,58.54
856,LUP.sol,58.54
867,LUP.sol,58.54
881,LUP.sol,58.54
893,LUP.sol,58.54
902,LUP.sol,58.54
915,LUP.sol,58.54
926,LUP.sol,58.54
941,LUP.sol,58.54
953,LUP.sol,58.54
966,LUP.sol,58.54
977,LUP.sol,58.54
992,LUP.sol,58.54
1004,LUP.sol,58.54
1016,LUP.sol,58.54
1030,LUP.sol,58.54
1042,LUP.sol,58.54
1052,LUP.sol,58.54
1063,LUP.sol,58.54
1077,LUP.sol,58.54
1089,LUP.sol,58.54
1100,LUP.sol,58.54
1115,LUP.sol,58.54
1128,LUP.sol,58.54
1139,LUP.sol,58.54
1152,LUP.sol,58.54
1162,LUP.sol,58.54
1176,LUP.sol,58.54
1185,LUP.sol,58.54
1195,LUP.sol,58.54
1210,LUP.sol,58.54
1221,LUP.sol,58.54
1236,LUP.sol,58.54
1250,LUP.sol,58.54
1261,LUP.sol,58.54
1273,LUP.sol,58.54
1286,LUP.sol,58.54
1297,LUP.sol,58.54
1307,LUP.sol,58.54
1321,LUP.sol,58.54
1332,LUP.sol,58.54
1344,LUP.sol,58.54
1353,LUP.sol,58.54
1366,LUP.sol,58.54
1377,LUP.sol,58.54
1390,LUP.sol,58.54
1401,LUP.sol,58.54
1412,LUP.sol,58.54
1426,LUP.sol,58.54
1437,LUP.sol,58.54
1447,LUP.sol,58.54
1458,LUP.sol,58.54
1471,LUP.sol,58.54
1481,LUP.sol,58.54
1493,LUP.sol,58.54
1507,LUP.sol,58.54
1520,LUP.sol,58.54
1532,LUP.sol,58.54
1544,LUP.sol,58.54
1557,LUP.sol,58.54
1569,LUP.sol,58.54
1580,LUP.sol,58.54
1592,LUP.sol,58.54
1604,LUP.sol,58.54
1615,LUP.sol,58.54
1627,LUP.sol,58.54
1638,LUP.sol,58.54
1648,LUP.sol,58.54
1660,LUP.sol,58.54
1670,LUP.sol,58.54
1683,LUP.sol,58.54
1695,LUP.sol,58.54
1706,LUP.sol,58.54
1715,LUP.sol,58.54
1729,LUP.sol,58.54
1739,LUP.sol,58.54
1751,LUP.sol,58.54
1764,LUP.sol,58.54
1774,LUP.sol,58.54
1784,LUP.sol,58.54
1796,LUP.sol,58.54
1800,LUP.sol,58.54
