TIME,SUBJECT,COVERAGE
0,OnXFinance.sol,0
20,OnXFinance.sol,19.27
40,OnXFinance.sol,19.27
60,OnXFinance.sol,19.27
80,OnXFinance.sol,19.27
100,OnXFinance.sol,19.27
118,OnXFinance.sol,19.27
136,OnXFinance.sol,19.27
155,OnXFinance.sol,19.27
173,OnXFinance.sol,22.02
192,OnXFinance.sol,22.02
210,OnXFinance.sol,22.02
228,OnXFinance.sol,22.02
247,OnXFinance.sol,22.02
265,OnXFinance.sol,22.02
283,OnXFinance.sol,22.02
301,OnXFinance.sol,22.02
318,OnXFinance.sol,22.02
336,OnXFinance.sol,22.02
355,OnXFinance.sol,22.02
373,OnXFinance.sol,22.02
393,OnXFinance.sol,23.85
411,OnXFinance.sol,23.85
430,OnXFinance.sol,24.77
447,OnXFinance.sol,24.77
466,OnXFinance.sol,24.77
485,OnXFinance.sol,24.77
503,OnXFinance.sol,24.77
522,OnXFinance.sol,24.77
540,OnXFinance.sol,24.77
558,OnXFinance.sol,24.77
576,OnXFinance.sol,24.77
595,OnXFinance.sol,24.77
613,OnXFinance.sol,24.77
633,OnXFinance.sol,24.77
652,OnXFinance.sol,24.77
670,OnXFinance.sol,24.77
690,OnXFinance.sol,24.77
708,OnXFinance.sol,24.77
728,OnXFinance.sol,24.77
746,OnXFinance.sol,24.77
765,OnXFinance.sol,24.77
784,OnXFinance.sol,24.77
802,OnXFinance.sol,24.77
819,OnXFinance.sol,24.77
839,OnXFinance.sol,24.77
858,OnXFinance.sol,24.77
878,OnXFinance.sol,24.77
897,OnXFinance.sol,24.77
916,OnXFinance.sol,24.77
935,OnXFinance.sol,24.77
954,OnXFinance.sol,24.77
972,OnXFinance.sol,24.77
991,OnXFinance.sol,24.77
1008,OnXFinance.sol,24.77
1029,OnXFinance.sol,24.77
1048,OnXFinance.sol,24.77
1067,OnXFinance.sol,24.77
1086,OnXFinance.sol,24.77
1105,OnXFinance.sol,24.77
1125,OnXFinance.sol,24.77
1148,OnXFinance.sol,24.77
1169,OnXFinance.sol,24.77
1187,OnXFinance.sol,24.77
1205,OnXFinance.sol,24.77
1226,OnXFinance.sol,24.77
1249,OnXFinance.sol,24.77
1269,OnXFinance.sol,24.77
1291,OnXFinance.sol,24.77
1308,OnXFinance.sol,24.77
1328,OnXFinance.sol,24.77
1344,OnXFinance.sol,24.77
1361,OnXFinance.sol,24.77
1378,OnXFinance.sol,24.77
1394,OnXFinance.sol,24.77
1412,OnXFinance.sol,24.77
1431,OnXFinance.sol,24.77
1451,OnXFinance.sol,24.77
1469,OnXFinance.sol,24.77
1490,OnXFinance.sol,24.77
1510,OnXFinance.sol,24.77
1529,OnXFinance.sol,24.77
1545,OnXFinance.sol,24.77
1565,OnXFinance.sol,24.77
1581,OnXFinance.sol,24.77
1601,OnXFinance.sol,24.77
1620,OnXFinance.sol,24.77
1638,OnXFinance.sol,24.77
1657,OnXFinance.sol,24.77
1675,OnXFinance.sol,24.77
1693,OnXFinance.sol,24.77
1710,OnXFinance.sol,24.77
1730,OnXFinance.sol,24.77
1750,OnXFinance.sol,24.77
1767,OnXFinance.sol,24.77
1787,OnXFinance.sol,24.77
1801,OnXFinance.sol,24.77
