TIME,SUBJECT,COVERAGE
0,UFragments.sol,0
19,UFragments.sol,8.96
38,UFragments.sol,8.96
58,UFragments.sol,11.94
79,UFragments.sol,11.94
100,UFragments.sol,16.42
120,UFragments.sol,16.42
142,UFragments.sol,22.39
163,UFragments.sol,22.39
183,UFragments.sol,22.39
205,UFragments.sol,22.39
230,UFragments.sol,22.39
249,UFragments.sol,22.39
270,UFragments.sol,22.39
291,UFragments.sol,22.39
310,UFragments.sol,22.39
329,UFragments.sol,22.39
348,UFragments.sol,22.39
368,UFragments.sol,22.39
388,UFragments.sol,22.39
413,UFragments.sol,22.39
435,UFragments.sol,22.39
458,UFragments.sol,22.39
480,UFragments.sol,22.39
504,UFragments.sol,25.37
530,UFragments.sol,25.37
551,UFragments.sol,25.37
573,UFragments.sol,25.37
595,UFragments.sol,25.37
617,UFragments.sol,25.37
640,UFragments.sol,25.37
659,UFragments.sol,25.37
680,UFragments.sol,25.37
701,UFragments.sol,25.37
720,UFragments.sol,25.37
741,UFragments.sol,25.37
762,UFragments.sol,25.37
783,UFragments.sol,25.37
806,UFragments.sol,25.37
826,UFragments.sol,25.37
847,UFragments.sol,25.37
866,UFragments.sol,25.37
887,UFragments.sol,25.37
907,UFragments.sol,25.37
928,UFragments.sol,25.37
947,UFragments.sol,25.37
967,UFragments.sol,25.37
988,UFragments.sol,25.37
1009,UFragments.sol,25.37
1030,UFragments.sol,25.37
1048,UFragments.sol,25.37
1068,UFragments.sol,25.37
1089,UFragments.sol,25.37
1109,UFragments.sol,25.37
1130,UFragments.sol,25.37
1150,UFragments.sol,25.37
1169,UFragments.sol,25.37
1188,UFragments.sol,25.37
1208,UFragments.sol,25.37
1228,UFragments.sol,25.37
1246,UFragments.sol,25.37
1266,UFragments.sol,25.37
1285,UFragments.sol,25.37
1303,UFragments.sol,25.37
1323,UFragments.sol,25.37
1342,UFragments.sol,25.37
1362,UFragments.sol,25.37
1382,UFragments.sol,25.37
1401,UFragments.sol,25.37
1421,UFragments.sol,25.37
1441,UFragments.sol,25.37
1459,UFragments.sol,25.37
1478,UFragments.sol,25.37
1499,UFragments.sol,25.37
1519,UFragments.sol,25.37
1539,UFragments.sol,25.37
1559,UFragments.sol,25.37
1579,UFragments.sol,25.37
1601,UFragments.sol,25.37
1622,UFragments.sol,25.37
1645,UFragments.sol,25.37
1665,UFragments.sol,25.37
1687,UFragments.sol,25.37
1708,UFragments.sol,25.37
1732,UFragments.sol,25.37
1754,UFragments.sol,25.37
1774,UFragments.sol,25.37
1794,UFragments.sol,25.37
1801,UFragments.sol,25.37
