TIME,SUBJECT,COVERAGE
0,YRX3.sol,0
24,YRX3.sol,39.34
48,YRX3.sol,49.18
74,YRX3.sol,49.18
99,YRX3.sol,49.18
125,YRX3.sol,49.18
150,YRX3.sol,49.18
176,YRX3.sol,49.18
202,YRX3.sol,49.18
227,YRX3.sol,52.46
253,YRX3.sol,52.46
278,YRX3.sol,52.46
306,YRX3.sol,52.46
332,YRX3.sol,52.46
359,YRX3.sol,52.46
384,YRX3.sol,52.46
410,YRX3.sol,52.46
437,YRX3.sol,52.46
463,YRX3.sol,52.46
489,YRX3.sol,52.46
515,YRX3.sol,52.46
540,YRX3.sol,52.46
566,YRX3.sol,52.46
591,YRX3.sol,52.46
617,YRX3.sol,52.46
643,YRX3.sol,52.46
668,YRX3.sol,54.1
695,YRX3.sol,54.1
720,YRX3.sol,54.1
747,YRX3.sol,54.1
772,YRX3.sol,54.1
797,YRX3.sol,54.1
823,YRX3.sol,54.1
850,YRX3.sol,54.1
877,YRX3.sol,54.1
902,YRX3.sol,54.1
930,YRX3.sol,54.1
956,YRX3.sol,54.1
982,YRX3.sol,54.1
1007,YRX3.sol,54.1
1033,YRX3.sol,54.1
1060,YRX3.sol,54.1
1086,YRX3.sol,54.1
1112,YRX3.sol,54.1
1138,YRX3.sol,54.1
1164,YRX3.sol,54.1
1189,YRX3.sol,54.1
1215,YRX3.sol,54.1
1241,YRX3.sol,54.1
1266,YRX3.sol,54.1
1291,YRX3.sol,54.1
1317,YRX3.sol,54.1
1342,YRX3.sol,54.1
1367,YRX3.sol,54.1
1393,YRX3.sol,54.1
1418,YRX3.sol,54.1
1443,YRX3.sol,54.1
1470,YRX3.sol,54.1
1494,YRX3.sol,54.1
1520,YRX3.sol,54.1
1544,YRX3.sol,54.1
1571,YRX3.sol,54.1
1596,YRX3.sol,54.1
1622,YRX3.sol,54.1
1648,YRX3.sol,54.1
1672,YRX3.sol,54.1
1698,YRX3.sol,54.1
1722,YRX3.sol,54.1
1747,YRX3.sol,54.1
1772,YRX3.sol,54.1
1798,YRX3.sol,54.1
1801,YRX3.sol,54.1
