TIME,SUBJECT,COVERAGE
0,EqFinanceStaking.sol,0
13,EqFinanceStaking.sol,31.37
25,EqFinanceStaking.sol,31.37
40,EqFinanceStaking.sol,33.33
54,EqFinanceStaking.sol,33.33
67,EqFinanceStaking.sol,37.25
81,EqFinanceStaking.sol,37.25
94,EqFinanceStaking.sol,37.25
108,EqFinanceStaking.sol,37.25
121,EqFinanceStaking.sol,37.25
135,EqFinanceStaking.sol,37.25
148,EqFinanceStaking.sol,37.25
161,EqFinanceStaking.sol,37.25
175,EqFinanceStaking.sol,37.25
191,EqFinanceStaking.sol,37.25
204,EqFinanceStaking.sol,37.25
219,EqFinanceStaking.sol,37.25
233,EqFinanceStaking.sol,37.25
247,EqFinanceStaking.sol,37.25
264,EqFinanceStaking.sol,37.25
278,EqFinanceStaking.sol,37.25
292,EqFinanceStaking.sol,37.25
305,EqFinanceStaking.sol,37.25
319,EqFinanceStaking.sol,37.25
336,EqFinanceStaking.sol,37.25
349,EqFinanceStaking.sol,37.25
365,EqFinanceStaking.sol,37.25
381,EqFinanceStaking.sol,37.25
395,EqFinanceStaking.sol,37.25
411,EqFinanceStaking.sol,37.25
427,EqFinanceStaking.sol,37.25
441,EqFinanceStaking.sol,37.25
457,EqFinanceStaking.sol,37.25
472,EqFinanceStaking.sol,37.25
486,EqFinanceStaking.sol,37.25
501,EqFinanceStaking.sol,37.25
517,EqFinanceStaking.sol,37.25
532,EqFinanceStaking.sol,37.25
548,EqFinanceStaking.sol,37.25
564,EqFinanceStaking.sol,37.25
580,EqFinanceStaking.sol,37.25
596,EqFinanceStaking.sol,37.25
613,EqFinanceStaking.sol,37.25
630,EqFinanceStaking.sol,37.25
647,EqFinanceStaking.sol,37.25
664,EqFinanceStaking.sol,37.25
680,EqFinanceStaking.sol,37.25
696,EqFinanceStaking.sol,37.25
712,EqFinanceStaking.sol,37.25
727,EqFinanceStaking.sol,37.25
744,EqFinanceStaking.sol,37.25
759,EqFinanceStaking.sol,37.25
775,EqFinanceStaking.sol,37.25
789,EqFinanceStaking.sol,37.25
807,EqFinanceStaking.sol,37.25
823,EqFinanceStaking.sol,37.25
838,EqFinanceStaking.sol,37.25
853,EqFinanceStaking.sol,37.25
869,EqFinanceStaking.sol,37.25
886,EqFinanceStaking.sol,37.25
901,EqFinanceStaking.sol,37.25
918,EqFinanceStaking.sol,37.25
933,EqFinanceStaking.sol,37.25
951,EqFinanceStaking.sol,37.25
968,EqFinanceStaking.sol,37.25
985,EqFinanceStaking.sol,37.25
1000,EqFinanceStaking.sol,37.25
1023,EqFinanceStaking.sol,37.25
1041,EqFinanceStaking.sol,37.25
1057,EqFinanceStaking.sol,37.25
1073,EqFinanceStaking.sol,37.25
1091,EqFinanceStaking.sol,37.25
1109,EqFinanceStaking.sol,37.25
1126,EqFinanceStaking.sol,37.25
1141,EqFinanceStaking.sol,37.25
1157,EqFinanceStaking.sol,37.25
1175,EqFinanceStaking.sol,37.25
1195,EqFinanceStaking.sol,37.25
1211,EqFinanceStaking.sol,37.25
1234,EqFinanceStaking.sol,37.25
1253,EqFinanceStaking.sol,37.25
1275,EqFinanceStaking.sol,37.25
1293,EqFinanceStaking.sol,37.25
1317,EqFinanceStaking.sol,37.25
1333,EqFinanceStaking.sol,37.25
1354,EqFinanceStaking.sol,37.25
1371,EqFinanceStaking.sol,37.25
1383,EqFinanceStaking.sol,37.25
1404,EqFinanceStaking.sol,37.25
1424,EqFinanceStaking.sol,37.25
1444,EqFinanceStaking.sol,37.25
1469,EqFinanceStaking.sol,37.25
1492,EqFinanceStaking.sol,37.25
1513,EqFinanceStaking.sol,37.25
1539,EqFinanceStaking.sol,37.25
1559,EqFinanceStaking.sol,37.25
1581,EqFinanceStaking.sol,37.25
1602,EqFinanceStaking.sol,37.25
1626,EqFinanceStaking.sol,37.25
1645,EqFinanceStaking.sol,37.25
1661,EqFinanceStaking.sol,37.25
1684,EqFinanceStaking.sol,37.25
1713,EqFinanceStaking.sol,37.25
1742,EqFinanceStaking.sol,37.25
1762,EqFinanceStaking.sol,37.25
1775,EqFinanceStaking.sol,37.25
1791,EqFinanceStaking.sol,37.25
1800,EqFinanceStaking.sol,37.25
