TIME,SUBJECT,COVERAGE
0,DatrixoEquityToken.sol,0
10,DatrixoEquityToken.sol,52.5
19,DatrixoEquityToken.sol,52.5
27,DatrixoEquityToken.sol,52.5
36,DatrixoEquityToken.sol,52.5
45,DatrixoEquityToken.sol,52.5
53,DatrixoEquityToken.sol,52.5
64,DatrixoEquityToken.sol,71.25
75,DatrixoEquityToken.sol,71.25
89,DatrixoEquityToken.sol,78.75
101,DatrixoEquityToken.sol,78.75
112,DatrixoEquityToken.sol,78.75
127,DatrixoEquityToken.sol,78.75
143,DatrixoEquityToken.sol,78.75
152,DatrixoEquityToken.sol,78.75
164,DatrixoEquityToken.sol,78.75
178,DatrixoEquityToken.sol,78.75
188,DatrixoEquityToken.sol,78.75
202,DatrixoEquityToken.sol,78.75
210,DatrixoEquityToken.sol,78.75
217,DatrixoEquityToken.sol,78.75
224,DatrixoEquityToken.sol,78.75
235,DatrixoEquityToken.sol,78.75
249,DatrixoEquityToken.sol,78.75
259,DatrixoEquityToken.sol,78.75
267,DatrixoEquityToken.sol,78.75
280,DatrixoEquityToken.sol,78.75
300,DatrixoEquityToken.sol,78.75
314,DatrixoEquityToken.sol,78.75
328,DatrixoEquityToken.sol,78.75
339,DatrixoEquityToken.sol,78.75
351,DatrixoEquityToken.sol,78.75
364,DatrixoEquityToken.sol,78.75
377,DatrixoEquityToken.sol,78.75
393,DatrixoEquityToken.sol,78.75
406,DatrixoEquityToken.sol,78.75
422,DatrixoEquityToken.sol,78.75
436,DatrixoEquityToken.sol,78.75
452,DatrixoEquityToken.sol,78.75
464,DatrixoEquityToken.sol,78.75
478,DatrixoEquityToken.sol,78.75
492,DatrixoEquityToken.sol,78.75
505,DatrixoEquityToken.sol,78.75
521,DatrixoEquityToken.sol,78.75
534,DatrixoEquityToken.sol,78.75
557,DatrixoEquityToken.sol,78.75
569,DatrixoEquityToken.sol,78.75
577,DatrixoEquityToken.sol,78.75
583,DatrixoEquityToken.sol,78.75
590,DatrixoEquityToken.sol,78.75
598,DatrixoEquityToken.sol,78.75
606,DatrixoEquityToken.sol,78.75
613,DatrixoEquityToken.sol,78.75
621,DatrixoEquityToken.sol,78.75
630,DatrixoEquityToken.sol,78.75
638,DatrixoEquityToken.sol,78.75
646,DatrixoEquityToken.sol,78.75
655,DatrixoEquityToken.sol,78.75
663,DatrixoEquityToken.sol,78.75
671,DatrixoEquityToken.sol,78.75
680,DatrixoEquityToken.sol,78.75
688,DatrixoEquityToken.sol,78.75
695,DatrixoEquityToken.sol,78.75
703,DatrixoEquityToken.sol,78.75
715,DatrixoEquityToken.sol,78.75
726,DatrixoEquityToken.sol,78.75
