TIME,SUBJECT,COVERAGE
0,FrogDAO.sol,0
19,FrogDAO.sol,76
29,FrogDAO.sol,76
38,FrogDAO.sol,76
48,FrogDAO.sol,76
62,FrogDAO.sol,76
80,FrogDAO.sol,76
94,FrogDAO.sol,76
109,FrogDAO.sol,76
129,FrogDAO.sol,76
146,FrogDAO.sol,76
160,FrogDAO.sol,76
176,FrogDAO.sol,76
190,FrogDAO.sol,76
202,FrogDAO.sol,76
218,FrogDAO.sol,76
229,FrogDAO.sol,76
238,FrogDAO.sol,76
247,FrogDAO.sol,76
258,FrogDAO.sol,76
269,FrogDAO.sol,76
277,FrogDAO.sol,76
287,FrogDAO.sol,76
296,FrogDAO.sol,76
307,FrogDAO.sol,76
321,FrogDAO.sol,76
332,FrogDAO.sol,76
345,FrogDAO.sol,76
356,FrogDAO.sol,76
368,FrogDAO.sol,76
378,FrogDAO.sol,76
392,FrogDAO.sol,76
402,FrogDAO.sol,76
411,FrogDAO.sol,76
422,FrogDAO.sol,76
428,FrogDAO.sol,76
442,FrogDAO.sol,76
454,FrogDAO.sol,76
464,FrogDAO.sol,76
479,FrogDAO.sol,76
492,FrogDAO.sol,76
503,FrogDAO.sol,76
513,FrogDAO.sol,76
526,FrogDAO.sol,76
537,FrogDAO.sol,76
549,FrogDAO.sol,76
561,FrogDAO.sol,76
572,FrogDAO.sol,76
581,FrogDAO.sol,76
590,FrogDAO.sol,76
599,FrogDAO.sol,76
609,FrogDAO.sol,76
623,FrogDAO.sol,76
634,FrogDAO.sol,76
644,FrogDAO.sol,76
654,FrogDAO.sol,76
663,FrogDAO.sol,76
673,FrogDAO.sol,76
682,FrogDAO.sol,76
693,FrogDAO.sol,76
703,FrogDAO.sol,76
713,FrogDAO.sol,76
723,FrogDAO.sol,76
733,FrogDAO.sol,76
745,FrogDAO.sol,76
756,FrogDAO.sol,76
766,FrogDAO.sol,76
777,FrogDAO.sol,76
786,FrogDAO.sol,76
796,FrogDAO.sol,76
808,FrogDAO.sol,76
819,FrogDAO.sol,76
831,FrogDAO.sol,76
842,FrogDAO.sol,76
851,FrogDAO.sol,76
862,FrogDAO.sol,76
873,FrogDAO.sol,76
884,FrogDAO.sol,76
894,FrogDAO.sol,76
904,FrogDAO.sol,76
915,FrogDAO.sol,76
926,FrogDAO.sol,76
937,FrogDAO.sol,76
947,FrogDAO.sol,76
958,FrogDAO.sol,76
968,FrogDAO.sol,76
980,FrogDAO.sol,76
990,FrogDAO.sol,76
1000,FrogDAO.sol,76
1011,FrogDAO.sol,76
1023,FrogDAO.sol,76
1034,FrogDAO.sol,76
1044,FrogDAO.sol,76
1054,FrogDAO.sol,76
1064,FrogDAO.sol,76
1076,FrogDAO.sol,76
1088,FrogDAO.sol,76
1099,FrogDAO.sol,76
1111,FrogDAO.sol,76
1122,FrogDAO.sol,76
1133,FrogDAO.sol,76
1143,FrogDAO.sol,76
1153,FrogDAO.sol,76
1164,FrogDAO.sol,76
1174,FrogDAO.sol,76
1185,FrogDAO.sol,76
1195,FrogDAO.sol,76
1208,FrogDAO.sol,76
1218,FrogDAO.sol,76
1229,FrogDAO.sol,76
1240,FrogDAO.sol,76
1252,FrogDAO.sol,76
1265,FrogDAO.sol,76
1275,FrogDAO.sol,76
1285,FrogDAO.sol,76
1297,FrogDAO.sol,76
1307,FrogDAO.sol,76
1316,FrogDAO.sol,76
1328,FrogDAO.sol,76
1339,FrogDAO.sol,76
1350,FrogDAO.sol,76
1361,FrogDAO.sol,76
1372,FrogDAO.sol,76
1383,FrogDAO.sol,76
1394,FrogDAO.sol,76
1405,FrogDAO.sol,76
1415,FrogDAO.sol,76
1429,FrogDAO.sol,76
1444,FrogDAO.sol,76
1459,FrogDAO.sol,76
1472,FrogDAO.sol,76
1482,FrogDAO.sol,76
1500,FrogDAO.sol,76
1515,FrogDAO.sol,76
1527,FrogDAO.sol,76
1537,FrogDAO.sol,76
1549,FrogDAO.sol,76
1560,FrogDAO.sol,76
1575,FrogDAO.sol,76
1588,FrogDAO.sol,76
1599,FrogDAO.sol,76
1611,FrogDAO.sol,76
1621,FrogDAO.sol,76
1634,FrogDAO.sol,76
1645,FrogDAO.sol,76
1655,FrogDAO.sol,76
1670,FrogDAO.sol,76
1685,FrogDAO.sol,76
1697,FrogDAO.sol,76
1710,FrogDAO.sol,76
1720,FrogDAO.sol,76
1733,FrogDAO.sol,76
1748,FrogDAO.sol,76
1764,FrogDAO.sol,76
1776,FrogDAO.sol,76
1788,FrogDAO.sol,76
1800,FrogDAO.sol,76
1801,FrogDAO.sol,76
