TIME,SUBJECT,COVERAGE
0,Dynamic.sol,0
11,Dynamic.sol,75
14,Dynamic.sol,75
18,Dynamic.sol,75
22,Dynamic.sol,75
26,Dynamic.sol,75
29,Dynamic.sol,75
34,Dynamic.sol,75
40,Dynamic.sol,75
45,Dynamic.sol,75
52,Dynamic.sol,75
57,Dynamic.sol,75
61,Dynamic.sol,75
67,Dynamic.sol,75
71,Dynamic.sol,75
75,Dynamic.sol,75
79,Dynamic.sol,75
84,Dynamic.sol,75
90,Dynamic.sol,75
96,Dynamic.sol,75
101,Dynamic.sol,75
106,Dynamic.sol,75
115,Dynamic.sol,75
122,Dynamic.sol,75
129,Dynamic.sol,75
136,Dynamic.sol,75
145,Dynamic.sol,75
152,Dynamic.sol,75
158,Dynamic.sol,75
167,Dynamic.sol,75
176,Dynamic.sol,75
188,Dynamic.sol,75
200,Dynamic.sol,75
217,Dynamic.sol,75
228,Dynamic.sol,75
240,Dynamic.sol,75
247,Dynamic.sol,75
253,Dynamic.sol,75
259,Dynamic.sol,75
264,Dynamic.sol,75
268,Dynamic.sol,75
271,Dynamic.sol,75
274,Dynamic.sol,75
276,Dynamic.sol,75
279,Dynamic.sol,75
282,Dynamic.sol,75
284,Dynamic.sol,75
287,Dynamic.sol,75
288,Dynamic.sol,75
291,Dynamic.sol,75
293,Dynamic.sol,75
295,Dynamic.sol,75
297,Dynamic.sol,75
299,Dynamic.sol,75
302,Dynamic.sol,75
304,Dynamic.sol,75
306,Dynamic.sol,75
308,Dynamic.sol,75
310,Dynamic.sol,75
312,Dynamic.sol,75
315,Dynamic.sol,75
317,Dynamic.sol,75
320,Dynamic.sol,75
322,Dynamic.sol,75
324,Dynamic.sol,75
327,Dynamic.sol,75
330,Dynamic.sol,75
333,Dynamic.sol,75
335,Dynamic.sol,75
337,Dynamic.sol,75
339,Dynamic.sol,75
341,Dynamic.sol,75
343,Dynamic.sol,75
345,Dynamic.sol,75
348,Dynamic.sol,75
350,Dynamic.sol,75
354,Dynamic.sol,75
357,Dynamic.sol,75
360,Dynamic.sol,75
362,Dynamic.sol,75
365,Dynamic.sol,75
368,Dynamic.sol,75
370,Dynamic.sol,75
372,Dynamic.sol,75
375,Dynamic.sol,75
377,Dynamic.sol,75
380,Dynamic.sol,75
382,Dynamic.sol,75
386,Dynamic.sol,75
389,Dynamic.sol,75
391,Dynamic.sol,75
394,Dynamic.sol,75
396,Dynamic.sol,75
399,Dynamic.sol,75
402,Dynamic.sol,75
405,Dynamic.sol,75
408,Dynamic.sol,75
410,Dynamic.sol,75
412,Dynamic.sol,75
417,Dynamic.sol,75
419,Dynamic.sol,75
421,Dynamic.sol,75
424,Dynamic.sol,75
426,Dynamic.sol,75
430,Dynamic.sol,75
432,Dynamic.sol,75
435,Dynamic.sol,75
438,Dynamic.sol,75
441,Dynamic.sol,75
445,Dynamic.sol,75
448,Dynamic.sol,75
450,Dynamic.sol,75
453,Dynamic.sol,75
456,Dynamic.sol,75
458,Dynamic.sol,75
461,Dynamic.sol,75
464,Dynamic.sol,75
467,Dynamic.sol,75
469,Dynamic.sol,75
473,Dynamic.sol,75
475,Dynamic.sol,75
478,Dynamic.sol,75
481,Dynamic.sol,75
483,Dynamic.sol,75
487,Dynamic.sol,75
489,Dynamic.sol,75
493,Dynamic.sol,75
495,Dynamic.sol,75
497,Dynamic.sol,75
500,Dynamic.sol,75
502,Dynamic.sol,75
504,Dynamic.sol,75
507,Dynamic.sol,75
509,Dynamic.sol,75
513,Dynamic.sol,75
515,Dynamic.sol,75
518,Dynamic.sol,75
520,Dynamic.sol,75
523,Dynamic.sol,75
526,Dynamic.sol,75
529,Dynamic.sol,75
532,Dynamic.sol,75
534,Dynamic.sol,75
536,Dynamic.sol,75
539,Dynamic.sol,75
542,Dynamic.sol,75
545,Dynamic.sol,75
549,Dynamic.sol,75
552,Dynamic.sol,75
555,Dynamic.sol,75
558,Dynamic.sol,75
561,Dynamic.sol,75
564,Dynamic.sol,75
567,Dynamic.sol,75
569,Dynamic.sol,75
573,Dynamic.sol,75
576,Dynamic.sol,75
579,Dynamic.sol,75
583,Dynamic.sol,75
585,Dynamic.sol,75
588,Dynamic.sol,75
592,Dynamic.sol,75
595,Dynamic.sol,75
597,Dynamic.sol,75
600,Dynamic.sol,75
603,Dynamic.sol,75
606,Dynamic.sol,75
609,Dynamic.sol,75
612,Dynamic.sol,75
615,Dynamic.sol,75
617,Dynamic.sol,75
620,Dynamic.sol,75
623,Dynamic.sol,75
626,Dynamic.sol,75
629,Dynamic.sol,75
633,Dynamic.sol,75
635,Dynamic.sol,75
639,Dynamic.sol,75
642,Dynamic.sol,75
645,Dynamic.sol,75
648,Dynamic.sol,75
651,Dynamic.sol,75
654,Dynamic.sol,75
658,Dynamic.sol,75
661,Dynamic.sol,75
665,Dynamic.sol,75
667,Dynamic.sol,75
671,Dynamic.sol,75
674,Dynamic.sol,75
677,Dynamic.sol,75
679,Dynamic.sol,75
682,Dynamic.sol,75
686,Dynamic.sol,75
688,Dynamic.sol,75
691,Dynamic.sol,75
694,Dynamic.sol,75
698,Dynamic.sol,75
700,Dynamic.sol,75
704,Dynamic.sol,75
709,Dynamic.sol,75
713,Dynamic.sol,75
716,Dynamic.sol,75
718,Dynamic.sol,75
721,Dynamic.sol,75
725,Dynamic.sol,75
728,Dynamic.sol,75
731,Dynamic.sol,75
734,Dynamic.sol,75
738,Dynamic.sol,75
741,Dynamic.sol,75
745,Dynamic.sol,75
749,Dynamic.sol,75
753,Dynamic.sol,75
757,Dynamic.sol,75
761,Dynamic.sol,75
764,Dynamic.sol,75
769,Dynamic.sol,75
771,Dynamic.sol,75
774,Dynamic.sol,75
777,Dynamic.sol,75
781,Dynamic.sol,75
783,Dynamic.sol,75
786,Dynamic.sol,75
789,Dynamic.sol,75
792,Dynamic.sol,75
795,Dynamic.sol,75
798,Dynamic.sol,75
801,Dynamic.sol,75
804,Dynamic.sol,75
808,Dynamic.sol,75
812,Dynamic.sol,75
814,Dynamic.sol,75
817,Dynamic.sol,75
821,Dynamic.sol,75
824,Dynamic.sol,75
827,Dynamic.sol,75
831,Dynamic.sol,75
834,Dynamic.sol,75
837,Dynamic.sol,75
841,Dynamic.sol,75
844,Dynamic.sol,75
848,Dynamic.sol,75
850,Dynamic.sol,75
854,Dynamic.sol,75
857,Dynamic.sol,75
860,Dynamic.sol,75
863,Dynamic.sol,75
867,Dynamic.sol,75
870,Dynamic.sol,75
873,Dynamic.sol,75
876,Dynamic.sol,75
879,Dynamic.sol,75
882,Dynamic.sol,75
885,Dynamic.sol,75
888,Dynamic.sol,75
892,Dynamic.sol,75
897,Dynamic.sol,75
900,Dynamic.sol,75
902,Dynamic.sol,75
905,Dynamic.sol,75
909,Dynamic.sol,75
912,Dynamic.sol,75
914,Dynamic.sol,75
918,Dynamic.sol,75
921,Dynamic.sol,75
925,Dynamic.sol,75
928,Dynamic.sol,75
933,Dynamic.sol,75
935,Dynamic.sol,75
938,Dynamic.sol,75
941,Dynamic.sol,75
945,Dynamic.sol,75
948,Dynamic.sol,75
952,Dynamic.sol,75
956,Dynamic.sol,75
959,Dynamic.sol,75
963,Dynamic.sol,75
967,Dynamic.sol,75
969,Dynamic.sol,75
973,Dynamic.sol,75
976,Dynamic.sol,75
980,Dynamic.sol,75
984,Dynamic.sol,75
990,Dynamic.sol,75
994,Dynamic.sol,75
997,Dynamic.sol,75
1001,Dynamic.sol,75
1005,Dynamic.sol,75
1008,Dynamic.sol,75
1011,Dynamic.sol,75
1015,Dynamic.sol,75
1018,Dynamic.sol,75
1022,Dynamic.sol,75
1026,Dynamic.sol,75
1030,Dynamic.sol,75
1035,Dynamic.sol,75
1038,Dynamic.sol,75
1042,Dynamic.sol,75
1045,Dynamic.sol,75
1049,Dynamic.sol,75
1052,Dynamic.sol,75
1055,Dynamic.sol,75
1059,Dynamic.sol,75
1063,Dynamic.sol,75
