TIME,SUBJECT,COVERAGE
0,NasiLiquidityPoolFactory.sol,0
82,NasiLiquidityPoolFactory.sol,3.16
185,NasiLiquidityPoolFactory.sol,5.06
293,NasiLiquidityPoolFactory.sol,5.06
403,NasiLiquidityPoolFactory.sol,5.06
515,NasiLiquidityPoolFactory.sol,7.59
629,NasiLiquidityPoolFactory.sol,7.59
740,NasiLiquidityPoolFactory.sol,9.49
851,NasiLiquidityPoolFactory.sol,9.49
963,NasiLiquidityPoolFactory.sol,9.49
1076,NasiLiquidityPoolFactory.sol,9.49
1186,NasiLiquidityPoolFactory.sol,10.13
1299,NasiLiquidityPoolFactory.sol,10.13
1412,NasiLiquidityPoolFactory.sol,10.13
1527,NasiLiquidityPoolFactory.sol,11.39
1643,NasiLiquidityPoolFactory.sol,11.39
1757,NasiLiquidityPoolFactory.sol,11.39
1807,NasiLiquidityPoolFactory.sol,14.56
