TIME,SUBJECT,COVERAGE
0,CryptoSecureBankToken.sol,0
23,CryptoSecureBankToken.sol,35.04
48,CryptoSecureBankToken.sol,44.44
75,CryptoSecureBankToken.sol,47.01
100,CryptoSecureBankToken.sol,53.85
126,CryptoSecureBankToken.sol,53.85
152,CryptoSecureBankToken.sol,59.83
177,CryptoSecureBankToken.sol,59.83
203,CryptoSecureBankToken.sol,59.83
227,CryptoSecureBankToken.sol,59.83
252,CryptoSecureBankToken.sol,59.83
276,CryptoSecureBankToken.sol,59.83
301,CryptoSecureBankToken.sol,59.83
326,CryptoSecureBankToken.sol,59.83
350,CryptoSecureBankToken.sol,59.83
375,CryptoSecureBankToken.sol,59.83
399,CryptoSecureBankToken.sol,59.83
423,CryptoSecureBankToken.sol,59.83
448,CryptoSecureBankToken.sol,59.83
473,CryptoSecureBankToken.sol,59.83
497,CryptoSecureBankToken.sol,62.39
521,CryptoSecureBankToken.sol,64.96
545,CryptoSecureBankToken.sol,64.96
569,CryptoSecureBankToken.sol,64.96
594,CryptoSecureBankToken.sol,64.96
618,CryptoSecureBankToken.sol,64.96
642,CryptoSecureBankToken.sol,64.96
666,CryptoSecureBankToken.sol,69.23
690,CryptoSecureBankToken.sol,69.23
716,CryptoSecureBankToken.sol,69.23
740,CryptoSecureBankToken.sol,69.23
765,CryptoSecureBankToken.sol,69.23
791,CryptoSecureBankToken.sol,69.23
815,CryptoSecureBankToken.sol,69.23
840,CryptoSecureBankToken.sol,69.23
864,CryptoSecureBankToken.sol,69.23
888,CryptoSecureBankToken.sol,69.23
913,CryptoSecureBankToken.sol,69.23
938,CryptoSecureBankToken.sol,69.23
963,CryptoSecureBankToken.sol,69.23
988,CryptoSecureBankToken.sol,69.23
1013,CryptoSecureBankToken.sol,69.23
1037,CryptoSecureBankToken.sol,69.23
1061,CryptoSecureBankToken.sol,69.23
1087,CryptoSecureBankToken.sol,69.23
1111,CryptoSecureBankToken.sol,69.23
1137,CryptoSecureBankToken.sol,69.23
1161,CryptoSecureBankToken.sol,69.23
1186,CryptoSecureBankToken.sol,69.23
1210,CryptoSecureBankToken.sol,70.09
1234,CryptoSecureBankToken.sol,70.09
1259,CryptoSecureBankToken.sol,70.09
1283,CryptoSecureBankToken.sol,70.09
1308,CryptoSecureBankToken.sol,70.09
1332,CryptoSecureBankToken.sol,70.09
1357,CryptoSecureBankToken.sol,70.09
1381,CryptoSecureBankToken.sol,70.09
1406,CryptoSecureBankToken.sol,70.09
1431,CryptoSecureBankToken.sol,70.09
1455,CryptoSecureBankToken.sol,70.09
1479,CryptoSecureBankToken.sol,70.09
1503,CryptoSecureBankToken.sol,70.09
1528,CryptoSecureBankToken.sol,70.09
1552,CryptoSecureBankToken.sol,70.09
1575,CryptoSecureBankToken.sol,70.09
1599,CryptoSecureBankToken.sol,70.09
1624,CryptoSecureBankToken.sol,70.09
1648,CryptoSecureBankToken.sol,70.09
1674,CryptoSecureBankToken.sol,72.65
1699,CryptoSecureBankToken.sol,72.65
1723,CryptoSecureBankToken.sol,72.65
1748,CryptoSecureBankToken.sol,72.65
1773,CryptoSecureBankToken.sol,72.65
1800,CryptoSecureBankToken.sol,72.65
1803,CryptoSecureBankToken.sol,72.65
