TIME,SUBJECT,COVERAGE
0,Straight_Fire_Finance.sol,0
17,Straight_Fire_Finance.sol,61.11
32,Straight_Fire_Finance.sol,61.11
48,Straight_Fire_Finance.sol,61.11
62,Straight_Fire_Finance.sol,61.11
73,Straight_Fire_Finance.sol,61.11
85,Straight_Fire_Finance.sol,61.11
94,Straight_Fire_Finance.sol,61.11
108,Straight_Fire_Finance.sol,61.11
121,Straight_Fire_Finance.sol,61.11
134,Straight_Fire_Finance.sol,61.11
148,Straight_Fire_Finance.sol,61.11
159,Straight_Fire_Finance.sol,61.11
168,Straight_Fire_Finance.sol,61.11
181,Straight_Fire_Finance.sol,61.11
193,Straight_Fire_Finance.sol,61.11
206,Straight_Fire_Finance.sol,61.11
229,Straight_Fire_Finance.sol,61.11
247,Straight_Fire_Finance.sol,61.11
265,Straight_Fire_Finance.sol,61.11
277,Straight_Fire_Finance.sol,61.11
291,Straight_Fire_Finance.sol,61.11
303,Straight_Fire_Finance.sol,61.11
312,Straight_Fire_Finance.sol,61.11
319,Straight_Fire_Finance.sol,61.11
327,Straight_Fire_Finance.sol,61.11
337,Straight_Fire_Finance.sol,61.11
355,Straight_Fire_Finance.sol,61.11
362,Straight_Fire_Finance.sol,61.11
371,Straight_Fire_Finance.sol,61.11
380,Straight_Fire_Finance.sol,61.11
389,Straight_Fire_Finance.sol,61.11
396,Straight_Fire_Finance.sol,61.11
405,Straight_Fire_Finance.sol,61.11
413,Straight_Fire_Finance.sol,61.11
423,Straight_Fire_Finance.sol,61.11
432,Straight_Fire_Finance.sol,61.11
441,Straight_Fire_Finance.sol,61.11
450,Straight_Fire_Finance.sol,61.11
468,Straight_Fire_Finance.sol,61.11
475,Straight_Fire_Finance.sol,61.11
484,Straight_Fire_Finance.sol,61.11
494,Straight_Fire_Finance.sol,61.11
503,Straight_Fire_Finance.sol,61.11
517,Straight_Fire_Finance.sol,61.11
526,Straight_Fire_Finance.sol,61.11
535,Straight_Fire_Finance.sol,61.11
544,Straight_Fire_Finance.sol,61.11
553,Straight_Fire_Finance.sol,61.11
562,Straight_Fire_Finance.sol,61.11
572,Straight_Fire_Finance.sol,61.11
579,Straight_Fire_Finance.sol,61.11
