TIME,SUBJECT,COVERAGE
0,Voting.sol,0
71,Voting.sol,3.69
152,Voting.sol,4.1
235,Voting.sol,4.1
315,Voting.sol,7.79
397,Voting.sol,9.43
479,Voting.sol,11.89
560,Voting.sol,11.89
643,Voting.sol,12.3
726,Voting.sol,12.7
807,Voting.sol,12.7
891,Voting.sol,12.7
976,Voting.sol,12.7
1061,Voting.sol,12.7
1145,Voting.sol,12.7
1229,Voting.sol,12.7
1310,Voting.sol,13.11
1392,Voting.sol,13.11
1470,Voting.sol,13.11
1549,Voting.sol,15.16
1629,Voting.sol,15.16
1710,Voting.sol,15.57
1792,Voting.sol,15.57
1807,Voting.sol,15.57
