TIME,SUBJECT,COVERAGE
0,PlasmaswapPair.sol,0
14,PlasmaswapPair.sol,14.55
29,PlasmaswapPair.sol,14.55
44,PlasmaswapPair.sol,14.55
59,PlasmaswapPair.sol,14.55
74,PlasmaswapPair.sol,14.55
88,PlasmaswapPair.sol,14.55
104,PlasmaswapPair.sol,14.55
121,PlasmaswapPair.sol,14.55
138,PlasmaswapPair.sol,14.55
153,PlasmaswapPair.sol,14.55
169,PlasmaswapPair.sol,14.55
187,PlasmaswapPair.sol,14.55
203,PlasmaswapPair.sol,14.55
220,PlasmaswapPair.sol,14.55
236,PlasmaswapPair.sol,14.55
250,PlasmaswapPair.sol,14.55
265,PlasmaswapPair.sol,14.55
279,PlasmaswapPair.sol,14.55
294,PlasmaswapPair.sol,14.55
309,PlasmaswapPair.sol,14.55
324,PlasmaswapPair.sol,14.55
339,PlasmaswapPair.sol,14.55
355,PlasmaswapPair.sol,14.55
370,PlasmaswapPair.sol,14.55
385,PlasmaswapPair.sol,14.55
400,PlasmaswapPair.sol,14.55
415,PlasmaswapPair.sol,14.55
432,PlasmaswapPair.sol,14.55
449,PlasmaswapPair.sol,14.55
464,PlasmaswapPair.sol,14.55
477,PlasmaswapPair.sol,14.55
493,PlasmaswapPair.sol,14.55
510,PlasmaswapPair.sol,14.55
528,PlasmaswapPair.sol,14.55
546,PlasmaswapPair.sol,14.55
561,PlasmaswapPair.sol,14.55
577,PlasmaswapPair.sol,14.55
592,PlasmaswapPair.sol,14.55
606,PlasmaswapPair.sol,14.55
622,PlasmaswapPair.sol,14.55
637,PlasmaswapPair.sol,14.55
653,PlasmaswapPair.sol,14.55
668,PlasmaswapPair.sol,14.55
683,PlasmaswapPair.sol,14.55
698,PlasmaswapPair.sol,14.55
712,PlasmaswapPair.sol,14.55
726,PlasmaswapPair.sol,14.55
740,PlasmaswapPair.sol,14.55
755,PlasmaswapPair.sol,14.55
770,PlasmaswapPair.sol,14.55
784,PlasmaswapPair.sol,14.55
803,PlasmaswapPair.sol,14.55
818,PlasmaswapPair.sol,14.55
833,PlasmaswapPair.sol,14.55
847,PlasmaswapPair.sol,14.55
863,PlasmaswapPair.sol,14.55
879,PlasmaswapPair.sol,14.55
895,PlasmaswapPair.sol,14.55
910,PlasmaswapPair.sol,14.55
925,PlasmaswapPair.sol,14.55
940,PlasmaswapPair.sol,14.55
957,PlasmaswapPair.sol,14.55
973,PlasmaswapPair.sol,14.55
989,PlasmaswapPair.sol,14.55
1005,PlasmaswapPair.sol,14.55
1020,PlasmaswapPair.sol,14.55
1036,PlasmaswapPair.sol,14.55
1052,PlasmaswapPair.sol,14.55
1068,PlasmaswapPair.sol,14.55
1084,PlasmaswapPair.sol,14.55
1099,PlasmaswapPair.sol,14.55
1116,PlasmaswapPair.sol,14.55
1132,PlasmaswapPair.sol,14.55
1148,PlasmaswapPair.sol,14.55
1165,PlasmaswapPair.sol,14.55
1182,PlasmaswapPair.sol,14.55
1198,PlasmaswapPair.sol,14.55
1213,PlasmaswapPair.sol,14.55
1230,PlasmaswapPair.sol,14.55
1245,PlasmaswapPair.sol,14.55
1261,PlasmaswapPair.sol,14.55
1277,PlasmaswapPair.sol,14.55
1293,PlasmaswapPair.sol,14.55
1309,PlasmaswapPair.sol,14.55
1324,PlasmaswapPair.sol,14.55
1341,PlasmaswapPair.sol,14.55
1356,PlasmaswapPair.sol,14.55
1373,PlasmaswapPair.sol,14.55
1388,PlasmaswapPair.sol,14.55
1404,PlasmaswapPair.sol,14.55
1420,PlasmaswapPair.sol,14.55
1436,PlasmaswapPair.sol,14.55
1456,PlasmaswapPair.sol,14.55
1472,PlasmaswapPair.sol,14.55
1488,PlasmaswapPair.sol,14.55
1505,PlasmaswapPair.sol,14.55
1522,PlasmaswapPair.sol,14.55
1538,PlasmaswapPair.sol,14.55
1555,PlasmaswapPair.sol,14.55
1571,PlasmaswapPair.sol,14.55
1587,PlasmaswapPair.sol,14.55
1604,PlasmaswapPair.sol,14.55
1622,PlasmaswapPair.sol,14.55
1640,PlasmaswapPair.sol,14.55
1656,PlasmaswapPair.sol,14.55
1674,PlasmaswapPair.sol,14.55
1692,PlasmaswapPair.sol,14.55
1709,PlasmaswapPair.sol,14.55
1726,PlasmaswapPair.sol,14.55
1742,PlasmaswapPair.sol,14.55
1759,PlasmaswapPair.sol,14.55
1777,PlasmaswapPair.sol,14.55
1792,PlasmaswapPair.sol,14.55
1801,PlasmaswapPair.sol,14.55
