TIME,SUBJECT,COVERAGE
0,FreakCoin.sol,0
7,FreakCoin.sol,52.94
14,FreakCoin.sol,58.82
22,FreakCoin.sol,58.82
31,FreakCoin.sol,58.82
41,FreakCoin.sol,58.82
54,FreakCoin.sol,58.82
63,FreakCoin.sol,64.71
71,FreakCoin.sol,64.71
81,FreakCoin.sol,64.71
90,FreakCoin.sol,73.53
98,FreakCoin.sol,73.53
107,FreakCoin.sol,73.53
114,FreakCoin.sol,73.53
121,FreakCoin.sol,73.53
130,FreakCoin.sol,73.53
140,FreakCoin.sol,73.53
150,FreakCoin.sol,73.53
162,FreakCoin.sol,73.53
173,FreakCoin.sol,73.53
182,FreakCoin.sol,73.53
192,FreakCoin.sol,73.53
202,FreakCoin.sol,73.53
214,FreakCoin.sol,73.53
224,FreakCoin.sol,73.53
234,FreakCoin.sol,73.53
244,FreakCoin.sol,73.53
255,FreakCoin.sol,73.53
268,FreakCoin.sol,73.53
277,FreakCoin.sol,73.53
287,FreakCoin.sol,73.53
300,FreakCoin.sol,73.53
311,FreakCoin.sol,73.53
322,FreakCoin.sol,73.53
332,FreakCoin.sol,73.53
344,FreakCoin.sol,73.53
357,FreakCoin.sol,73.53
368,FreakCoin.sol,73.53
380,FreakCoin.sol,73.53
391,FreakCoin.sol,73.53
407,FreakCoin.sol,73.53
417,FreakCoin.sol,73.53
430,FreakCoin.sol,73.53
442,FreakCoin.sol,73.53
456,FreakCoin.sol,73.53
466,FreakCoin.sol,73.53
478,FreakCoin.sol,73.53
490,FreakCoin.sol,73.53
504,FreakCoin.sol,73.53
518,FreakCoin.sol,73.53
528,FreakCoin.sol,73.53
543,FreakCoin.sol,73.53
556,FreakCoin.sol,73.53
569,FreakCoin.sol,73.53
582,FreakCoin.sol,73.53
593,FreakCoin.sol,73.53
606,FreakCoin.sol,73.53
620,FreakCoin.sol,73.53
631,FreakCoin.sol,73.53
643,FreakCoin.sol,73.53
654,FreakCoin.sol,73.53
667,FreakCoin.sol,73.53
681,FreakCoin.sol,73.53
695,FreakCoin.sol,73.53
708,FreakCoin.sol,73.53
721,FreakCoin.sol,73.53
734,FreakCoin.sol,73.53
748,FreakCoin.sol,73.53
760,FreakCoin.sol,73.53
771,FreakCoin.sol,73.53
784,FreakCoin.sol,73.53
796,FreakCoin.sol,73.53
810,FreakCoin.sol,73.53
820,FreakCoin.sol,73.53
833,FreakCoin.sol,73.53
847,FreakCoin.sol,73.53
862,FreakCoin.sol,73.53
874,FreakCoin.sol,73.53
885,FreakCoin.sol,73.53
897,FreakCoin.sol,73.53
909,FreakCoin.sol,73.53
923,FreakCoin.sol,73.53
934,FreakCoin.sol,73.53
945,FreakCoin.sol,73.53
953,FreakCoin.sol,73.53
963,FreakCoin.sol,73.53
977,FreakCoin.sol,73.53
992,FreakCoin.sol,73.53
1007,FreakCoin.sol,73.53
1024,FreakCoin.sol,73.53
1036,FreakCoin.sol,73.53
1048,FreakCoin.sol,73.53
1062,FreakCoin.sol,73.53
1076,FreakCoin.sol,73.53
1090,FreakCoin.sol,73.53
1106,FreakCoin.sol,73.53
1121,FreakCoin.sol,73.53
1135,FreakCoin.sol,73.53
1153,FreakCoin.sol,73.53
1166,FreakCoin.sol,73.53
1177,FreakCoin.sol,73.53
1189,FreakCoin.sol,73.53
1203,FreakCoin.sol,73.53
1218,FreakCoin.sol,73.53
1230,FreakCoin.sol,73.53
1244,FreakCoin.sol,73.53
1258,FreakCoin.sol,73.53
1268,FreakCoin.sol,73.53
1277,FreakCoin.sol,73.53
1284,FreakCoin.sol,73.53
1292,FreakCoin.sol,73.53
1300,FreakCoin.sol,73.53
1307,FreakCoin.sol,73.53
1325,FreakCoin.sol,73.53
1345,FreakCoin.sol,73.53
1361,FreakCoin.sol,73.53
1376,FreakCoin.sol,73.53
1390,FreakCoin.sol,73.53
1408,FreakCoin.sol,73.53
1423,FreakCoin.sol,73.53
1436,FreakCoin.sol,73.53
1452,FreakCoin.sol,73.53
1465,FreakCoin.sol,73.53
1484,FreakCoin.sol,73.53
1509,FreakCoin.sol,73.53
1523,FreakCoin.sol,73.53
1535,FreakCoin.sol,73.53
1549,FreakCoin.sol,73.53
1573,FreakCoin.sol,73.53
1593,FreakCoin.sol,73.53
1623,FreakCoin.sol,73.53
1640,FreakCoin.sol,73.53
1660,FreakCoin.sol,73.53
1679,FreakCoin.sol,73.53
1696,FreakCoin.sol,73.53
1717,FreakCoin.sol,73.53
1730,FreakCoin.sol,73.53
1743,FreakCoin.sol,73.53
1757,FreakCoin.sol,73.53
1772,FreakCoin.sol,73.53
1786,FreakCoin.sol,73.53
1801,FreakCoin.sol,73.53
