TIME,SUBJECT,COVERAGE
0,Rootkit_finance.sol,0
9,Rootkit_finance.sol,55.56
19,Rootkit_finance.sol,61.11
31,Rootkit_finance.sol,61.11
43,Rootkit_finance.sol,61.11
54,Rootkit_finance.sol,61.11
63,Rootkit_finance.sol,61.11
74,Rootkit_finance.sol,61.11
82,Rootkit_finance.sol,61.11
90,Rootkit_finance.sol,61.11
96,Rootkit_finance.sol,61.11
105,Rootkit_finance.sol,61.11
117,Rootkit_finance.sol,61.11
124,Rootkit_finance.sol,61.11
133,Rootkit_finance.sol,61.11
142,Rootkit_finance.sol,61.11
151,Rootkit_finance.sol,61.11
159,Rootkit_finance.sol,61.11
165,Rootkit_finance.sol,61.11
171,Rootkit_finance.sol,61.11
176,Rootkit_finance.sol,61.11
179,Rootkit_finance.sol,61.11
182,Rootkit_finance.sol,61.11
185,Rootkit_finance.sol,61.11
191,Rootkit_finance.sol,61.11
201,Rootkit_finance.sol,61.11
214,Rootkit_finance.sol,61.11
226,Rootkit_finance.sol,61.11
239,Rootkit_finance.sol,61.11
250,Rootkit_finance.sol,61.11
257,Rootkit_finance.sol,61.11
262,Rootkit_finance.sol,61.11
269,Rootkit_finance.sol,61.11
276,Rootkit_finance.sol,61.11
281,Rootkit_finance.sol,61.11
291,Rootkit_finance.sol,61.11
297,Rootkit_finance.sol,61.11
303,Rootkit_finance.sol,61.11
311,Rootkit_finance.sol,61.11
321,Rootkit_finance.sol,61.11
331,Rootkit_finance.sol,61.11
340,Rootkit_finance.sol,61.11
347,Rootkit_finance.sol,61.11
353,Rootkit_finance.sol,61.11
362,Rootkit_finance.sol,61.11
370,Rootkit_finance.sol,61.11
379,Rootkit_finance.sol,61.11
386,Rootkit_finance.sol,61.11
392,Rootkit_finance.sol,61.11
400,Rootkit_finance.sol,61.11
410,Rootkit_finance.sol,61.11
416,Rootkit_finance.sol,61.11
424,Rootkit_finance.sol,61.11
430,Rootkit_finance.sol,61.11
438,Rootkit_finance.sol,61.11
446,Rootkit_finance.sol,61.11
453,Rootkit_finance.sol,61.11
461,Rootkit_finance.sol,61.11
467,Rootkit_finance.sol,61.11
476,Rootkit_finance.sol,61.11
483,Rootkit_finance.sol,61.11
492,Rootkit_finance.sol,61.11
502,Rootkit_finance.sol,61.11
512,Rootkit_finance.sol,61.11
519,Rootkit_finance.sol,61.11
526,Rootkit_finance.sol,61.11
532,Rootkit_finance.sol,61.11
539,Rootkit_finance.sol,61.11
547,Rootkit_finance.sol,61.11
555,Rootkit_finance.sol,61.11
563,Rootkit_finance.sol,61.11
572,Rootkit_finance.sol,61.11
579,Rootkit_finance.sol,61.11
587,Rootkit_finance.sol,61.11
594,Rootkit_finance.sol,61.11
605,Rootkit_finance.sol,61.11
612,Rootkit_finance.sol,61.11
620,Rootkit_finance.sol,61.11
631,Rootkit_finance.sol,61.11
637,Rootkit_finance.sol,61.11
648,Rootkit_finance.sol,61.11
657,Rootkit_finance.sol,61.11
665,Rootkit_finance.sol,61.11
676,Rootkit_finance.sol,61.11
683,Rootkit_finance.sol,61.11
693,Rootkit_finance.sol,61.11
707,Rootkit_finance.sol,61.11
719,Rootkit_finance.sol,61.11
723,Rootkit_finance.sol,61.11
727,Rootkit_finance.sol,61.11
731,Rootkit_finance.sol,61.11
735,Rootkit_finance.sol,61.11
738,Rootkit_finance.sol,61.11
742,Rootkit_finance.sol,61.11
746,Rootkit_finance.sol,61.11
751,Rootkit_finance.sol,61.11
760,Rootkit_finance.sol,61.11
763,Rootkit_finance.sol,61.11
767,Rootkit_finance.sol,61.11
771,Rootkit_finance.sol,61.11
775,Rootkit_finance.sol,61.11
779,Rootkit_finance.sol,61.11
783,Rootkit_finance.sol,61.11
787,Rootkit_finance.sol,61.11
790,Rootkit_finance.sol,61.11
794,Rootkit_finance.sol,61.11
799,Rootkit_finance.sol,61.11
803,Rootkit_finance.sol,61.11
810,Rootkit_finance.sol,61.11
819,Rootkit_finance.sol,61.11
829,Rootkit_finance.sol,61.11
838,Rootkit_finance.sol,61.11
846,Rootkit_finance.sol,61.11
858,Rootkit_finance.sol,61.11
866,Rootkit_finance.sol,61.11
873,Rootkit_finance.sol,61.11
886,Rootkit_finance.sol,61.11
891,Rootkit_finance.sol,61.11
900,Rootkit_finance.sol,61.11
907,Rootkit_finance.sol,61.11
915,Rootkit_finance.sol,61.11
923,Rootkit_finance.sol,61.11
933,Rootkit_finance.sol,61.11
942,Rootkit_finance.sol,61.11
948,Rootkit_finance.sol,61.11
961,Rootkit_finance.sol,61.11
973,Rootkit_finance.sol,61.11
980,Rootkit_finance.sol,61.11
989,Rootkit_finance.sol,61.11
1000,Rootkit_finance.sol,61.11
1012,Rootkit_finance.sol,61.11
1020,Rootkit_finance.sol,61.11
