TIME,SUBJECT,COVERAGE
0,CourtFarming_RoomLPStake.sol,0
25,CourtFarming_RoomLPStake.sol,59.62
44,CourtFarming_RoomLPStake.sol,59.62
62,CourtFarming_RoomLPStake.sol,59.62
74,CourtFarming_RoomLPStake.sol,61.54
87,CourtFarming_RoomLPStake.sol,61.54
99,CourtFarming_RoomLPStake.sol,63.46
114,CourtFarming_RoomLPStake.sol,63.46
126,CourtFarming_RoomLPStake.sol,63.46
137,CourtFarming_RoomLPStake.sol,63.46
149,CourtFarming_RoomLPStake.sol,63.46
165,CourtFarming_RoomLPStake.sol,63.46
181,CourtFarming_RoomLPStake.sol,63.46
191,CourtFarming_RoomLPStake.sol,63.46
201,CourtFarming_RoomLPStake.sol,63.46
212,CourtFarming_RoomLPStake.sol,63.46
222,CourtFarming_RoomLPStake.sol,63.46
232,CourtFarming_RoomLPStake.sol,63.46
246,CourtFarming_RoomLPStake.sol,63.46
257,CourtFarming_RoomLPStake.sol,63.46
267,CourtFarming_RoomLPStake.sol,63.46
277,CourtFarming_RoomLPStake.sol,63.46
287,CourtFarming_RoomLPStake.sol,63.46
299,CourtFarming_RoomLPStake.sol,63.46
309,CourtFarming_RoomLPStake.sol,63.46
319,CourtFarming_RoomLPStake.sol,65.38
332,CourtFarming_RoomLPStake.sol,65.38
342,CourtFarming_RoomLPStake.sol,65.38
353,CourtFarming_RoomLPStake.sol,65.38
363,CourtFarming_RoomLPStake.sol,65.38
373,CourtFarming_RoomLPStake.sol,65.38
383,CourtFarming_RoomLPStake.sol,65.38
396,CourtFarming_RoomLPStake.sol,65.38
406,CourtFarming_RoomLPStake.sol,65.38
416,CourtFarming_RoomLPStake.sol,65.38
426,CourtFarming_RoomLPStake.sol,65.38
438,CourtFarming_RoomLPStake.sol,65.38
449,CourtFarming_RoomLPStake.sol,65.38
460,CourtFarming_RoomLPStake.sol,65.38
471,CourtFarming_RoomLPStake.sol,65.38
483,CourtFarming_RoomLPStake.sol,65.38
492,CourtFarming_RoomLPStake.sol,65.38
501,CourtFarming_RoomLPStake.sol,65.38
509,CourtFarming_RoomLPStake.sol,65.38
518,CourtFarming_RoomLPStake.sol,65.38
527,CourtFarming_RoomLPStake.sol,65.38
536,CourtFarming_RoomLPStake.sol,67.31
544,CourtFarming_RoomLPStake.sol,67.31
553,CourtFarming_RoomLPStake.sol,67.31
562,CourtFarming_RoomLPStake.sol,67.31
570,CourtFarming_RoomLPStake.sol,67.31
579,CourtFarming_RoomLPStake.sol,67.31
588,CourtFarming_RoomLPStake.sol,67.31
596,CourtFarming_RoomLPStake.sol,67.31
605,CourtFarming_RoomLPStake.sol,67.31
614,CourtFarming_RoomLPStake.sol,67.31
622,CourtFarming_RoomLPStake.sol,67.31
631,CourtFarming_RoomLPStake.sol,67.31
639,CourtFarming_RoomLPStake.sol,67.31
648,CourtFarming_RoomLPStake.sol,67.31
657,CourtFarming_RoomLPStake.sol,67.31
666,CourtFarming_RoomLPStake.sol,67.31
674,CourtFarming_RoomLPStake.sol,67.31
683,CourtFarming_RoomLPStake.sol,67.31
691,CourtFarming_RoomLPStake.sol,67.31
699,CourtFarming_RoomLPStake.sol,67.31
708,CourtFarming_RoomLPStake.sol,67.31
716,CourtFarming_RoomLPStake.sol,67.31
725,CourtFarming_RoomLPStake.sol,67.31
734,CourtFarming_RoomLPStake.sol,67.31
743,CourtFarming_RoomLPStake.sol,67.31
751,CourtFarming_RoomLPStake.sol,67.31
760,CourtFarming_RoomLPStake.sol,67.31
768,CourtFarming_RoomLPStake.sol,67.31
777,CourtFarming_RoomLPStake.sol,67.31
787,CourtFarming_RoomLPStake.sol,67.31
795,CourtFarming_RoomLPStake.sol,67.31
804,CourtFarming_RoomLPStake.sol,67.31
812,CourtFarming_RoomLPStake.sol,67.31
822,CourtFarming_RoomLPStake.sol,67.31
832,CourtFarming_RoomLPStake.sol,67.31
842,CourtFarming_RoomLPStake.sol,67.31
853,CourtFarming_RoomLPStake.sol,67.31
865,CourtFarming_RoomLPStake.sol,67.31
877,CourtFarming_RoomLPStake.sol,67.31
887,CourtFarming_RoomLPStake.sol,67.31
897,CourtFarming_RoomLPStake.sol,67.31
908,CourtFarming_RoomLPStake.sol,67.31
919,CourtFarming_RoomLPStake.sol,67.31
929,CourtFarming_RoomLPStake.sol,67.31
940,CourtFarming_RoomLPStake.sol,67.31
951,CourtFarming_RoomLPStake.sol,69.23
961,CourtFarming_RoomLPStake.sol,69.23
973,CourtFarming_RoomLPStake.sol,69.23
984,CourtFarming_RoomLPStake.sol,69.23
995,CourtFarming_RoomLPStake.sol,69.23
1006,CourtFarming_RoomLPStake.sol,69.23
1019,CourtFarming_RoomLPStake.sol,69.23
1030,CourtFarming_RoomLPStake.sol,69.23
1041,CourtFarming_RoomLPStake.sol,69.23
1052,CourtFarming_RoomLPStake.sol,69.23
1063,CourtFarming_RoomLPStake.sol,69.23
1075,CourtFarming_RoomLPStake.sol,69.23
1086,CourtFarming_RoomLPStake.sol,69.23
1097,CourtFarming_RoomLPStake.sol,69.23
1107,CourtFarming_RoomLPStake.sol,69.23
1117,CourtFarming_RoomLPStake.sol,69.23
1128,CourtFarming_RoomLPStake.sol,69.23
1139,CourtFarming_RoomLPStake.sol,69.23
1150,CourtFarming_RoomLPStake.sol,69.23
1160,CourtFarming_RoomLPStake.sol,69.23
1172,CourtFarming_RoomLPStake.sol,69.23
1185,CourtFarming_RoomLPStake.sol,69.23
1196,CourtFarming_RoomLPStake.sol,69.23
1209,CourtFarming_RoomLPStake.sol,69.23
1219,CourtFarming_RoomLPStake.sol,69.23
1229,CourtFarming_RoomLPStake.sol,69.23
1243,CourtFarming_RoomLPStake.sol,69.23
1254,CourtFarming_RoomLPStake.sol,69.23
1265,CourtFarming_RoomLPStake.sol,69.23
1276,CourtFarming_RoomLPStake.sol,69.23
1287,CourtFarming_RoomLPStake.sol,69.23
1300,CourtFarming_RoomLPStake.sol,69.23
1312,CourtFarming_RoomLPStake.sol,69.23
1324,CourtFarming_RoomLPStake.sol,69.23
1335,CourtFarming_RoomLPStake.sol,69.23
1347,CourtFarming_RoomLPStake.sol,69.23
1357,CourtFarming_RoomLPStake.sol,69.23
1370,CourtFarming_RoomLPStake.sol,69.23
1380,CourtFarming_RoomLPStake.sol,69.23
1391,CourtFarming_RoomLPStake.sol,69.23
1400,CourtFarming_RoomLPStake.sol,69.23
1411,CourtFarming_RoomLPStake.sol,69.23
1422,CourtFarming_RoomLPStake.sol,69.23
1432,CourtFarming_RoomLPStake.sol,69.23
1443,CourtFarming_RoomLPStake.sol,69.23
1455,CourtFarming_RoomLPStake.sol,69.23
1469,CourtFarming_RoomLPStake.sol,69.23
1480,CourtFarming_RoomLPStake.sol,69.23
1497,CourtFarming_RoomLPStake.sol,69.23
1511,CourtFarming_RoomLPStake.sol,69.23
1521,CourtFarming_RoomLPStake.sol,69.23
1530,CourtFarming_RoomLPStake.sol,69.23
1542,CourtFarming_RoomLPStake.sol,69.23
1554,CourtFarming_RoomLPStake.sol,69.23
1568,CourtFarming_RoomLPStake.sol,69.23
1581,CourtFarming_RoomLPStake.sol,69.23
1590,CourtFarming_RoomLPStake.sol,69.23
1604,CourtFarming_RoomLPStake.sol,69.23
1617,CourtFarming_RoomLPStake.sol,69.23
1628,CourtFarming_RoomLPStake.sol,69.23
1643,CourtFarming_RoomLPStake.sol,69.23
1657,CourtFarming_RoomLPStake.sol,69.23
1672,CourtFarming_RoomLPStake.sol,69.23
1684,CourtFarming_RoomLPStake.sol,69.23
1699,CourtFarming_RoomLPStake.sol,69.23
1710,CourtFarming_RoomLPStake.sol,69.23
1726,CourtFarming_RoomLPStake.sol,69.23
1737,CourtFarming_RoomLPStake.sol,69.23
1751,CourtFarming_RoomLPStake.sol,69.23
1761,CourtFarming_RoomLPStake.sol,69.23
1775,CourtFarming_RoomLPStake.sol,69.23
1787,CourtFarming_RoomLPStake.sol,69.23
1801,CourtFarming_RoomLPStake.sol,69.23
