TIME,SUBJECT,COVERAGE
0,MetaCoin.sol,0
16,MetaCoin.sol,80
32,MetaCoin.sol,80
42,MetaCoin.sol,80
50,MetaCoin.sol,80
56,MetaCoin.sol,80
62,MetaCoin.sol,80
71,MetaCoin.sol,80
80,MetaCoin.sol,80
89,MetaCoin.sol,80
105,MetaCoin.sol,80
114,MetaCoin.sol,80
124,MetaCoin.sol,80
133,MetaCoin.sol,80
148,MetaCoin.sol,80
162,MetaCoin.sol,80
174,MetaCoin.sol,80
181,MetaCoin.sol,80
194,MetaCoin.sol,80
203,MetaCoin.sol,80
213,MetaCoin.sol,90
223,MetaCoin.sol,90
233,MetaCoin.sol,90
244,MetaCoin.sol,90
252,MetaCoin.sol,90
264,MetaCoin.sol,90
273,MetaCoin.sol,90
283,MetaCoin.sol,90
304,MetaCoin.sol,90
323,MetaCoin.sol,90
337,MetaCoin.sol,90
348,MetaCoin.sol,90
360,MetaCoin.sol,90
375,MetaCoin.sol,90
389,MetaCoin.sol,90
403,MetaCoin.sol,90
418,MetaCoin.sol,90
432,MetaCoin.sol,90
437,MetaCoin.sol,90
450,MetaCoin.sol,90
464,MetaCoin.sol,90
478,MetaCoin.sol,90
485,MetaCoin.sol,90
500,MetaCoin.sol,90
511,MetaCoin.sol,90
519,MetaCoin.sol,90
523,MetaCoin.sol,90
533,MetaCoin.sol,90
540,MetaCoin.sol,90
550,MetaCoin.sol,90
559,MetaCoin.sol,90
570,MetaCoin.sol,90
582,MetaCoin.sol,90
593,MetaCoin.sol,90
603,MetaCoin.sol,90
616,MetaCoin.sol,90
629,MetaCoin.sol,90
644,MetaCoin.sol,90
657,MetaCoin.sol,90
669,MetaCoin.sol,90
682,MetaCoin.sol,90
693,MetaCoin.sol,90
707,MetaCoin.sol,90
719,MetaCoin.sol,90
724,MetaCoin.sol,90
736,MetaCoin.sol,90
748,MetaCoin.sol,90
761,MetaCoin.sol,90
773,MetaCoin.sol,90
782,MetaCoin.sol,90
789,MetaCoin.sol,90
799,MetaCoin.sol,90
807,MetaCoin.sol,90
816,MetaCoin.sol,90
824,MetaCoin.sol,90
832,MetaCoin.sol,90
843,MetaCoin.sol,90
855,MetaCoin.sol,90
864,MetaCoin.sol,90
869,MetaCoin.sol,90
874,MetaCoin.sol,90
880,MetaCoin.sol,90
885,MetaCoin.sol,90
892,MetaCoin.sol,90
897,MetaCoin.sol,90
903,MetaCoin.sol,90
910,MetaCoin.sol,90
926,MetaCoin.sol,90
942,MetaCoin.sol,90
957,MetaCoin.sol,90
970,MetaCoin.sol,90
982,MetaCoin.sol,90
996,MetaCoin.sol,90
1008,MetaCoin.sol,90
1022,MetaCoin.sol,90
1036,MetaCoin.sol,90
1051,MetaCoin.sol,90
1064,MetaCoin.sol,90
1080,MetaCoin.sol,90
1100,MetaCoin.sol,90
1116,MetaCoin.sol,90
1134,MetaCoin.sol,90
1150,MetaCoin.sol,90
1167,MetaCoin.sol,90
1188,MetaCoin.sol,90
1214,MetaCoin.sol,90
1234,MetaCoin.sol,90
1254,MetaCoin.sol,90
1264,MetaCoin.sol,90
1275,MetaCoin.sol,90
1283,MetaCoin.sol,90
1298,MetaCoin.sol,90
1316,MetaCoin.sol,90
1330,MetaCoin.sol,90
1339,MetaCoin.sol,90
1350,MetaCoin.sol,90
1375,MetaCoin.sol,90
1404,MetaCoin.sol,90
1435,MetaCoin.sol,90
1474,MetaCoin.sol,90
1509,MetaCoin.sol,90
1554,MetaCoin.sol,90
1601,MetaCoin.sol,90
1637,MetaCoin.sol,90
1680,MetaCoin.sol,90
1718,MetaCoin.sol,90
1771,MetaCoin.sol,90
1801,MetaCoin.sol,90
