TIME,SUBJECT,COVERAGE
0,ZAD.sol,0
9,ZAD.sol,48.65
17,ZAD.sol,48.65
25,ZAD.sol,54.05
34,ZAD.sol,54.05
41,ZAD.sol,54.05
50,ZAD.sol,54.05
62,ZAD.sol,54.05
69,ZAD.sol,54.05
78,ZAD.sol,54.05
85,ZAD.sol,54.05
94,ZAD.sol,54.05
101,ZAD.sol,54.05
109,ZAD.sol,54.05
116,ZAD.sol,54.05
125,ZAD.sol,54.05
132,ZAD.sol,54.05
139,ZAD.sol,54.05
147,ZAD.sol,54.05
155,ZAD.sol,54.05
163,ZAD.sol,54.05
170,ZAD.sol,54.05
178,ZAD.sol,54.05
186,ZAD.sol,54.05
196,ZAD.sol,54.05
204,ZAD.sol,54.05
211,ZAD.sol,54.05
218,ZAD.sol,54.05
225,ZAD.sol,54.05
233,ZAD.sol,54.05
240,ZAD.sol,54.05
248,ZAD.sol,54.05
256,ZAD.sol,54.05
264,ZAD.sol,54.05
271,ZAD.sol,54.05
280,ZAD.sol,54.05
287,ZAD.sol,54.05
295,ZAD.sol,54.05
302,ZAD.sol,54.05
309,ZAD.sol,54.05
317,ZAD.sol,54.05
324,ZAD.sol,54.05
332,ZAD.sol,54.05
340,ZAD.sol,54.05
348,ZAD.sol,54.05
355,ZAD.sol,54.05
363,ZAD.sol,54.05
371,ZAD.sol,54.05
378,ZAD.sol,54.05
386,ZAD.sol,54.05
394,ZAD.sol,54.05
402,ZAD.sol,54.05
409,ZAD.sol,54.05
417,ZAD.sol,54.05
424,ZAD.sol,54.05
432,ZAD.sol,54.05
439,ZAD.sol,54.05
447,ZAD.sol,54.05
454,ZAD.sol,54.05
463,ZAD.sol,54.05
471,ZAD.sol,54.05
480,ZAD.sol,54.05
488,ZAD.sol,54.05
496,ZAD.sol,54.05
503,ZAD.sol,54.05
510,ZAD.sol,54.05
518,ZAD.sol,54.05
525,ZAD.sol,54.05
533,ZAD.sol,54.05
540,ZAD.sol,54.05
547,ZAD.sol,54.05
554,ZAD.sol,54.05
561,ZAD.sol,54.05
568,ZAD.sol,54.05
576,ZAD.sol,54.05
584,ZAD.sol,54.05
592,ZAD.sol,54.05
599,ZAD.sol,54.05
607,ZAD.sol,54.05
614,ZAD.sol,54.05
622,ZAD.sol,54.05
629,ZAD.sol,54.05
636,ZAD.sol,54.05
644,ZAD.sol,54.05
651,ZAD.sol,54.05
658,ZAD.sol,54.05
665,ZAD.sol,54.05
672,ZAD.sol,54.05
679,ZAD.sol,54.05
687,ZAD.sol,54.05
694,ZAD.sol,54.05
701,ZAD.sol,54.05
708,ZAD.sol,54.05
716,ZAD.sol,54.05
723,ZAD.sol,54.05
730,ZAD.sol,54.05
737,ZAD.sol,54.05
744,ZAD.sol,54.05
752,ZAD.sol,54.05
760,ZAD.sol,54.05
767,ZAD.sol,54.05
774,ZAD.sol,54.05
781,ZAD.sol,54.05
789,ZAD.sol,54.05
796,ZAD.sol,54.05
803,ZAD.sol,54.05
811,ZAD.sol,54.05
818,ZAD.sol,54.05
826,ZAD.sol,54.05
833,ZAD.sol,54.05
841,ZAD.sol,54.05
849,ZAD.sol,54.05
856,ZAD.sol,54.05
863,ZAD.sol,54.05
871,ZAD.sol,54.05
878,ZAD.sol,54.05
885,ZAD.sol,54.05
892,ZAD.sol,54.05
899,ZAD.sol,54.05
906,ZAD.sol,54.05
913,ZAD.sol,54.05
920,ZAD.sol,54.05
927,ZAD.sol,54.05
935,ZAD.sol,54.05
942,ZAD.sol,54.05
949,ZAD.sol,54.05
956,ZAD.sol,54.05
963,ZAD.sol,54.05
971,ZAD.sol,54.05
978,ZAD.sol,54.05
985,ZAD.sol,54.05
992,ZAD.sol,54.05
999,ZAD.sol,54.05
1006,ZAD.sol,54.05
1014,ZAD.sol,54.05
1020,ZAD.sol,54.05
1028,ZAD.sol,54.05
1035,ZAD.sol,54.05
1042,ZAD.sol,54.05
1049,ZAD.sol,54.05
1056,ZAD.sol,54.05
1064,ZAD.sol,54.05
1072,ZAD.sol,54.05
1079,ZAD.sol,54.05
1087,ZAD.sol,54.05
1094,ZAD.sol,54.05
1102,ZAD.sol,54.05
1109,ZAD.sol,54.05
1116,ZAD.sol,54.05
1123,ZAD.sol,54.05
1131,ZAD.sol,54.05
1138,ZAD.sol,54.05
1145,ZAD.sol,54.05
1153,ZAD.sol,54.05
1161,ZAD.sol,54.05
1169,ZAD.sol,54.05
1177,ZAD.sol,54.05
1185,ZAD.sol,54.05
1193,ZAD.sol,54.05
1201,ZAD.sol,54.05
1209,ZAD.sol,54.05
1216,ZAD.sol,54.05
1226,ZAD.sol,54.05
1233,ZAD.sol,54.05
1241,ZAD.sol,54.05
1249,ZAD.sol,54.05
1257,ZAD.sol,54.05
1266,ZAD.sol,54.05
1274,ZAD.sol,54.05
1282,ZAD.sol,54.05
1290,ZAD.sol,54.05
1298,ZAD.sol,54.05
1306,ZAD.sol,54.05
1314,ZAD.sol,54.05
1322,ZAD.sol,54.05
1331,ZAD.sol,54.05
1340,ZAD.sol,54.05
1347,ZAD.sol,54.05
1355,ZAD.sol,54.05
1364,ZAD.sol,54.05
1374,ZAD.sol,54.05
1385,ZAD.sol,54.05
1395,ZAD.sol,54.05
1405,ZAD.sol,54.05
1412,ZAD.sol,54.05
1419,ZAD.sol,54.05
1426,ZAD.sol,54.05
1434,ZAD.sol,54.05
1442,ZAD.sol,54.05
1450,ZAD.sol,54.05
1458,ZAD.sol,54.05
1466,ZAD.sol,54.05
1475,ZAD.sol,54.05
1482,ZAD.sol,54.05
1490,ZAD.sol,54.05
1497,ZAD.sol,54.05
1504,ZAD.sol,54.05
1512,ZAD.sol,54.05
1521,ZAD.sol,54.05
1529,ZAD.sol,54.05
1538,ZAD.sol,54.05
1545,ZAD.sol,54.05
1554,ZAD.sol,54.05
1563,ZAD.sol,54.05
1570,ZAD.sol,54.05
1577,ZAD.sol,54.05
1585,ZAD.sol,54.05
1594,ZAD.sol,54.05
1603,ZAD.sol,54.05
1610,ZAD.sol,54.05
1620,ZAD.sol,54.05
1628,ZAD.sol,54.05
1635,ZAD.sol,54.05
1643,ZAD.sol,54.05
1652,ZAD.sol,54.05
1661,ZAD.sol,54.05
1669,ZAD.sol,54.05
1679,ZAD.sol,54.05
1687,ZAD.sol,54.05
1695,ZAD.sol,54.05
1701,ZAD.sol,54.05
1707,ZAD.sol,54.05
1715,ZAD.sol,54.05
1722,ZAD.sol,54.05
1729,ZAD.sol,54.05
1735,ZAD.sol,54.05
1743,ZAD.sol,54.05
1750,ZAD.sol,54.05
1757,ZAD.sol,54.05
1763,ZAD.sol,54.05
1769,ZAD.sol,54.05
1776,ZAD.sol,54.05
1782,ZAD.sol,54.05
1789,ZAD.sol,54.05
1795,ZAD.sol,54.05
1801,ZAD.sol,54.05
