TIME,SUBJECT,COVERAGE
0,RIT.sol,0
17,RIT.sol,40.54
35,RIT.sol,43.24
51,RIT.sol,48.65
61,RIT.sol,54.05
76,RIT.sol,54.05
88,RIT.sol,54.05
101,RIT.sol,54.05
115,RIT.sol,54.05
132,RIT.sol,54.05
144,RIT.sol,54.05
156,RIT.sol,54.05
167,RIT.sol,54.05
185,RIT.sol,54.05
198,RIT.sol,54.05
210,RIT.sol,54.05
222,RIT.sol,54.05
231,RIT.sol,54.05
245,RIT.sol,54.05
255,RIT.sol,54.05
264,RIT.sol,54.05
273,RIT.sol,54.05
286,RIT.sol,54.05
301,RIT.sol,54.05
314,RIT.sol,54.05
325,RIT.sol,54.05
336,RIT.sol,54.05
347,RIT.sol,54.05
357,RIT.sol,54.05
367,RIT.sol,54.05
377,RIT.sol,54.05
387,RIT.sol,54.05
397,RIT.sol,54.05
407,RIT.sol,54.05
417,RIT.sol,54.05
428,RIT.sol,54.05
437,RIT.sol,54.05
448,RIT.sol,54.05
457,RIT.sol,54.05
470,RIT.sol,54.05
481,RIT.sol,54.05
492,RIT.sol,54.05
501,RIT.sol,54.05
510,RIT.sol,54.05
522,RIT.sol,54.05
531,RIT.sol,54.05
543,RIT.sol,54.05
551,RIT.sol,54.05
562,RIT.sol,54.05
572,RIT.sol,54.05
581,RIT.sol,54.05
591,RIT.sol,54.05
602,RIT.sol,54.05
612,RIT.sol,54.05
623,RIT.sol,54.05
634,RIT.sol,54.05
645,RIT.sol,54.05
654,RIT.sol,54.05
665,RIT.sol,54.05
674,RIT.sol,54.05
684,RIT.sol,54.05
695,RIT.sol,54.05
706,RIT.sol,54.05
716,RIT.sol,54.05
726,RIT.sol,54.05
736,RIT.sol,54.05
748,RIT.sol,54.05
757,RIT.sol,54.05
768,RIT.sol,54.05
775,RIT.sol,54.05
781,RIT.sol,54.05
788,RIT.sol,54.05
795,RIT.sol,54.05
808,RIT.sol,54.05
819,RIT.sol,54.05
833,RIT.sol,54.05
844,RIT.sol,54.05
854,RIT.sol,54.05
864,RIT.sol,54.05
872,RIT.sol,54.05
884,RIT.sol,54.05
895,RIT.sol,54.05
906,RIT.sol,54.05
918,RIT.sol,54.05
930,RIT.sol,54.05
939,RIT.sol,54.05
955,RIT.sol,54.05
965,RIT.sol,54.05
977,RIT.sol,54.05
988,RIT.sol,54.05
999,RIT.sol,54.05
1011,RIT.sol,54.05
1022,RIT.sol,54.05
1033,RIT.sol,54.05
1043,RIT.sol,54.05
1057,RIT.sol,54.05
1068,RIT.sol,54.05
1078,RIT.sol,54.05
1089,RIT.sol,54.05
1104,RIT.sol,54.05
1119,RIT.sol,54.05
1129,RIT.sol,54.05
1143,RIT.sol,54.05
1155,RIT.sol,54.05
1167,RIT.sol,54.05
1181,RIT.sol,54.05
1190,RIT.sol,54.05
1202,RIT.sol,54.05
1213,RIT.sol,54.05
1226,RIT.sol,54.05
1236,RIT.sol,54.05
1250,RIT.sol,54.05
1262,RIT.sol,54.05
1274,RIT.sol,54.05
1283,RIT.sol,54.05
1293,RIT.sol,54.05
1307,RIT.sol,54.05
1322,RIT.sol,54.05
1332,RIT.sol,54.05
1343,RIT.sol,54.05
1352,RIT.sol,54.05
1362,RIT.sol,54.05
1372,RIT.sol,54.05
1383,RIT.sol,54.05
1392,RIT.sol,54.05
1403,RIT.sol,54.05
1416,RIT.sol,54.05
1428,RIT.sol,54.05
1439,RIT.sol,54.05
1453,RIT.sol,54.05
1462,RIT.sol,54.05
1475,RIT.sol,54.05
1492,RIT.sol,54.05
1504,RIT.sol,54.05
1514,RIT.sol,54.05
1524,RIT.sol,54.05
1535,RIT.sol,54.05
1550,RIT.sol,54.05
1564,RIT.sol,54.05
1581,RIT.sol,54.05
1590,RIT.sol,54.05
1602,RIT.sol,54.05
1611,RIT.sol,54.05
1621,RIT.sol,54.05
1632,RIT.sol,54.05
1642,RIT.sol,54.05
1657,RIT.sol,54.05
1669,RIT.sol,54.05
1685,RIT.sol,54.05
1703,RIT.sol,54.05
1717,RIT.sol,54.05
1734,RIT.sol,54.05
1749,RIT.sol,54.05
1762,RIT.sol,54.05
1776,RIT.sol,54.05
1791,RIT.sol,54.05
1800,RIT.sol,54.05
