TIME,SUBJECT,COVERAGE
0,AntiBaseProtocol.sol,0
15,AntiBaseProtocol.sol,56
29,AntiBaseProtocol.sol,56
42,AntiBaseProtocol.sol,60
57,AntiBaseProtocol.sol,62
73,AntiBaseProtocol.sol,66
90,AntiBaseProtocol.sol,68
105,AntiBaseProtocol.sol,68
120,AntiBaseProtocol.sol,68
133,AntiBaseProtocol.sol,68
149,AntiBaseProtocol.sol,68
163,AntiBaseProtocol.sol,68
178,AntiBaseProtocol.sol,70
192,AntiBaseProtocol.sol,70
207,AntiBaseProtocol.sol,70
221,AntiBaseProtocol.sol,72
237,AntiBaseProtocol.sol,72
252,AntiBaseProtocol.sol,72
268,AntiBaseProtocol.sol,72
285,AntiBaseProtocol.sol,74
300,AntiBaseProtocol.sol,74
315,AntiBaseProtocol.sol,74
331,AntiBaseProtocol.sol,74
347,AntiBaseProtocol.sol,74
362,AntiBaseProtocol.sol,74
379,AntiBaseProtocol.sol,74
394,AntiBaseProtocol.sol,74
410,AntiBaseProtocol.sol,74
427,AntiBaseProtocol.sol,74
443,AntiBaseProtocol.sol,74
459,AntiBaseProtocol.sol,74
474,AntiBaseProtocol.sol,74
491,AntiBaseProtocol.sol,74
507,AntiBaseProtocol.sol,74
522,AntiBaseProtocol.sol,76
539,AntiBaseProtocol.sol,76
555,AntiBaseProtocol.sol,76
571,AntiBaseProtocol.sol,76
588,AntiBaseProtocol.sol,76
605,AntiBaseProtocol.sol,76
620,AntiBaseProtocol.sol,76
636,AntiBaseProtocol.sol,76
651,AntiBaseProtocol.sol,76
667,AntiBaseProtocol.sol,76
683,AntiBaseProtocol.sol,76
699,AntiBaseProtocol.sol,76
715,AntiBaseProtocol.sol,80
730,AntiBaseProtocol.sol,80
746,AntiBaseProtocol.sol,80
762,AntiBaseProtocol.sol,80
778,AntiBaseProtocol.sol,80
793,AntiBaseProtocol.sol,80
810,AntiBaseProtocol.sol,80
827,AntiBaseProtocol.sol,80
842,AntiBaseProtocol.sol,80
858,AntiBaseProtocol.sol,80
873,AntiBaseProtocol.sol,80
888,AntiBaseProtocol.sol,80
905,AntiBaseProtocol.sol,80
920,AntiBaseProtocol.sol,80
937,AntiBaseProtocol.sol,80
954,AntiBaseProtocol.sol,80
970,AntiBaseProtocol.sol,80
986,AntiBaseProtocol.sol,80
1004,AntiBaseProtocol.sol,80
1020,AntiBaseProtocol.sol,80
1036,AntiBaseProtocol.sol,80
1052,AntiBaseProtocol.sol,80
1069,AntiBaseProtocol.sol,80
1086,AntiBaseProtocol.sol,80
1102,AntiBaseProtocol.sol,80
1118,AntiBaseProtocol.sol,80
1135,AntiBaseProtocol.sol,80
1151,AntiBaseProtocol.sol,80
1166,AntiBaseProtocol.sol,80
1182,AntiBaseProtocol.sol,80
1198,AntiBaseProtocol.sol,80
1214,AntiBaseProtocol.sol,80
1231,AntiBaseProtocol.sol,80
1247,AntiBaseProtocol.sol,80
1264,AntiBaseProtocol.sol,80
1280,AntiBaseProtocol.sol,80
1296,AntiBaseProtocol.sol,80
1312,AntiBaseProtocol.sol,80
1329,AntiBaseProtocol.sol,80
1344,AntiBaseProtocol.sol,80
1362,AntiBaseProtocol.sol,80
1378,AntiBaseProtocol.sol,80
1395,AntiBaseProtocol.sol,80
1412,AntiBaseProtocol.sol,80
1428,AntiBaseProtocol.sol,80
1444,AntiBaseProtocol.sol,80
1459,AntiBaseProtocol.sol,80
1475,AntiBaseProtocol.sol,80
1492,AntiBaseProtocol.sol,80
1513,AntiBaseProtocol.sol,80
1531,AntiBaseProtocol.sol,80
1547,AntiBaseProtocol.sol,80
1563,AntiBaseProtocol.sol,80
1580,AntiBaseProtocol.sol,80
1596,AntiBaseProtocol.sol,80
1611,AntiBaseProtocol.sol,80
1626,AntiBaseProtocol.sol,80
1645,AntiBaseProtocol.sol,80
1660,AntiBaseProtocol.sol,80
1683,AntiBaseProtocol.sol,80
1699,AntiBaseProtocol.sol,80
1714,AntiBaseProtocol.sol,80
1734,AntiBaseProtocol.sol,80
1752,AntiBaseProtocol.sol,80
1769,AntiBaseProtocol.sol,80
1790,AntiBaseProtocol.sol,80
1800,AntiBaseProtocol.sol,80
