TIME,SUBJECT,COVERAGE
0,BirdOracle.sol,0
14,BirdOracle.sol,69.23
28,BirdOracle.sol,69.23
39,BirdOracle.sol,69.23
47,BirdOracle.sol,69.23
52,BirdOracle.sol,69.23
57,BirdOracle.sol,69.23
62,BirdOracle.sol,69.23
68,BirdOracle.sol,69.23
73,BirdOracle.sol,69.23
79,BirdOracle.sol,69.23
85,BirdOracle.sol,69.23
91,BirdOracle.sol,69.23
98,BirdOracle.sol,69.23
103,BirdOracle.sol,69.23
111,BirdOracle.sol,69.23
118,BirdOracle.sol,69.23
123,BirdOracle.sol,69.23
129,BirdOracle.sol,69.23
135,BirdOracle.sol,69.23
141,BirdOracle.sol,69.23
148,BirdOracle.sol,69.23
155,BirdOracle.sol,69.23
162,BirdOracle.sol,69.23
169,BirdOracle.sol,69.23
175,BirdOracle.sol,69.23
182,BirdOracle.sol,69.23
189,BirdOracle.sol,69.23
197,BirdOracle.sol,69.23
202,BirdOracle.sol,69.23
210,BirdOracle.sol,69.23
216,BirdOracle.sol,69.23
223,BirdOracle.sol,69.23
231,BirdOracle.sol,69.23
241,BirdOracle.sol,69.23
250,BirdOracle.sol,69.23
256,BirdOracle.sol,69.23
263,BirdOracle.sol,69.23
270,BirdOracle.sol,69.23
277,BirdOracle.sol,69.23
283,BirdOracle.sol,69.23
292,BirdOracle.sol,69.23
299,BirdOracle.sol,69.23
306,BirdOracle.sol,69.23
314,BirdOracle.sol,69.23
322,BirdOracle.sol,69.23
333,BirdOracle.sol,69.23
340,BirdOracle.sol,69.23
348,BirdOracle.sol,69.23
356,BirdOracle.sol,69.23
364,BirdOracle.sol,69.23
374,BirdOracle.sol,69.23
381,BirdOracle.sol,69.23
391,BirdOracle.sol,69.23
399,BirdOracle.sol,69.23
407,BirdOracle.sol,69.23
419,BirdOracle.sol,69.23
426,BirdOracle.sol,69.23
431,BirdOracle.sol,69.23
440,BirdOracle.sol,69.23
447,BirdOracle.sol,69.23
457,BirdOracle.sol,69.23
465,BirdOracle.sol,69.23
472,BirdOracle.sol,69.23
481,BirdOracle.sol,69.23
490,BirdOracle.sol,69.23
497,BirdOracle.sol,69.23
506,BirdOracle.sol,69.23
513,BirdOracle.sol,69.23
520,BirdOracle.sol,69.23
528,BirdOracle.sol,69.23
537,BirdOracle.sol,69.23
545,BirdOracle.sol,69.23
553,BirdOracle.sol,69.23
561,BirdOracle.sol,69.23
569,BirdOracle.sol,69.23
577,BirdOracle.sol,69.23
586,BirdOracle.sol,69.23
594,BirdOracle.sol,69.23
602,BirdOracle.sol,69.23
611,BirdOracle.sol,69.23
620,BirdOracle.sol,69.23
630,BirdOracle.sol,69.23
638,BirdOracle.sol,69.23
647,BirdOracle.sol,69.23
655,BirdOracle.sol,69.23
663,BirdOracle.sol,69.23
672,BirdOracle.sol,69.23
682,BirdOracle.sol,69.23
691,BirdOracle.sol,69.23
699,BirdOracle.sol,69.23
706,BirdOracle.sol,69.23
714,BirdOracle.sol,69.23
722,BirdOracle.sol,69.23
730,BirdOracle.sol,69.23
738,BirdOracle.sol,69.23
746,BirdOracle.sol,69.23
753,BirdOracle.sol,69.23
760,BirdOracle.sol,69.23
768,BirdOracle.sol,69.23
775,BirdOracle.sol,69.23
785,BirdOracle.sol,69.23
793,BirdOracle.sol,69.23
801,BirdOracle.sol,69.23
807,BirdOracle.sol,69.23
811,BirdOracle.sol,69.23
818,BirdOracle.sol,69.23
827,BirdOracle.sol,69.23
836,BirdOracle.sol,69.23
844,BirdOracle.sol,69.23
848,BirdOracle.sol,69.23
856,BirdOracle.sol,69.23
864,BirdOracle.sol,69.23
873,BirdOracle.sol,69.23
880,BirdOracle.sol,69.23
888,BirdOracle.sol,69.23
893,BirdOracle.sol,69.23
898,BirdOracle.sol,69.23
905,BirdOracle.sol,69.23
910,BirdOracle.sol,69.23
918,BirdOracle.sol,69.23
927,BirdOracle.sol,69.23
936,BirdOracle.sol,69.23
945,BirdOracle.sol,69.23
955,BirdOracle.sol,69.23
964,BirdOracle.sol,69.23
974,BirdOracle.sol,69.23
982,BirdOracle.sol,69.23
990,BirdOracle.sol,69.23
999,BirdOracle.sol,69.23
1008,BirdOracle.sol,69.23
1017,BirdOracle.sol,69.23
1027,BirdOracle.sol,69.23
1037,BirdOracle.sol,69.23
1047,BirdOracle.sol,69.23
1055,BirdOracle.sol,69.23
1063,BirdOracle.sol,69.23
1074,BirdOracle.sol,69.23
1085,BirdOracle.sol,69.23
1094,BirdOracle.sol,69.23
1102,BirdOracle.sol,69.23
1113,BirdOracle.sol,69.23
1122,BirdOracle.sol,69.23
1133,BirdOracle.sol,71.79
1142,BirdOracle.sol,71.79
1150,BirdOracle.sol,71.79
1158,BirdOracle.sol,71.79
1168,BirdOracle.sol,71.79
1176,BirdOracle.sol,71.79
1184,BirdOracle.sol,71.79
1192,BirdOracle.sol,71.79
1201,BirdOracle.sol,71.79
1208,BirdOracle.sol,71.79
1216,BirdOracle.sol,71.79
1224,BirdOracle.sol,71.79
1233,BirdOracle.sol,71.79
1242,BirdOracle.sol,71.79
1250,BirdOracle.sol,71.79
1259,BirdOracle.sol,71.79
1270,BirdOracle.sol,71.79
1278,BirdOracle.sol,71.79
1287,BirdOracle.sol,71.79
1295,BirdOracle.sol,71.79
1303,BirdOracle.sol,71.79
1312,BirdOracle.sol,71.79
1323,BirdOracle.sol,71.79
1331,BirdOracle.sol,71.79
1340,BirdOracle.sol,71.79
1351,BirdOracle.sol,71.79
1361,BirdOracle.sol,71.79
1377,BirdOracle.sol,71.79
1386,BirdOracle.sol,71.79
1394,BirdOracle.sol,71.79
1402,BirdOracle.sol,71.79
1412,BirdOracle.sol,71.79
1421,BirdOracle.sol,71.79
1430,BirdOracle.sol,71.79
1442,BirdOracle.sol,71.79
1449,BirdOracle.sol,71.79
1457,BirdOracle.sol,71.79
1463,BirdOracle.sol,71.79
1474,BirdOracle.sol,71.79
1482,BirdOracle.sol,71.79
1491,BirdOracle.sol,71.79
1500,BirdOracle.sol,71.79
1514,BirdOracle.sol,71.79
1528,BirdOracle.sol,71.79
1545,BirdOracle.sol,71.79
1557,BirdOracle.sol,71.79
1566,BirdOracle.sol,71.79
1581,BirdOracle.sol,71.79
1598,BirdOracle.sol,71.79
1615,BirdOracle.sol,71.79
1628,BirdOracle.sol,71.79
1635,BirdOracle.sol,71.79
1644,BirdOracle.sol,71.79
1658,BirdOracle.sol,71.79
1671,BirdOracle.sol,71.79
1685,BirdOracle.sol,71.79
1698,BirdOracle.sol,71.79
1710,BirdOracle.sol,71.79
1725,BirdOracle.sol,71.79
1736,BirdOracle.sol,71.79
1750,BirdOracle.sol,71.79
1767,BirdOracle.sol,71.79
1780,BirdOracle.sol,71.79
1793,BirdOracle.sol,71.79
1802,BirdOracle.sol,71.79
