TIME,SUBJECT,COVERAGE
0,MARVELCOIN.sol,0
10,MARVELCOIN.sol,81.82
21,MARVELCOIN.sol,81.82
29,MARVELCOIN.sol,81.82
38,MARVELCOIN.sol,90.91
48,MARVELCOIN.sol,90.91
58,MARVELCOIN.sol,90.91
67,MARVELCOIN.sol,90.91
77,MARVELCOIN.sol,90.91
87,MARVELCOIN.sol,90.91
97,MARVELCOIN.sol,90.91
106,MARVELCOIN.sol,90.91
112,MARVELCOIN.sol,90.91
122,MARVELCOIN.sol,90.91
131,MARVELCOIN.sol,90.91
141,MARVELCOIN.sol,90.91
153,MARVELCOIN.sol,90.91
159,MARVELCOIN.sol,90.91
172,MARVELCOIN.sol,90.91
183,MARVELCOIN.sol,90.91
192,MARVELCOIN.sol,90.91
197,MARVELCOIN.sol,90.91
207,MARVELCOIN.sol,90.91
218,MARVELCOIN.sol,90.91
229,MARVELCOIN.sol,90.91
240,MARVELCOIN.sol,90.91
251,MARVELCOIN.sol,90.91
261,MARVELCOIN.sol,90.91
271,MARVELCOIN.sol,90.91
281,MARVELCOIN.sol,90.91
292,MARVELCOIN.sol,90.91
304,MARVELCOIN.sol,90.91
315,MARVELCOIN.sol,90.91
327,MARVELCOIN.sol,90.91
338,MARVELCOIN.sol,90.91
348,MARVELCOIN.sol,90.91
358,MARVELCOIN.sol,90.91
369,MARVELCOIN.sol,90.91
380,MARVELCOIN.sol,90.91
391,MARVELCOIN.sol,90.91
398,MARVELCOIN.sol,90.91
407,MARVELCOIN.sol,90.91
417,MARVELCOIN.sol,90.91
428,MARVELCOIN.sol,90.91
440,MARVELCOIN.sol,90.91
449,MARVELCOIN.sol,90.91
461,MARVELCOIN.sol,90.91
472,MARVELCOIN.sol,90.91
483,MARVELCOIN.sol,90.91
495,MARVELCOIN.sol,90.91
506,MARVELCOIN.sol,90.91
517,MARVELCOIN.sol,90.91
528,MARVELCOIN.sol,90.91
539,MARVELCOIN.sol,90.91
545,MARVELCOIN.sol,90.91
550,MARVELCOIN.sol,90.91
555,MARVELCOIN.sol,90.91
562,MARVELCOIN.sol,90.91
569,MARVELCOIN.sol,90.91
576,MARVELCOIN.sol,90.91
581,MARVELCOIN.sol,90.91
591,MARVELCOIN.sol,90.91
603,MARVELCOIN.sol,90.91
616,MARVELCOIN.sol,90.91
627,MARVELCOIN.sol,90.91
638,MARVELCOIN.sol,90.91
648,MARVELCOIN.sol,90.91
660,MARVELCOIN.sol,90.91
671,MARVELCOIN.sol,90.91
681,MARVELCOIN.sol,90.91
695,MARVELCOIN.sol,90.91
705,MARVELCOIN.sol,90.91
