TIME,SUBJECT,COVERAGE
0,TimeMiner.sol,0
10,TimeMiner.sol,46.51
18,TimeMiner.sol,55.81
29,TimeMiner.sol,55.81
44,TimeMiner.sol,69.77
56,TimeMiner.sol,69.77
67,TimeMiner.sol,72.09
76,TimeMiner.sol,72.09
85,TimeMiner.sol,74.42
102,TimeMiner.sol,86.05
116,TimeMiner.sol,86.05
132,TimeMiner.sol,86.05
152,TimeMiner.sol,86.05
178,TimeMiner.sol,86.05
196,TimeMiner.sol,86.05
208,TimeMiner.sol,86.05
215,TimeMiner.sol,88.37
226,TimeMiner.sol,88.37
239,TimeMiner.sol,88.37
253,TimeMiner.sol,88.37
268,TimeMiner.sol,93.02
278,TimeMiner.sol,93.02
287,TimeMiner.sol,93.02
296,TimeMiner.sol,93.02
304,TimeMiner.sol,93.02
313,TimeMiner.sol,93.02
323,TimeMiner.sol,93.02
331,TimeMiner.sol,93.02
344,TimeMiner.sol,93.02
352,TimeMiner.sol,93.02
362,TimeMiner.sol,93.02
370,TimeMiner.sol,93.02
386,TimeMiner.sol,93.02
397,TimeMiner.sol,93.02
410,TimeMiner.sol,93.02
426,TimeMiner.sol,93.02
436,TimeMiner.sol,93.02
446,TimeMiner.sol,93.02
457,TimeMiner.sol,93.02
468,TimeMiner.sol,93.02
476,TimeMiner.sol,93.02
485,TimeMiner.sol,93.02
495,TimeMiner.sol,93.02
504,TimeMiner.sol,93.02
515,TimeMiner.sol,93.02
528,TimeMiner.sol,93.02
537,TimeMiner.sol,93.02
546,TimeMiner.sol,93.02
554,TimeMiner.sol,93.02
565,TimeMiner.sol,93.02
573,TimeMiner.sol,93.02
582,TimeMiner.sol,93.02
593,TimeMiner.sol,93.02
603,TimeMiner.sol,93.02
612,TimeMiner.sol,93.02
621,TimeMiner.sol,93.02
631,TimeMiner.sol,93.02
640,TimeMiner.sol,93.02
649,TimeMiner.sol,93.02
660,TimeMiner.sol,93.02
670,TimeMiner.sol,93.02
680,TimeMiner.sol,93.02
690,TimeMiner.sol,93.02
698,TimeMiner.sol,93.02
707,TimeMiner.sol,93.02
716,TimeMiner.sol,93.02
726,TimeMiner.sol,93.02
737,TimeMiner.sol,93.02
747,TimeMiner.sol,93.02
757,TimeMiner.sol,93.02
767,TimeMiner.sol,93.02
775,TimeMiner.sol,93.02
785,TimeMiner.sol,93.02
798,TimeMiner.sol,93.02
807,TimeMiner.sol,93.02
818,TimeMiner.sol,93.02
829,TimeMiner.sol,93.02
838,TimeMiner.sol,93.02
849,TimeMiner.sol,93.02
859,TimeMiner.sol,93.02
869,TimeMiner.sol,93.02
881,TimeMiner.sol,93.02
896,TimeMiner.sol,93.02
904,TimeMiner.sol,93.02
913,TimeMiner.sol,93.02
922,TimeMiner.sol,93.02
931,TimeMiner.sol,93.02
940,TimeMiner.sol,93.02
951,TimeMiner.sol,93.02
960,TimeMiner.sol,93.02
970,TimeMiner.sol,93.02
980,TimeMiner.sol,93.02
990,TimeMiner.sol,93.02
1002,TimeMiner.sol,93.02
1015,TimeMiner.sol,93.02
1026,TimeMiner.sol,93.02
1036,TimeMiner.sol,93.02
1044,TimeMiner.sol,93.02
1055,TimeMiner.sol,93.02
1065,TimeMiner.sol,93.02
1081,TimeMiner.sol,93.02
1094,TimeMiner.sol,93.02
1111,TimeMiner.sol,93.02
1126,TimeMiner.sol,93.02
1136,TimeMiner.sol,93.02
1151,TimeMiner.sol,93.02
1165,TimeMiner.sol,93.02
1179,TimeMiner.sol,93.02
1190,TimeMiner.sol,93.02
1199,TimeMiner.sol,93.02
1215,TimeMiner.sol,93.02
1228,TimeMiner.sol,93.02
1235,TimeMiner.sol,93.02
1246,TimeMiner.sol,93.02
1258,TimeMiner.sol,93.02
1269,TimeMiner.sol,93.02
1280,TimeMiner.sol,93.02
1289,TimeMiner.sol,93.02
1301,TimeMiner.sol,93.02
1308,TimeMiner.sol,93.02
1319,TimeMiner.sol,93.02
1331,TimeMiner.sol,93.02
1340,TimeMiner.sol,93.02
1351,TimeMiner.sol,93.02
1363,TimeMiner.sol,93.02
1372,TimeMiner.sol,93.02
1386,TimeMiner.sol,93.02
1398,TimeMiner.sol,93.02
1406,TimeMiner.sol,93.02
1414,TimeMiner.sol,93.02
1424,TimeMiner.sol,93.02
1433,TimeMiner.sol,93.02
1446,TimeMiner.sol,93.02
1462,TimeMiner.sol,93.02
1478,TimeMiner.sol,93.02
1486,TimeMiner.sol,93.02
1495,TimeMiner.sol,93.02
1504,TimeMiner.sol,93.02
1518,TimeMiner.sol,93.02
1531,TimeMiner.sol,93.02
1540,TimeMiner.sol,93.02
1549,TimeMiner.sol,93.02
1557,TimeMiner.sol,93.02
1569,TimeMiner.sol,93.02
1578,TimeMiner.sol,93.02
1587,TimeMiner.sol,93.02
1598,TimeMiner.sol,93.02
1607,TimeMiner.sol,93.02
1616,TimeMiner.sol,93.02
1625,TimeMiner.sol,93.02
1634,TimeMiner.sol,93.02
1652,TimeMiner.sol,93.02
1668,TimeMiner.sol,93.02
1681,TimeMiner.sol,93.02
1693,TimeMiner.sol,93.02
1708,TimeMiner.sol,93.02
1722,TimeMiner.sol,93.02
1735,TimeMiner.sol,93.02
1750,TimeMiner.sol,93.02
1764,TimeMiner.sol,93.02
1783,TimeMiner.sol,93.02
1799,TimeMiner.sol,93.02
1800,TimeMiner.sol,93.02
