TIME,SUBJECT,COVERAGE
0,BlueICE.sol,0
24,BlueICE.sol,49.53
48,BlueICE.sol,50.47
72,BlueICE.sol,50.47
96,BlueICE.sol,50.47
120,BlueICE.sol,50.47
143,BlueICE.sol,50.47
167,BlueICE.sol,50.47
191,BlueICE.sol,50.47
216,BlueICE.sol,51.4
239,BlueICE.sol,51.4
262,BlueICE.sol,51.4
287,BlueICE.sol,51.4
310,BlueICE.sol,51.4
334,BlueICE.sol,51.4
356,BlueICE.sol,51.4
380,BlueICE.sol,51.4
405,BlueICE.sol,51.4
428,BlueICE.sol,51.4
452,BlueICE.sol,51.4
477,BlueICE.sol,62.62
500,BlueICE.sol,62.62
524,BlueICE.sol,62.62
548,BlueICE.sol,62.62
572,BlueICE.sol,62.62
595,BlueICE.sol,62.62
619,BlueICE.sol,62.62
643,BlueICE.sol,62.62
667,BlueICE.sol,62.62
690,BlueICE.sol,62.62
715,BlueICE.sol,62.62
738,BlueICE.sol,62.62
762,BlueICE.sol,62.62
788,BlueICE.sol,62.62
813,BlueICE.sol,62.62
836,BlueICE.sol,62.62
860,BlueICE.sol,62.62
884,BlueICE.sol,62.62
908,BlueICE.sol,62.62
932,BlueICE.sol,62.62
957,BlueICE.sol,62.62
981,BlueICE.sol,62.62
1006,BlueICE.sol,62.62
1029,BlueICE.sol,62.62
1053,BlueICE.sol,62.62
1078,BlueICE.sol,62.62
1102,BlueICE.sol,62.62
1127,BlueICE.sol,62.62
1151,BlueICE.sol,62.62
1175,BlueICE.sol,62.62
1199,BlueICE.sol,62.62
1223,BlueICE.sol,62.62
1247,BlueICE.sol,62.62
1271,BlueICE.sol,62.62
1297,BlueICE.sol,62.62
1322,BlueICE.sol,62.62
1349,BlueICE.sol,62.62
1383,BlueICE.sol,62.62
1411,BlueICE.sol,62.62
1439,BlueICE.sol,62.62
1461,BlueICE.sol,62.62
1484,BlueICE.sol,62.62
1507,BlueICE.sol,62.62
1530,BlueICE.sol,62.62
1553,BlueICE.sol,62.62
1577,BlueICE.sol,62.62
1601,BlueICE.sol,62.62
1626,BlueICE.sol,62.62
1648,BlueICE.sol,62.62
1672,BlueICE.sol,62.62
1696,BlueICE.sol,62.62
1721,BlueICE.sol,62.62
1745,BlueICE.sol,62.62
1770,BlueICE.sol,62.62
1795,BlueICE.sol,62.62
1802,BlueICE.sol,62.62
