TIME,SUBJECT,COVERAGE
0,Vat.sol,0
12,Vat.sol,8.11
21,Vat.sol,10.81
30,Vat.sol,18.02
40,Vat.sol,18.92
48,Vat.sol,18.92
56,Vat.sol,23.42
65,Vat.sol,23.42
74,Vat.sol,28.83
81,Vat.sol,28.83
90,Vat.sol,28.83
100,Vat.sol,31.53
109,Vat.sol,31.53
117,Vat.sol,31.53
125,Vat.sol,31.53
134,Vat.sol,31.53
142,Vat.sol,31.53
150,Vat.sol,31.53
160,Vat.sol,31.53
168,Vat.sol,31.53
176,Vat.sol,31.53
185,Vat.sol,31.53
195,Vat.sol,31.53
203,Vat.sol,32.43
212,Vat.sol,32.43
220,Vat.sol,32.43
229,Vat.sol,32.43
237,Vat.sol,32.43
246,Vat.sol,32.43
255,Vat.sol,32.43
264,Vat.sol,32.43
271,Vat.sol,32.43
281,Vat.sol,39.64
289,Vat.sol,39.64
296,Vat.sol,39.64
304,Vat.sol,39.64
311,Vat.sol,48.65
319,Vat.sol,48.65
326,Vat.sol,48.65
334,Vat.sol,48.65
341,Vat.sol,48.65
349,Vat.sol,51.35
356,Vat.sol,51.35
364,Vat.sol,51.35
371,Vat.sol,58.56
379,Vat.sol,58.56
386,Vat.sol,58.56
394,Vat.sol,58.56
402,Vat.sol,58.56
410,Vat.sol,58.56
417,Vat.sol,58.56
425,Vat.sol,58.56
433,Vat.sol,58.56
440,Vat.sol,58.56
448,Vat.sol,58.56
456,Vat.sol,61.26
463,Vat.sol,61.26
471,Vat.sol,61.26
479,Vat.sol,61.26
487,Vat.sol,61.26
494,Vat.sol,61.26
502,Vat.sol,61.26
510,Vat.sol,61.26
517,Vat.sol,61.26
525,Vat.sol,61.26
533,Vat.sol,61.26
540,Vat.sol,61.26
548,Vat.sol,61.26
557,Vat.sol,61.26
566,Vat.sol,61.26
575,Vat.sol,61.26
584,Vat.sol,61.26
594,Vat.sol,61.26
603,Vat.sol,61.26
613,Vat.sol,61.26
622,Vat.sol,61.26
631,Vat.sol,61.26
641,Vat.sol,61.26
651,Vat.sol,61.26
660,Vat.sol,61.26
668,Vat.sol,61.26
679,Vat.sol,61.26
688,Vat.sol,61.26
698,Vat.sol,63.96
709,Vat.sol,63.96
719,Vat.sol,63.96
729,Vat.sol,63.96
738,Vat.sol,63.96
747,Vat.sol,63.96
761,Vat.sol,63.96
773,Vat.sol,68.47
782,Vat.sol,68.47
790,Vat.sol,68.47
798,Vat.sol,68.47
805,Vat.sol,68.47
815,Vat.sol,68.47
825,Vat.sol,68.47
837,Vat.sol,68.47
845,Vat.sol,68.47
854,Vat.sol,68.47
865,Vat.sol,68.47
874,Vat.sol,68.47
882,Vat.sol,68.47
891,Vat.sol,68.47
900,Vat.sol,68.47
909,Vat.sol,68.47
919,Vat.sol,68.47
927,Vat.sol,68.47
936,Vat.sol,68.47
947,Vat.sol,68.47
955,Vat.sol,68.47
964,Vat.sol,68.47
975,Vat.sol,68.47
986,Vat.sol,68.47
995,Vat.sol,71.17
1003,Vat.sol,71.17
1012,Vat.sol,71.17
1021,Vat.sol,71.17
1030,Vat.sol,71.17
1040,Vat.sol,71.17
1048,Vat.sol,71.17
1056,Vat.sol,71.17
1067,Vat.sol,71.17
1080,Vat.sol,71.17
1088,Vat.sol,71.17
1097,Vat.sol,71.17
1106,Vat.sol,71.17
1115,Vat.sol,71.17
1127,Vat.sol,71.17
1135,Vat.sol,71.17
1143,Vat.sol,71.17
1152,Vat.sol,71.17
1159,Vat.sol,71.17
1170,Vat.sol,71.17
1178,Vat.sol,71.17
1186,Vat.sol,71.17
1194,Vat.sol,71.17
1204,Vat.sol,71.17
1213,Vat.sol,71.17
1222,Vat.sol,71.17
1230,Vat.sol,71.17
1239,Vat.sol,71.17
1248,Vat.sol,71.17
1258,Vat.sol,71.17
1268,Vat.sol,71.17
1276,Vat.sol,71.17
1284,Vat.sol,71.17
1293,Vat.sol,71.17
1302,Vat.sol,71.17
1311,Vat.sol,71.17
1323,Vat.sol,71.17
1334,Vat.sol,71.17
1343,Vat.sol,71.17
1354,Vat.sol,71.17
1364,Vat.sol,79.28
1375,Vat.sol,79.28
1383,Vat.sol,79.28
1394,Vat.sol,79.28
1404,Vat.sol,79.28
1412,Vat.sol,79.28
1420,Vat.sol,79.28
1431,Vat.sol,79.28
1441,Vat.sol,79.28
1448,Vat.sol,79.28
1455,Vat.sol,79.28
1463,Vat.sol,79.28
1471,Vat.sol,79.28
1479,Vat.sol,79.28
1489,Vat.sol,79.28
1497,Vat.sol,79.28
1508,Vat.sol,79.28
1517,Vat.sol,79.28
1529,Vat.sol,79.28
1537,Vat.sol,79.28
1545,Vat.sol,79.28
1552,Vat.sol,79.28
1560,Vat.sol,79.28
1568,Vat.sol,79.28
1576,Vat.sol,79.28
1585,Vat.sol,79.28
1596,Vat.sol,79.28
1604,Vat.sol,79.28
1614,Vat.sol,79.28
1627,Vat.sol,79.28
1638,Vat.sol,79.28
1647,Vat.sol,79.28
1658,Vat.sol,79.28
1671,Vat.sol,79.28
1684,Vat.sol,79.28
1692,Vat.sol,79.28
1702,Vat.sol,79.28
1711,Vat.sol,79.28
1719,Vat.sol,79.28
1728,Vat.sol,79.28
1738,Vat.sol,79.28
1748,Vat.sol,79.28
1757,Vat.sol,79.28
1767,Vat.sol,79.28
1775,Vat.sol,79.28
1784,Vat.sol,79.28
1792,Vat.sol,79.28
1800,Vat.sol,79.28
