TIME,SUBJECT,COVERAGE
0,Cryptoz.sol,0
43,Cryptoz.sol,23.53
90,Cryptoz.sol,29.41
139,Cryptoz.sol,37.25
187,Cryptoz.sol,41.18
235,Cryptoz.sol,45.1
285,Cryptoz.sol,47.06
333,Cryptoz.sol,49.02
383,Cryptoz.sol,49.02
431,Cryptoz.sol,49.02
480,Cryptoz.sol,49.02
529,Cryptoz.sol,49.02
578,Cryptoz.sol,49.02
626,Cryptoz.sol,49.02
675,Cryptoz.sol,49.02
723,Cryptoz.sol,49.02
772,Cryptoz.sol,49.02
821,Cryptoz.sol,49.02
870,Cryptoz.sol,49.02
918,Cryptoz.sol,50.98
968,Cryptoz.sol,50.98
1016,Cryptoz.sol,50.98
1065,Cryptoz.sol,50.98
1115,Cryptoz.sol,50.98
1164,Cryptoz.sol,50.98
1212,Cryptoz.sol,50.98
1261,Cryptoz.sol,50.98
1310,Cryptoz.sol,50.98
1359,Cryptoz.sol,50.98
1407,Cryptoz.sol,50.98
1455,Cryptoz.sol,50.98
1502,Cryptoz.sol,50.98
1550,Cryptoz.sol,50.98
1596,Cryptoz.sol,50.98
1645,Cryptoz.sol,50.98
1692,Cryptoz.sol,50.98
1741,Cryptoz.sol,50.98
1788,Cryptoz.sol,50.98
1801,Cryptoz.sol,50.98
