TIME,SUBJECT,COVERAGE
0,LpStaking.sol,0
24,LpStaking.sol,13.25
52,LpStaking.sol,15.66
81,LpStaking.sol,19.28
111,LpStaking.sol,24.1
141,LpStaking.sol,24.1
169,LpStaking.sol,24.1
198,LpStaking.sol,24.1
228,LpStaking.sol,24.1
256,LpStaking.sol,24.1
288,LpStaking.sol,24.1
318,LpStaking.sol,24.1
346,LpStaking.sol,24.1
375,LpStaking.sol,24.1
404,LpStaking.sol,24.1
432,LpStaking.sol,24.1
461,LpStaking.sol,24.1
490,LpStaking.sol,24.1
518,LpStaking.sol,24.1
548,LpStaking.sol,24.1
578,LpStaking.sol,24.1
607,LpStaking.sol,24.1
636,LpStaking.sol,24.1
664,LpStaking.sol,24.1
694,LpStaking.sol,24.1
723,LpStaking.sol,24.1
752,LpStaking.sol,24.1
781,LpStaking.sol,24.1
810,LpStaking.sol,24.1
838,LpStaking.sol,24.1
866,LpStaking.sol,24.1
894,LpStaking.sol,24.1
923,LpStaking.sol,24.1
951,LpStaking.sol,24.1
981,LpStaking.sol,24.1
1011,LpStaking.sol,24.1
1040,LpStaking.sol,24.1
1068,LpStaking.sol,24.1
1097,LpStaking.sol,24.1
1125,LpStaking.sol,24.1
1154,LpStaking.sol,24.1
1183,LpStaking.sol,24.1
1213,LpStaking.sol,24.1
1241,LpStaking.sol,24.1
1269,LpStaking.sol,24.1
1300,LpStaking.sol,24.1
1329,LpStaking.sol,24.1
1358,LpStaking.sol,24.1
1388,LpStaking.sol,24.1
1416,LpStaking.sol,24.1
1445,LpStaking.sol,24.1
1474,LpStaking.sol,24.1
1504,LpStaking.sol,24.1
1534,LpStaking.sol,24.1
1563,LpStaking.sol,24.1
1592,LpStaking.sol,24.1
1621,LpStaking.sol,24.1
1650,LpStaking.sol,24.1
1678,LpStaking.sol,24.1
1710,LpStaking.sol,24.1
1741,LpStaking.sol,24.1
1772,LpStaking.sol,24.1
1802,LpStaking.sol,24.1
