TIME,SUBJECT,COVERAGE
0,BTCParamV2.sol,0
23,BTCParamV2.sol,0
48,BTCParamV2.sol,3.85
55,BTCParamV2.sol,3.85
61,BTCParamV2.sol,3.85
67,BTCParamV2.sol,7.69
74,BTCParamV2.sol,7.69
80,BTCParamV2.sol,7.69
86,BTCParamV2.sol,7.69
93,BTCParamV2.sol,7.69
99,BTCParamV2.sol,7.69
105,BTCParamV2.sol,11.54
111,BTCParamV2.sol,11.54
117,BTCParamV2.sol,11.54
124,BTCParamV2.sol,11.54
131,BTCParamV2.sol,11.54
137,BTCParamV2.sol,11.54
144,BTCParamV2.sol,11.54
150,BTCParamV2.sol,11.54
156,BTCParamV2.sol,11.54
162,BTCParamV2.sol,11.54
169,BTCParamV2.sol,11.54
175,BTCParamV2.sol,11.54
181,BTCParamV2.sol,11.54
188,BTCParamV2.sol,11.54
194,BTCParamV2.sol,11.54
200,BTCParamV2.sol,11.54
207,BTCParamV2.sol,11.54
214,BTCParamV2.sol,11.54
220,BTCParamV2.sol,11.54
226,BTCParamV2.sol,11.54
233,BTCParamV2.sol,11.54
239,BTCParamV2.sol,11.54
245,BTCParamV2.sol,11.54
252,BTCParamV2.sol,11.54
258,BTCParamV2.sol,11.54
264,BTCParamV2.sol,11.54
271,BTCParamV2.sol,11.54
277,BTCParamV2.sol,11.54
283,BTCParamV2.sol,11.54
289,BTCParamV2.sol,11.54
295,BTCParamV2.sol,11.54
302,BTCParamV2.sol,11.54
308,BTCParamV2.sol,11.54
314,BTCParamV2.sol,11.54
320,BTCParamV2.sol,11.54
327,BTCParamV2.sol,11.54
335,BTCParamV2.sol,11.54
341,BTCParamV2.sol,11.54
347,BTCParamV2.sol,11.54
354,BTCParamV2.sol,11.54
361,BTCParamV2.sol,11.54
367,BTCParamV2.sol,11.54
374,BTCParamV2.sol,11.54
380,BTCParamV2.sol,11.54
386,BTCParamV2.sol,11.54
392,BTCParamV2.sol,11.54
398,BTCParamV2.sol,11.54
404,BTCParamV2.sol,11.54
411,BTCParamV2.sol,11.54
418,BTCParamV2.sol,11.54
424,BTCParamV2.sol,11.54
430,BTCParamV2.sol,11.54
437,BTCParamV2.sol,11.54
444,BTCParamV2.sol,11.54
450,BTCParamV2.sol,11.54
456,BTCParamV2.sol,11.54
463,BTCParamV2.sol,11.54
470,BTCParamV2.sol,11.54
476,BTCParamV2.sol,11.54
483,BTCParamV2.sol,11.54
489,BTCParamV2.sol,11.54
495,BTCParamV2.sol,11.54
502,BTCParamV2.sol,11.54
508,BTCParamV2.sol,11.54
514,BTCParamV2.sol,11.54
521,BTCParamV2.sol,11.54
527,BTCParamV2.sol,11.54
533,BTCParamV2.sol,11.54
539,BTCParamV2.sol,11.54
546,BTCParamV2.sol,11.54
552,BTCParamV2.sol,11.54
559,BTCParamV2.sol,11.54
565,BTCParamV2.sol,11.54
573,BTCParamV2.sol,11.54
579,BTCParamV2.sol,11.54
585,BTCParamV2.sol,11.54
592,BTCParamV2.sol,11.54
599,BTCParamV2.sol,11.54
605,BTCParamV2.sol,11.54
612,BTCParamV2.sol,11.54
618,BTCParamV2.sol,11.54
624,BTCParamV2.sol,11.54
631,BTCParamV2.sol,11.54
637,BTCParamV2.sol,11.54
644,BTCParamV2.sol,11.54
650,BTCParamV2.sol,11.54
657,BTCParamV2.sol,11.54
663,BTCParamV2.sol,11.54
670,BTCParamV2.sol,11.54
677,BTCParamV2.sol,11.54
684,BTCParamV2.sol,11.54
690,BTCParamV2.sol,11.54
697,BTCParamV2.sol,11.54
703,BTCParamV2.sol,11.54
710,BTCParamV2.sol,11.54
716,BTCParamV2.sol,11.54
723,BTCParamV2.sol,11.54
730,BTCParamV2.sol,11.54
736,BTCParamV2.sol,11.54
743,BTCParamV2.sol,11.54
751,BTCParamV2.sol,11.54
757,BTCParamV2.sol,11.54
763,BTCParamV2.sol,11.54
770,BTCParamV2.sol,11.54
777,BTCParamV2.sol,11.54
783,BTCParamV2.sol,11.54
789,BTCParamV2.sol,11.54
797,BTCParamV2.sol,11.54
803,BTCParamV2.sol,11.54
809,BTCParamV2.sol,11.54
815,BTCParamV2.sol,11.54
823,BTCParamV2.sol,11.54
830,BTCParamV2.sol,11.54
837,BTCParamV2.sol,11.54
844,BTCParamV2.sol,11.54
850,BTCParamV2.sol,11.54
856,BTCParamV2.sol,11.54
863,BTCParamV2.sol,11.54
870,BTCParamV2.sol,11.54
875,BTCParamV2.sol,11.54
881,BTCParamV2.sol,11.54
888,BTCParamV2.sol,11.54
893,BTCParamV2.sol,11.54
899,BTCParamV2.sol,11.54
905,BTCParamV2.sol,11.54
912,BTCParamV2.sol,11.54
918,BTCParamV2.sol,11.54
924,BTCParamV2.sol,11.54
932,BTCParamV2.sol,11.54
939,BTCParamV2.sol,11.54
945,BTCParamV2.sol,11.54
952,BTCParamV2.sol,11.54
958,BTCParamV2.sol,11.54
965,BTCParamV2.sol,11.54
971,BTCParamV2.sol,11.54
979,BTCParamV2.sol,11.54
985,BTCParamV2.sol,11.54
992,BTCParamV2.sol,11.54
997,BTCParamV2.sol,11.54
1004,BTCParamV2.sol,11.54
1011,BTCParamV2.sol,11.54
1017,BTCParamV2.sol,11.54
1024,BTCParamV2.sol,11.54
1030,BTCParamV2.sol,11.54
1037,BTCParamV2.sol,11.54
1044,BTCParamV2.sol,11.54
1051,BTCParamV2.sol,11.54
1057,BTCParamV2.sol,11.54
1064,BTCParamV2.sol,11.54
1070,BTCParamV2.sol,11.54
1076,BTCParamV2.sol,11.54
1083,BTCParamV2.sol,11.54
1089,BTCParamV2.sol,11.54
1095,BTCParamV2.sol,11.54
1101,BTCParamV2.sol,11.54
1108,BTCParamV2.sol,11.54
1115,BTCParamV2.sol,11.54
1121,BTCParamV2.sol,11.54
1128,BTCParamV2.sol,11.54
1135,BTCParamV2.sol,11.54
1141,BTCParamV2.sol,11.54
1149,BTCParamV2.sol,11.54
1155,BTCParamV2.sol,11.54
1161,BTCParamV2.sol,11.54
1169,BTCParamV2.sol,11.54
1175,BTCParamV2.sol,11.54
1182,BTCParamV2.sol,11.54
1189,BTCParamV2.sol,11.54
1196,BTCParamV2.sol,11.54
1202,BTCParamV2.sol,11.54
1209,BTCParamV2.sol,11.54
1216,BTCParamV2.sol,11.54
1224,BTCParamV2.sol,11.54
1230,BTCParamV2.sol,11.54
1236,BTCParamV2.sol,11.54
1244,BTCParamV2.sol,11.54
1250,BTCParamV2.sol,11.54
1257,BTCParamV2.sol,11.54
1263,BTCParamV2.sol,11.54
1270,BTCParamV2.sol,11.54
1276,BTCParamV2.sol,11.54
1283,BTCParamV2.sol,11.54
1290,BTCParamV2.sol,11.54
1297,BTCParamV2.sol,11.54
1304,BTCParamV2.sol,11.54
