TIME,SUBJECT,COVERAGE
0,POWToken.sol,0
38,POWToken.sol,15.38
79,POWToken.sol,17.44
122,POWToken.sol,17.44
167,POWToken.sol,21.03
211,POWToken.sol,21.03
254,POWToken.sol,21.03
297,POWToken.sol,24.1
340,POWToken.sol,24.62
383,POWToken.sol,24.62
426,POWToken.sol,24.62
470,POWToken.sol,24.62
513,POWToken.sol,24.62
557,POWToken.sol,27.69
601,POWToken.sol,27.69
644,POWToken.sol,27.69
688,POWToken.sol,28.21
734,POWToken.sol,28.21
778,POWToken.sol,28.21
822,POWToken.sol,28.21
866,POWToken.sol,28.21
910,POWToken.sol,28.21
954,POWToken.sol,28.21
998,POWToken.sol,28.21
1043,POWToken.sol,28.21
1088,POWToken.sol,28.21
1132,POWToken.sol,28.21
1177,POWToken.sol,28.21
1220,POWToken.sol,28.21
1264,POWToken.sol,28.21
1309,POWToken.sol,28.21
1351,POWToken.sol,30.26
1396,POWToken.sol,30.77
1439,POWToken.sol,30.77
1482,POWToken.sol,30.77
1525,POWToken.sol,30.77
1568,POWToken.sol,30.77
1610,POWToken.sol,30.77
1654,POWToken.sol,30.77
1699,POWToken.sol,30.77
1741,POWToken.sol,30.77
1784,POWToken.sol,30.77
1803,POWToken.sol,30.77
