TIME,SUBJECT,COVERAGE
0,EdenCoin.sol,0
21,EdenCoin.sol,87.5
36,EdenCoin.sol,87.5
55,EdenCoin.sol,87.5
71,EdenCoin.sol,87.5
93,EdenCoin.sol,87.5
113,EdenCoin.sol,87.5
125,EdenCoin.sol,87.5
133,EdenCoin.sol,87.5
148,EdenCoin.sol,87.5
164,EdenCoin.sol,87.5
191,EdenCoin.sol,87.5
222,EdenCoin.sol,87.5
237,EdenCoin.sol,87.5
247,EdenCoin.sol,87.5
253,EdenCoin.sol,87.5
262,EdenCoin.sol,87.5
273,EdenCoin.sol,87.5
281,EdenCoin.sol,87.5
291,EdenCoin.sol,87.5
300,EdenCoin.sol,87.5
308,EdenCoin.sol,87.5
314,EdenCoin.sol,87.5
322,EdenCoin.sol,87.5
334,EdenCoin.sol,87.5
343,EdenCoin.sol,87.5
349,EdenCoin.sol,87.5
355,EdenCoin.sol,87.5
359,EdenCoin.sol,87.5
364,EdenCoin.sol,87.5
368,EdenCoin.sol,87.5
374,EdenCoin.sol,87.5
379,EdenCoin.sol,87.5
392,EdenCoin.sol,87.5
397,EdenCoin.sol,87.5
406,EdenCoin.sol,91.67
414,EdenCoin.sol,91.67
422,EdenCoin.sol,91.67
430,EdenCoin.sol,91.67
438,EdenCoin.sol,91.67
445,EdenCoin.sol,91.67
453,EdenCoin.sol,91.67
461,EdenCoin.sol,91.67
470,EdenCoin.sol,91.67
478,EdenCoin.sol,91.67
489,EdenCoin.sol,91.67
496,EdenCoin.sol,91.67
505,EdenCoin.sol,91.67
516,EdenCoin.sol,91.67
528,EdenCoin.sol,91.67
538,EdenCoin.sol,91.67
546,EdenCoin.sol,91.67
555,EdenCoin.sol,91.67
563,EdenCoin.sol,91.67
570,EdenCoin.sol,91.67
579,EdenCoin.sol,91.67
590,EdenCoin.sol,91.67
598,EdenCoin.sol,91.67
607,EdenCoin.sol,91.67
613,EdenCoin.sol,91.67
620,EdenCoin.sol,91.67
628,EdenCoin.sol,91.67
636,EdenCoin.sol,91.67
645,EdenCoin.sol,91.67
656,EdenCoin.sol,91.67
665,EdenCoin.sol,91.67
671,EdenCoin.sol,91.67
679,EdenCoin.sol,91.67
692,EdenCoin.sol,91.67
703,EdenCoin.sol,91.67
714,EdenCoin.sol,91.67
720,EdenCoin.sol,91.67
728,EdenCoin.sol,91.67
737,EdenCoin.sol,91.67
747,EdenCoin.sol,91.67
754,EdenCoin.sol,91.67
762,EdenCoin.sol,91.67
769,EdenCoin.sol,91.67
777,EdenCoin.sol,91.67
784,EdenCoin.sol,91.67
793,EdenCoin.sol,91.67
800,EdenCoin.sol,91.67
807,EdenCoin.sol,91.67
814,EdenCoin.sol,91.67
821,EdenCoin.sol,91.67
828,EdenCoin.sol,91.67
839,EdenCoin.sol,91.67
845,EdenCoin.sol,91.67
853,EdenCoin.sol,91.67
861,EdenCoin.sol,91.67
869,EdenCoin.sol,91.67
875,EdenCoin.sol,91.67
882,EdenCoin.sol,91.67
890,EdenCoin.sol,91.67
898,EdenCoin.sol,91.67
907,EdenCoin.sol,91.67
914,EdenCoin.sol,91.67
921,EdenCoin.sol,91.67
930,EdenCoin.sol,91.67
940,EdenCoin.sol,91.67
947,EdenCoin.sol,91.67
955,EdenCoin.sol,91.67
962,EdenCoin.sol,91.67
969,EdenCoin.sol,91.67
981,EdenCoin.sol,91.67
987,EdenCoin.sol,91.67
994,EdenCoin.sol,91.67
1002,EdenCoin.sol,91.67
1009,EdenCoin.sol,91.67
1016,EdenCoin.sol,91.67
1023,EdenCoin.sol,91.67
1031,EdenCoin.sol,91.67
1037,EdenCoin.sol,91.67
1045,EdenCoin.sol,91.67
1054,EdenCoin.sol,91.67
1061,EdenCoin.sol,91.67
1069,EdenCoin.sol,91.67
1077,EdenCoin.sol,91.67
1084,EdenCoin.sol,91.67
1092,EdenCoin.sol,91.67
1098,EdenCoin.sol,91.67
1105,EdenCoin.sol,91.67
1112,EdenCoin.sol,91.67
1121,EdenCoin.sol,91.67
1127,EdenCoin.sol,91.67
1135,EdenCoin.sol,91.67
1143,EdenCoin.sol,91.67
1150,EdenCoin.sol,91.67
1157,EdenCoin.sol,91.67
1166,EdenCoin.sol,91.67
1172,EdenCoin.sol,91.67
1179,EdenCoin.sol,91.67
1188,EdenCoin.sol,91.67
1195,EdenCoin.sol,91.67
1204,EdenCoin.sol,91.67
1211,EdenCoin.sol,91.67
1221,EdenCoin.sol,91.67
1230,EdenCoin.sol,91.67
1237,EdenCoin.sol,91.67
1242,EdenCoin.sol,91.67
1250,EdenCoin.sol,91.67
1259,EdenCoin.sol,91.67
1266,EdenCoin.sol,91.67
1273,EdenCoin.sol,91.67
1280,EdenCoin.sol,91.67
1292,EdenCoin.sol,91.67
1298,EdenCoin.sol,91.67
1306,EdenCoin.sol,91.67
1313,EdenCoin.sol,91.67
1320,EdenCoin.sol,91.67
1329,EdenCoin.sol,91.67
1335,EdenCoin.sol,91.67
1344,EdenCoin.sol,91.67
1352,EdenCoin.sol,91.67
1360,EdenCoin.sol,91.67
1368,EdenCoin.sol,91.67
1377,EdenCoin.sol,91.67
1384,EdenCoin.sol,91.67
1392,EdenCoin.sol,91.67
1400,EdenCoin.sol,91.67
1407,EdenCoin.sol,91.67
1415,EdenCoin.sol,91.67
1424,EdenCoin.sol,91.67
1434,EdenCoin.sol,91.67
1444,EdenCoin.sol,91.67
1451,EdenCoin.sol,91.67
1458,EdenCoin.sol,91.67
1465,EdenCoin.sol,91.67
1473,EdenCoin.sol,91.67
1481,EdenCoin.sol,91.67
1489,EdenCoin.sol,91.67
1496,EdenCoin.sol,91.67
1504,EdenCoin.sol,91.67
1515,EdenCoin.sol,91.67
1520,EdenCoin.sol,91.67
1526,EdenCoin.sol,91.67
1533,EdenCoin.sol,91.67
1541,EdenCoin.sol,91.67
1547,EdenCoin.sol,91.67
1555,EdenCoin.sol,91.67
1562,EdenCoin.sol,91.67
1570,EdenCoin.sol,91.67
1582,EdenCoin.sol,91.67
1592,EdenCoin.sol,91.67
1599,EdenCoin.sol,100
