TIME,SUBJECT,COVERAGE
0,MoshiachCoinStaking.sol,0
11,MoshiachCoinStaking.sol,32
24,MoshiachCoinStaking.sol,37.33
38,MoshiachCoinStaking.sol,37.33
49,MoshiachCoinStaking.sol,37.33
64,MoshiachCoinStaking.sol,37.33
75,MoshiachCoinStaking.sol,37.33
87,MoshiachCoinStaking.sol,37.33
99,MoshiachCoinStaking.sol,37.33
112,MoshiachCoinStaking.sol,37.33
124,MoshiachCoinStaking.sol,37.33
136,MoshiachCoinStaking.sol,37.33
147,MoshiachCoinStaking.sol,37.33
159,MoshiachCoinStaking.sol,37.33
170,MoshiachCoinStaking.sol,37.33
182,MoshiachCoinStaking.sol,37.33
194,MoshiachCoinStaking.sol,37.33
205,MoshiachCoinStaking.sol,37.33
217,MoshiachCoinStaking.sol,37.33
228,MoshiachCoinStaking.sol,37.33
240,MoshiachCoinStaking.sol,37.33
252,MoshiachCoinStaking.sol,37.33
263,MoshiachCoinStaking.sol,37.33
273,MoshiachCoinStaking.sol,37.33
285,MoshiachCoinStaking.sol,37.33
298,MoshiachCoinStaking.sol,37.33
309,MoshiachCoinStaking.sol,37.33
320,MoshiachCoinStaking.sol,37.33
333,MoshiachCoinStaking.sol,37.33
345,MoshiachCoinStaking.sol,37.33
356,MoshiachCoinStaking.sol,37.33
367,MoshiachCoinStaking.sol,37.33
381,MoshiachCoinStaking.sol,37.33
393,MoshiachCoinStaking.sol,37.33
405,MoshiachCoinStaking.sol,37.33
416,MoshiachCoinStaking.sol,37.33
429,MoshiachCoinStaking.sol,37.33
440,MoshiachCoinStaking.sol,37.33
451,MoshiachCoinStaking.sol,37.33
462,MoshiachCoinStaking.sol,37.33
475,MoshiachCoinStaking.sol,37.33
486,MoshiachCoinStaking.sol,37.33
500,MoshiachCoinStaking.sol,37.33
511,MoshiachCoinStaking.sol,37.33
522,MoshiachCoinStaking.sol,37.33
532,MoshiachCoinStaking.sol,37.33
544,MoshiachCoinStaking.sol,37.33
556,MoshiachCoinStaking.sol,37.33
570,MoshiachCoinStaking.sol,37.33
584,MoshiachCoinStaking.sol,37.33
596,MoshiachCoinStaking.sol,37.33
608,MoshiachCoinStaking.sol,37.33
621,MoshiachCoinStaking.sol,37.33
633,MoshiachCoinStaking.sol,37.33
648,MoshiachCoinStaking.sol,37.33
659,MoshiachCoinStaking.sol,37.33
672,MoshiachCoinStaking.sol,37.33
684,MoshiachCoinStaking.sol,37.33
698,MoshiachCoinStaking.sol,37.33
709,MoshiachCoinStaking.sol,37.33
