TIME,SUBJECT,COVERAGE
0,ANRXToken.sol,0
9,ANRXToken.sol,73.91
19,ANRXToken.sol,73.91
28,ANRXToken.sol,73.91
37,ANRXToken.sol,73.91
46,ANRXToken.sol,73.91
57,ANRXToken.sol,73.91
67,ANRXToken.sol,73.91
78,ANRXToken.sol,78.26
89,ANRXToken.sol,78.26
101,ANRXToken.sol,78.26
112,ANRXToken.sol,78.26
122,ANRXToken.sol,78.26
132,ANRXToken.sol,78.26
142,ANRXToken.sol,78.26
151,ANRXToken.sol,78.26
159,ANRXToken.sol,78.26
168,ANRXToken.sol,78.26
178,ANRXToken.sol,78.26
187,ANRXToken.sol,78.26
196,ANRXToken.sol,78.26
205,ANRXToken.sol,78.26
214,ANRXToken.sol,78.26
223,ANRXToken.sol,78.26
233,ANRXToken.sol,78.26
242,ANRXToken.sol,78.26
251,ANRXToken.sol,78.26
260,ANRXToken.sol,78.26
269,ANRXToken.sol,78.26
278,ANRXToken.sol,78.26
287,ANRXToken.sol,78.26
296,ANRXToken.sol,78.26
306,ANRXToken.sol,78.26
314,ANRXToken.sol,78.26
324,ANRXToken.sol,78.26
333,ANRXToken.sol,78.26
342,ANRXToken.sol,78.26
351,ANRXToken.sol,78.26
359,ANRXToken.sol,78.26
368,ANRXToken.sol,78.26
377,ANRXToken.sol,78.26
387,ANRXToken.sol,78.26
396,ANRXToken.sol,78.26
405,ANRXToken.sol,78.26
414,ANRXToken.sol,78.26
424,ANRXToken.sol,78.26
433,ANRXToken.sol,78.26
442,ANRXToken.sol,78.26
451,ANRXToken.sol,78.26
466,ANRXToken.sol,78.26
480,ANRXToken.sol,78.26
493,ANRXToken.sol,78.26
508,ANRXToken.sol,78.26
521,ANRXToken.sol,78.26
534,ANRXToken.sol,78.26
549,ANRXToken.sol,78.26
562,ANRXToken.sol,78.26
578,ANRXToken.sol,78.26
592,ANRXToken.sol,78.26
606,ANRXToken.sol,78.26
620,ANRXToken.sol,78.26
636,ANRXToken.sol,78.26
650,ANRXToken.sol,78.26
663,ANRXToken.sol,78.26
678,ANRXToken.sol,78.26
690,ANRXToken.sol,78.26
706,ANRXToken.sol,78.26
720,ANRXToken.sol,78.26
731,ANRXToken.sol,78.26
745,ANRXToken.sol,78.26
756,ANRXToken.sol,78.26
770,ANRXToken.sol,78.26
783,ANRXToken.sol,78.26
797,ANRXToken.sol,78.26
810,ANRXToken.sol,78.26
825,ANRXToken.sol,78.26
838,ANRXToken.sol,78.26
850,ANRXToken.sol,78.26
864,ANRXToken.sol,78.26
876,ANRXToken.sol,78.26
888,ANRXToken.sol,78.26
901,ANRXToken.sol,78.26
915,ANRXToken.sol,78.26
927,ANRXToken.sol,78.26
941,ANRXToken.sol,78.26
954,ANRXToken.sol,78.26
968,ANRXToken.sol,78.26
983,ANRXToken.sol,78.26
999,ANRXToken.sol,78.26
1013,ANRXToken.sol,78.26
1026,ANRXToken.sol,78.26
1040,ANRXToken.sol,78.26
1056,ANRXToken.sol,78.26
1070,ANRXToken.sol,78.26
1084,ANRXToken.sol,78.26
1098,ANRXToken.sol,78.26
1113,ANRXToken.sol,78.26
1129,ANRXToken.sol,78.26
1145,ANRXToken.sol,78.26
1160,ANRXToken.sol,78.26
1175,ANRXToken.sol,78.26
1188,ANRXToken.sol,78.26
1204,ANRXToken.sol,78.26
1218,ANRXToken.sol,78.26
1227,ANRXToken.sol,78.26
1235,ANRXToken.sol,78.26
1244,ANRXToken.sol,78.26
1254,ANRXToken.sol,78.26
1264,ANRXToken.sol,78.26
1273,ANRXToken.sol,78.26
1281,ANRXToken.sol,78.26
1291,ANRXToken.sol,78.26
1300,ANRXToken.sol,78.26
1310,ANRXToken.sol,78.26
1318,ANRXToken.sol,78.26
1332,ANRXToken.sol,78.26
1346,ANRXToken.sol,78.26
1361,ANRXToken.sol,78.26
1377,ANRXToken.sol,78.26
1390,ANRXToken.sol,78.26
1405,ANRXToken.sol,78.26
1417,ANRXToken.sol,78.26
1433,ANRXToken.sol,78.26
1447,ANRXToken.sol,78.26
1462,ANRXToken.sol,78.26
1477,ANRXToken.sol,78.26
1491,ANRXToken.sol,78.26
1506,ANRXToken.sol,78.26
1521,ANRXToken.sol,78.26
1537,ANRXToken.sol,78.26
1551,ANRXToken.sol,78.26
1566,ANRXToken.sol,78.26
1582,ANRXToken.sol,78.26
1599,ANRXToken.sol,78.26
1616,ANRXToken.sol,78.26
1633,ANRXToken.sol,78.26
1647,ANRXToken.sol,78.26
1661,ANRXToken.sol,78.26
1677,ANRXToken.sol,78.26
1692,ANRXToken.sol,78.26
1706,ANRXToken.sol,78.26
1721,ANRXToken.sol,78.26
1734,ANRXToken.sol,78.26
1748,ANRXToken.sol,78.26
1765,ANRXToken.sol,78.26
1779,ANRXToken.sol,78.26
1795,ANRXToken.sol,78.26
1803,ANRXToken.sol,78.26
