TIME,SUBJECT,COVERAGE
0,GFC.sol,0
22,GFC.sol,36
44,GFC.sol,44
65,GFC.sol,48
80,GFC.sol,48
92,GFC.sol,48
106,GFC.sol,80
119,GFC.sol,80
133,GFC.sol,80
149,GFC.sol,80
168,GFC.sol,80
184,GFC.sol,80
202,GFC.sol,80
215,GFC.sol,80
230,GFC.sol,80
238,GFC.sol,80
249,GFC.sol,80
258,GFC.sol,80
269,GFC.sol,80
280,GFC.sol,80
289,GFC.sol,80
298,GFC.sol,80
310,GFC.sol,80
319,GFC.sol,80
329,GFC.sol,80
337,GFC.sol,80
348,GFC.sol,80
357,GFC.sol,80
371,GFC.sol,80
385,GFC.sol,92
399,GFC.sol,92
409,GFC.sol,92
419,GFC.sol,92
430,GFC.sol,92
441,GFC.sol,92
455,GFC.sol,92
469,GFC.sol,92
480,GFC.sol,92
493,GFC.sol,92
503,GFC.sol,92
514,GFC.sol,92
526,GFC.sol,92
538,GFC.sol,92
548,GFC.sol,92
560,GFC.sol,92
572,GFC.sol,92
583,GFC.sol,92
594,GFC.sol,92
605,GFC.sol,92
617,GFC.sol,92
629,GFC.sol,92
643,GFC.sol,92
656,GFC.sol,92
669,GFC.sol,92
679,GFC.sol,92
691,GFC.sol,92
705,GFC.sol,96
717,GFC.sol,96
727,GFC.sol,96
737,GFC.sol,96
749,GFC.sol,96
761,GFC.sol,96
774,GFC.sol,96
785,GFC.sol,96
797,GFC.sol,96
809,GFC.sol,96
820,GFC.sol,96
832,GFC.sol,96
843,GFC.sol,96
855,GFC.sol,96
863,GFC.sol,96
872,GFC.sol,96
881,GFC.sol,96
892,GFC.sol,96
902,GFC.sol,96
914,GFC.sol,96
922,GFC.sol,96
932,GFC.sol,96
943,GFC.sol,96
955,GFC.sol,96
967,GFC.sol,96
980,GFC.sol,96
992,GFC.sol,96
1004,GFC.sol,96
1017,GFC.sol,96
1030,GFC.sol,96
1044,GFC.sol,96
1055,GFC.sol,96
1065,GFC.sol,96
1077,GFC.sol,96
1089,GFC.sol,96
1104,GFC.sol,96
1114,GFC.sol,96
1126,GFC.sol,96
1137,GFC.sol,96
1151,GFC.sol,96
1163,GFC.sol,96
1176,GFC.sol,96
1187,GFC.sol,96
1198,GFC.sol,96
1211,GFC.sol,96
1221,GFC.sol,96
1229,GFC.sol,96
1238,GFC.sol,96
1247,GFC.sol,96
1256,GFC.sol,96
1266,GFC.sol,96
1277,GFC.sol,96
1287,GFC.sol,96
1297,GFC.sol,96
1306,GFC.sol,96
1314,GFC.sol,96
1326,GFC.sol,96
1348,GFC.sol,96
1363,GFC.sol,96
1374,GFC.sol,96
1384,GFC.sol,96
1395,GFC.sol,96
1409,GFC.sol,96
1421,GFC.sol,96
1432,GFC.sol,96
1442,GFC.sol,96
1453,GFC.sol,96
1464,GFC.sol,96
1476,GFC.sol,96
1485,GFC.sol,96
1495,GFC.sol,96
1503,GFC.sol,96
1513,GFC.sol,96
1522,GFC.sol,96
1531,GFC.sol,96
1544,GFC.sol,96
1554,GFC.sol,96
1563,GFC.sol,96
1574,GFC.sol,96
1589,GFC.sol,96
1606,GFC.sol,96
1617,GFC.sol,96
1627,GFC.sol,96
1640,GFC.sol,96
1649,GFC.sol,96
1662,GFC.sol,96
1672,GFC.sol,96
1681,GFC.sol,96
1690,GFC.sol,96
1704,GFC.sol,96
1716,GFC.sol,96
1728,GFC.sol,96
1738,GFC.sol,96
1750,GFC.sol,96
1766,GFC.sol,96
1779,GFC.sol,96
1793,GFC.sol,96
1801,GFC.sol,96
