TIME,SUBJECT,COVERAGE
0,Baz.sol,0
6,Baz.sol,90
11,Baz.sol,90
16,Baz.sol,90
20,Baz.sol,90
25,Baz.sol,90
31,Baz.sol,90
36,Baz.sol,90
41,Baz.sol,90
47,Baz.sol,90
51,Baz.sol,90
54,Baz.sol,90
57,Baz.sol,90
61,Baz.sol,90
65,Baz.sol,90
69,Baz.sol,90
73,Baz.sol,90
78,Baz.sol,90
83,Baz.sol,90
89,Baz.sol,90
96,Baz.sol,90
101,Baz.sol,90
106,Baz.sol,90
111,Baz.sol,90
117,Baz.sol,90
123,Baz.sol,90
126,Baz.sol,90
131,Baz.sol,90
136,Baz.sol,90
141,Baz.sol,90
145,Baz.sol,90
149,Baz.sol,90
153,Baz.sol,90
157,Baz.sol,90
160,Baz.sol,90
163,Baz.sol,90
166,Baz.sol,90
171,Baz.sol,90
176,Baz.sol,90
181,Baz.sol,90
186,Baz.sol,90
193,Baz.sol,90
199,Baz.sol,90
204,Baz.sol,90
209,Baz.sol,90
214,Baz.sol,90
219,Baz.sol,90
223,Baz.sol,90
227,Baz.sol,90
234,Baz.sol,100
