TIME,SUBJECT,COVERAGE
0,NAL.sol,0
26,NAL.sol,20
52,NAL.sol,20
76,NAL.sol,20
101,NAL.sol,20
126,NAL.sol,20
151,NAL.sol,20
177,NAL.sol,20
203,NAL.sol,20
230,NAL.sol,22.35
260,NAL.sol,28.82
291,NAL.sol,30
323,NAL.sol,34.12
357,NAL.sol,34.12
390,NAL.sol,34.12
424,NAL.sol,37.65
456,NAL.sol,44.12
491,NAL.sol,45.29
524,NAL.sol,48.82
558,NAL.sol,52.35
592,NAL.sol,52.35
625,NAL.sol,52.35
659,NAL.sol,52.35
695,NAL.sol,54.71
729,NAL.sol,54.71
764,NAL.sol,55.29
798,NAL.sol,55.29
832,NAL.sol,57.06
864,NAL.sol,59.41
898,NAL.sol,59.41
933,NAL.sol,59.41
967,NAL.sol,59.41
1000,NAL.sol,61.76
1035,NAL.sol,64.71
1069,NAL.sol,64.71
1102,NAL.sol,64.71
1137,NAL.sol,64.71
1171,NAL.sol,64.71
1205,NAL.sol,68.24
1239,NAL.sol,68.24
1273,NAL.sol,68.24
1307,NAL.sol,68.24
1340,NAL.sol,68.24
1375,NAL.sol,68.24
1409,NAL.sol,68.24
1444,NAL.sol,68.82
1479,NAL.sol,68.82
1514,NAL.sol,68.82
1548,NAL.sol,68.82
1584,NAL.sol,68.82
1618,NAL.sol,68.82
1653,NAL.sol,68.82
1687,NAL.sol,68.82
1720,NAL.sol,68.82
1753,NAL.sol,68.82
1785,NAL.sol,68.82
1800,NAL.sol,68.82
