TIME,SUBJECT,COVERAGE
0,ETFXPool.sol,0
26,ETFXPool.sol,18.18
53,ETFXPool.sol,22.73
78,ETFXPool.sol,25
106,ETFXPool.sol,35.23
136,ETFXPool.sol,40.91
163,ETFXPool.sol,40.91
193,ETFXPool.sol,43.18
221,ETFXPool.sol,44.32
250,ETFXPool.sol,44.32
280,ETFXPool.sol,45.45
310,ETFXPool.sol,46.59
339,ETFXPool.sol,47.73
366,ETFXPool.sol,47.73
395,ETFXPool.sol,47.73
422,ETFXPool.sol,47.73
451,ETFXPool.sol,47.73
479,ETFXPool.sol,47.73
505,ETFXPool.sol,47.73
534,ETFXPool.sol,47.73
564,ETFXPool.sol,48.86
593,ETFXPool.sol,48.86
622,ETFXPool.sol,48.86
650,ETFXPool.sol,48.86
677,ETFXPool.sol,48.86
707,ETFXPool.sol,48.86
736,ETFXPool.sol,48.86
766,ETFXPool.sol,48.86
793,ETFXPool.sol,48.86
824,ETFXPool.sol,48.86
852,ETFXPool.sol,48.86
881,ETFXPool.sol,48.86
910,ETFXPool.sol,48.86
940,ETFXPool.sol,48.86
968,ETFXPool.sol,50
995,ETFXPool.sol,50
1025,ETFXPool.sol,50
1055,ETFXPool.sol,50
1082,ETFXPool.sol,50
1112,ETFXPool.sol,50
1143,ETFXPool.sol,50
1171,ETFXPool.sol,50
1200,ETFXPool.sol,50
1230,ETFXPool.sol,50
1260,ETFXPool.sol,50
1289,ETFXPool.sol,50
1320,ETFXPool.sol,50
1349,ETFXPool.sol,50
1384,ETFXPool.sol,50
1421,ETFXPool.sol,50
1468,ETFXPool.sol,50
1504,ETFXPool.sol,50
1534,ETFXPool.sol,50
1559,ETFXPool.sol,50
1584,ETFXPool.sol,50
1611,ETFXPool.sol,50
1638,ETFXPool.sol,50
1664,ETFXPool.sol,50
1690,ETFXPool.sol,50
1717,ETFXPool.sol,50
1745,ETFXPool.sol,50
1774,ETFXPool.sol,50
1801,ETFXPool.sol,50
