TIME,SUBJECT,COVERAGE
0,KPLAY.sol,0
20,KPLAY.sol,25
44,KPLAY.sol,25
69,KPLAY.sol,28.33
86,KPLAY.sol,31.67
105,KPLAY.sol,31.67
130,KPLAY.sol,33.33
148,KPLAY.sol,38.33
166,KPLAY.sol,40
185,KPLAY.sol,40
204,KPLAY.sol,41.67
219,KPLAY.sol,43.33
237,KPLAY.sol,43.33
254,KPLAY.sol,43.33
272,KPLAY.sol,45
289,KPLAY.sol,45
309,KPLAY.sol,45
326,KPLAY.sol,48.33
344,KPLAY.sol,48.33
363,KPLAY.sol,48.33
381,KPLAY.sol,48.33
397,KPLAY.sol,48.33
418,KPLAY.sol,48.33
436,KPLAY.sol,48.33
454,KPLAY.sol,48.33
471,KPLAY.sol,48.33
489,KPLAY.sol,50
507,KPLAY.sol,50
525,KPLAY.sol,50
543,KPLAY.sol,51.67
561,KPLAY.sol,51.67
580,KPLAY.sol,51.67
600,KPLAY.sol,51.67
619,KPLAY.sol,51.67
637,KPLAY.sol,51.67
655,KPLAY.sol,51.67
673,KPLAY.sol,53.33
692,KPLAY.sol,53.33
709,KPLAY.sol,53.33
728,KPLAY.sol,53.33
747,KPLAY.sol,53.33
764,KPLAY.sol,53.33
782,KPLAY.sol,53.33
799,KPLAY.sol,53.33
817,KPLAY.sol,53.33
839,KPLAY.sol,53.33
859,KPLAY.sol,56.67
876,KPLAY.sol,56.67
895,KPLAY.sol,56.67
914,KPLAY.sol,56.67
932,KPLAY.sol,56.67
950,KPLAY.sol,56.67
968,KPLAY.sol,56.67
989,KPLAY.sol,58.33
1013,KPLAY.sol,58.33
1034,KPLAY.sol,58.33
1057,KPLAY.sol,58.33
1076,KPLAY.sol,61.67
1096,KPLAY.sol,61.67
1115,KPLAY.sol,61.67
1133,KPLAY.sol,61.67
1151,KPLAY.sol,61.67
1167,KPLAY.sol,61.67
1184,KPLAY.sol,61.67
1201,KPLAY.sol,61.67
1221,KPLAY.sol,61.67
1237,KPLAY.sol,61.67
1253,KPLAY.sol,61.67
1270,KPLAY.sol,61.67
1289,KPLAY.sol,61.67
1309,KPLAY.sol,61.67
1332,KPLAY.sol,61.67
1350,KPLAY.sol,61.67
1368,KPLAY.sol,61.67
1391,KPLAY.sol,61.67
1413,KPLAY.sol,61.67
1430,KPLAY.sol,61.67
1448,KPLAY.sol,61.67
1469,KPLAY.sol,61.67
1487,KPLAY.sol,61.67
1507,KPLAY.sol,61.67
1522,KPLAY.sol,61.67
1541,KPLAY.sol,61.67
1561,KPLAY.sol,63.33
1586,KPLAY.sol,63.33
1607,KPLAY.sol,63.33
1627,KPLAY.sol,63.33
1642,KPLAY.sol,63.33
1657,KPLAY.sol,63.33
1674,KPLAY.sol,63.33
1692,KPLAY.sol,63.33
1708,KPLAY.sol,63.33
1725,KPLAY.sol,63.33
1739,KPLAY.sol,63.33
1754,KPLAY.sol,63.33
1769,KPLAY.sol,63.33
1784,KPLAY.sol,63.33
1799,KPLAY.sol,63.33
1802,KPLAY.sol,63.33
