TIME,SUBJECT,COVERAGE
0,SLTDETHlpReward.sol,0
24,SLTDETHlpReward.sol,44.44
50,SLTDETHlpReward.sol,44.44
70,SLTDETHlpReward.sol,44.44
90,SLTDETHlpReward.sol,47.62
120,SLTDETHlpReward.sol,47.62
146,SLTDETHlpReward.sol,47.62
169,SLTDETHlpReward.sol,47.62
191,SLTDETHlpReward.sol,47.62
216,SLTDETHlpReward.sol,47.62
239,SLTDETHlpReward.sol,47.62
263,SLTDETHlpReward.sol,47.62
287,SLTDETHlpReward.sol,47.62
312,SLTDETHlpReward.sol,47.62
336,SLTDETHlpReward.sol,47.62
360,SLTDETHlpReward.sol,47.62
383,SLTDETHlpReward.sol,47.62
409,SLTDETHlpReward.sol,47.62
433,SLTDETHlpReward.sol,47.62
458,SLTDETHlpReward.sol,47.62
485,SLTDETHlpReward.sol,47.62
510,SLTDETHlpReward.sol,47.62
535,SLTDETHlpReward.sol,47.62
561,SLTDETHlpReward.sol,47.62
588,SLTDETHlpReward.sol,47.62
615,SLTDETHlpReward.sol,47.62
633,SLTDETHlpReward.sol,47.62
654,SLTDETHlpReward.sol,47.62
673,SLTDETHlpReward.sol,47.62
692,SLTDETHlpReward.sol,49.21
717,SLTDETHlpReward.sol,49.21
742,SLTDETHlpReward.sol,52.38
768,SLTDETHlpReward.sol,52.38
791,SLTDETHlpReward.sol,52.38
814,SLTDETHlpReward.sol,52.38
837,SLTDETHlpReward.sol,52.38
864,SLTDETHlpReward.sol,52.38
891,SLTDETHlpReward.sol,52.38
918,SLTDETHlpReward.sol,52.38
948,SLTDETHlpReward.sol,53.97
973,SLTDETHlpReward.sol,53.97
1000,SLTDETHlpReward.sol,55.56
1027,SLTDETHlpReward.sol,55.56
1053,SLTDETHlpReward.sol,55.56
1080,SLTDETHlpReward.sol,55.56
1106,SLTDETHlpReward.sol,55.56
1131,SLTDETHlpReward.sol,55.56
1154,SLTDETHlpReward.sol,55.56
1178,SLTDETHlpReward.sol,55.56
1205,SLTDETHlpReward.sol,55.56
1232,SLTDETHlpReward.sol,55.56
1259,SLTDETHlpReward.sol,55.56
1284,SLTDETHlpReward.sol,55.56
1311,SLTDETHlpReward.sol,55.56
1338,SLTDETHlpReward.sol,55.56
1363,SLTDETHlpReward.sol,55.56
1391,SLTDETHlpReward.sol,55.56
1418,SLTDETHlpReward.sol,55.56
1447,SLTDETHlpReward.sol,55.56
1475,SLTDETHlpReward.sol,55.56
1502,SLTDETHlpReward.sol,61.9
1533,SLTDETHlpReward.sol,61.9
1557,SLTDETHlpReward.sol,61.9
1584,SLTDETHlpReward.sol,61.9
1610,SLTDETHlpReward.sol,61.9
1635,SLTDETHlpReward.sol,61.9
1660,SLTDETHlpReward.sol,61.9
1689,SLTDETHlpReward.sol,61.9
1718,SLTDETHlpReward.sol,61.9
1746,SLTDETHlpReward.sol,61.9
1770,SLTDETHlpReward.sol,61.9
1793,SLTDETHlpReward.sol,61.9
1801,SLTDETHlpReward.sol,61.9
