TIME,SUBJECT,COVERAGE
0,DSP.sol,0
31,DSP.sol,17.07
55,DSP.sol,17.07
79,DSP.sol,17.07
105,DSP.sol,17.07
129,DSP.sol,20.73
159,DSP.sol,20.73
184,DSP.sol,20.73
210,DSP.sol,20.73
236,DSP.sol,26.83
265,DSP.sol,35.37
296,DSP.sol,35.37
328,DSP.sol,35.37
358,DSP.sol,37.8
388,DSP.sol,37.8
417,DSP.sol,37.8
449,DSP.sol,41.46
480,DSP.sol,41.46
511,DSP.sol,41.46
542,DSP.sol,43.9
574,DSP.sol,43.9
609,DSP.sol,48.78
642,DSP.sol,48.78
675,DSP.sol,48.78
707,DSP.sol,48.78
740,DSP.sol,50
772,DSP.sol,50
805,DSP.sol,50
838,DSP.sol,50
871,DSP.sol,50
903,DSP.sol,50
935,DSP.sol,51.22
967,DSP.sol,51.22
998,DSP.sol,51.22
1031,DSP.sol,51.22
1065,DSP.sol,51.22
1098,DSP.sol,51.22
1130,DSP.sol,52.44
1163,DSP.sol,52.44
1197,DSP.sol,52.44
1230,DSP.sol,52.44
1265,DSP.sol,54.88
1299,DSP.sol,57.32
1333,DSP.sol,57.32
1366,DSP.sol,57.32
1399,DSP.sol,57.32
1433,DSP.sol,57.32
1466,DSP.sol,57.32
1500,DSP.sol,57.32
1536,DSP.sol,57.32
1570,DSP.sol,57.32
1606,DSP.sol,57.32
1638,DSP.sol,57.32
1673,DSP.sol,57.32
1708,DSP.sol,57.32
1742,DSP.sol,57.32
1777,DSP.sol,58.54
1800,DSP.sol,58.54
