TIME,SUBJECT,COVERAGE
0,FairStockEquity.sol,0
19,FairStockEquity.sol,28.13
40,FairStockEquity.sol,28.13
61,FairStockEquity.sol,31.25
83,FairStockEquity.sol,50
102,FairStockEquity.sol,50
121,FairStockEquity.sol,50
139,FairStockEquity.sol,56.25
158,FairStockEquity.sol,56.25
177,FairStockEquity.sol,56.25
196,FairStockEquity.sol,59.38
217,FairStockEquity.sol,59.38
234,FairStockEquity.sol,59.38
252,FairStockEquity.sol,62.5
270,FairStockEquity.sol,62.5
288,FairStockEquity.sol,65.63
308,FairStockEquity.sol,65.63
325,FairStockEquity.sol,65.63
342,FairStockEquity.sol,65.63
361,FairStockEquity.sol,65.63
379,FairStockEquity.sol,65.63
398,FairStockEquity.sol,65.63
417,FairStockEquity.sol,65.63
437,FairStockEquity.sol,65.63
455,FairStockEquity.sol,65.63
475,FairStockEquity.sol,65.63
493,FairStockEquity.sol,65.63
510,FairStockEquity.sol,65.63
530,FairStockEquity.sol,65.63
546,FairStockEquity.sol,68.75
566,FairStockEquity.sol,68.75
584,FairStockEquity.sol,68.75
603,FairStockEquity.sol,68.75
622,FairStockEquity.sol,68.75
641,FairStockEquity.sol,68.75
660,FairStockEquity.sol,68.75
679,FairStockEquity.sol,68.75
698,FairStockEquity.sol,68.75
716,FairStockEquity.sol,68.75
734,FairStockEquity.sol,68.75
756,FairStockEquity.sol,68.75
772,FairStockEquity.sol,68.75
788,FairStockEquity.sol,68.75
806,FairStockEquity.sol,68.75
833,FairStockEquity.sol,68.75
856,FairStockEquity.sol,68.75
877,FairStockEquity.sol,68.75
897,FairStockEquity.sol,68.75
916,FairStockEquity.sol,68.75
935,FairStockEquity.sol,68.75
951,FairStockEquity.sol,68.75
970,FairStockEquity.sol,68.75
988,FairStockEquity.sol,71.88
1006,FairStockEquity.sol,71.88
1023,FairStockEquity.sol,71.88
1040,FairStockEquity.sol,71.88
1058,FairStockEquity.sol,71.88
1079,FairStockEquity.sol,71.88
1096,FairStockEquity.sol,71.88
1115,FairStockEquity.sol,71.88
1137,FairStockEquity.sol,71.88
1157,FairStockEquity.sol,71.88
1174,FairStockEquity.sol,71.88
1196,FairStockEquity.sol,71.88
1223,FairStockEquity.sol,71.88
1240,FairStockEquity.sol,71.88
1263,FairStockEquity.sol,71.88
1282,FairStockEquity.sol,75
1304,FairStockEquity.sol,75
1338,FairStockEquity.sol,75
1366,FairStockEquity.sol,75
1385,FairStockEquity.sol,75
1402,FairStockEquity.sol,75
1418,FairStockEquity.sol,75
1439,FairStockEquity.sol,75
1457,FairStockEquity.sol,75
1474,FairStockEquity.sol,75
1491,FairStockEquity.sol,75
1506,FairStockEquity.sol,75
1523,FairStockEquity.sol,75
1541,FairStockEquity.sol,75
1557,FairStockEquity.sol,75
1573,FairStockEquity.sol,75
1593,FairStockEquity.sol,75
1611,FairStockEquity.sol,75
1627,FairStockEquity.sol,75
1642,FairStockEquity.sol,75
1658,FairStockEquity.sol,75
1677,FairStockEquity.sol,75
1695,FairStockEquity.sol,75
1712,FairStockEquity.sol,75
1730,FairStockEquity.sol,75
1744,FairStockEquity.sol,75
1761,FairStockEquity.sol,75
1779,FairStockEquity.sol,75
1798,FairStockEquity.sol,75
1801,FairStockEquity.sol,75
