TIME,SUBJECT,COVERAGE
0,QuickToken.sol,0
11,QuickToken.sol,38.46
22,QuickToken.sol,38.46
37,QuickToken.sol,38.46
51,QuickToken.sol,38.46
68,QuickToken.sol,38.46
92,QuickToken.sol,66.15
108,QuickToken.sol,66.15
122,QuickToken.sol,66.15
134,QuickToken.sol,66.15
152,QuickToken.sol,66.15
170,QuickToken.sol,66.15
186,QuickToken.sol,66.15
197,QuickToken.sol,66.15
209,QuickToken.sol,66.15
223,QuickToken.sol,66.15
243,QuickToken.sol,66.15
263,QuickToken.sol,66.15
279,QuickToken.sol,66.15
295,QuickToken.sol,67.69
318,QuickToken.sol,67.69
330,QuickToken.sol,67.69
345,QuickToken.sol,67.69
359,QuickToken.sol,67.69
373,QuickToken.sol,67.69
384,QuickToken.sol,67.69
395,QuickToken.sol,67.69
404,QuickToken.sol,67.69
419,QuickToken.sol,67.69
435,QuickToken.sol,67.69
449,QuickToken.sol,67.69
463,QuickToken.sol,67.69
474,QuickToken.sol,67.69
484,QuickToken.sol,67.69
495,QuickToken.sol,67.69
505,QuickToken.sol,67.69
516,QuickToken.sol,67.69
526,QuickToken.sol,67.69
537,QuickToken.sol,67.69
548,QuickToken.sol,67.69
559,QuickToken.sol,67.69
570,QuickToken.sol,67.69
583,QuickToken.sol,67.69
597,QuickToken.sol,67.69
610,QuickToken.sol,67.69
621,QuickToken.sol,67.69
631,QuickToken.sol,67.69
643,QuickToken.sol,67.69
654,QuickToken.sol,67.69
664,QuickToken.sol,67.69
675,QuickToken.sol,67.69
687,QuickToken.sol,67.69
698,QuickToken.sol,67.69
708,QuickToken.sol,67.69
719,QuickToken.sol,67.69
729,QuickToken.sol,67.69
739,QuickToken.sol,67.69
750,QuickToken.sol,67.69
761,QuickToken.sol,67.69
771,QuickToken.sol,67.69
782,QuickToken.sol,67.69
793,QuickToken.sol,67.69
804,QuickToken.sol,67.69
814,QuickToken.sol,67.69
824,QuickToken.sol,67.69
837,QuickToken.sol,67.69
847,QuickToken.sol,67.69
860,QuickToken.sol,67.69
872,QuickToken.sol,67.69
884,QuickToken.sol,67.69
895,QuickToken.sol,67.69
904,QuickToken.sol,67.69
910,QuickToken.sol,67.69
918,QuickToken.sol,67.69
925,QuickToken.sol,67.69
937,QuickToken.sol,67.69
948,QuickToken.sol,67.69
967,QuickToken.sol,67.69
977,QuickToken.sol,67.69
989,QuickToken.sol,67.69
998,QuickToken.sol,67.69
1008,QuickToken.sol,67.69
1020,QuickToken.sol,67.69
1032,QuickToken.sol,67.69
1043,QuickToken.sol,67.69
1055,QuickToken.sol,67.69
1069,QuickToken.sol,67.69
1085,QuickToken.sol,67.69
1096,QuickToken.sol,67.69
1111,QuickToken.sol,67.69
1123,QuickToken.sol,67.69
1135,QuickToken.sol,67.69
1148,QuickToken.sol,67.69
1159,QuickToken.sol,67.69
1171,QuickToken.sol,67.69
1184,QuickToken.sol,67.69
1196,QuickToken.sol,67.69
1207,QuickToken.sol,67.69
1218,QuickToken.sol,67.69
1234,QuickToken.sol,67.69
1250,QuickToken.sol,67.69
1266,QuickToken.sol,67.69
1278,QuickToken.sol,67.69
1292,QuickToken.sol,67.69
1305,QuickToken.sol,67.69
1318,QuickToken.sol,67.69
1331,QuickToken.sol,67.69
1346,QuickToken.sol,67.69
1360,QuickToken.sol,67.69
1369,QuickToken.sol,67.69
1384,QuickToken.sol,67.69
1399,QuickToken.sol,67.69
1409,QuickToken.sol,67.69
1419,QuickToken.sol,67.69
1435,QuickToken.sol,67.69
1452,QuickToken.sol,67.69
1464,QuickToken.sol,67.69
1474,QuickToken.sol,67.69
1485,QuickToken.sol,67.69
1495,QuickToken.sol,67.69
1507,QuickToken.sol,67.69
1519,QuickToken.sol,67.69
1528,QuickToken.sol,67.69
1545,QuickToken.sol,67.69
1558,QuickToken.sol,67.69
1572,QuickToken.sol,67.69
1585,QuickToken.sol,67.69
1597,QuickToken.sol,67.69
1613,QuickToken.sol,67.69
1629,QuickToken.sol,67.69
1640,QuickToken.sol,67.69
1652,QuickToken.sol,67.69
1663,QuickToken.sol,67.69
1679,QuickToken.sol,67.69
1692,QuickToken.sol,67.69
1710,QuickToken.sol,67.69
1719,QuickToken.sol,67.69
1733,QuickToken.sol,67.69
1742,QuickToken.sol,67.69
1752,QuickToken.sol,67.69
1764,QuickToken.sol,67.69
1777,QuickToken.sol,67.69
1793,QuickToken.sol,67.69
1800,QuickToken.sol,67.69
