TIME,SUBJECT,COVERAGE
0,ThriftToken.sol,0
15,ThriftToken.sol,67.69
25,ThriftToken.sol,69.23
32,ThriftToken.sol,69.23
41,ThriftToken.sol,69.23
49,ThriftToken.sol,80
57,ThriftToken.sol,80
65,ThriftToken.sol,87.69
71,ThriftToken.sol,87.69
81,ThriftToken.sol,87.69
88,ThriftToken.sol,87.69
96,ThriftToken.sol,87.69
104,ThriftToken.sol,87.69
113,ThriftToken.sol,87.69
127,ThriftToken.sol,87.69
134,ThriftToken.sol,87.69
141,ThriftToken.sol,87.69
152,ThriftToken.sol,87.69
161,ThriftToken.sol,87.69
173,ThriftToken.sol,87.69
184,ThriftToken.sol,87.69
193,ThriftToken.sol,87.69
200,ThriftToken.sol,87.69
212,ThriftToken.sol,87.69
220,ThriftToken.sol,87.69
231,ThriftToken.sol,87.69
240,ThriftToken.sol,87.69
249,ThriftToken.sol,87.69
259,ThriftToken.sol,87.69
269,ThriftToken.sol,87.69
278,ThriftToken.sol,87.69
290,ThriftToken.sol,87.69
298,ThriftToken.sol,87.69
308,ThriftToken.sol,87.69
318,ThriftToken.sol,87.69
326,ThriftToken.sol,87.69
336,ThriftToken.sol,87.69
345,ThriftToken.sol,87.69
353,ThriftToken.sol,87.69
363,ThriftToken.sol,87.69
373,ThriftToken.sol,87.69
383,ThriftToken.sol,87.69
392,ThriftToken.sol,87.69
402,ThriftToken.sol,87.69
413,ThriftToken.sol,87.69
422,ThriftToken.sol,87.69
434,ThriftToken.sol,87.69
443,ThriftToken.sol,87.69
451,ThriftToken.sol,87.69
462,ThriftToken.sol,87.69
473,ThriftToken.sol,87.69
483,ThriftToken.sol,87.69
493,ThriftToken.sol,87.69
503,ThriftToken.sol,87.69
515,ThriftToken.sol,87.69
524,ThriftToken.sol,87.69
534,ThriftToken.sol,87.69
544,ThriftToken.sol,87.69
554,ThriftToken.sol,87.69
565,ThriftToken.sol,87.69
575,ThriftToken.sol,87.69
586,ThriftToken.sol,87.69
595,ThriftToken.sol,87.69
606,ThriftToken.sol,87.69
617,ThriftToken.sol,87.69
627,ThriftToken.sol,87.69
638,ThriftToken.sol,87.69
651,ThriftToken.sol,87.69
660,ThriftToken.sol,87.69
669,ThriftToken.sol,87.69
680,ThriftToken.sol,87.69
691,ThriftToken.sol,87.69
701,ThriftToken.sol,87.69
713,ThriftToken.sol,87.69
724,ThriftToken.sol,87.69
737,ThriftToken.sol,87.69
746,ThriftToken.sol,87.69
754,ThriftToken.sol,87.69
767,ThriftToken.sol,87.69
776,ThriftToken.sol,87.69
785,ThriftToken.sol,87.69
793,ThriftToken.sol,87.69
803,ThriftToken.sol,87.69
815,ThriftToken.sol,87.69
830,ThriftToken.sol,87.69
845,ThriftToken.sol,87.69
859,ThriftToken.sol,87.69
874,ThriftToken.sol,87.69
887,ThriftToken.sol,87.69
900,ThriftToken.sol,87.69
913,ThriftToken.sol,87.69
925,ThriftToken.sol,87.69
936,ThriftToken.sol,87.69
945,ThriftToken.sol,87.69
955,ThriftToken.sol,87.69
969,ThriftToken.sol,87.69
979,ThriftToken.sol,87.69
985,ThriftToken.sol,87.69
995,ThriftToken.sol,87.69
1005,ThriftToken.sol,87.69
1016,ThriftToken.sol,87.69
1029,ThriftToken.sol,87.69
1038,ThriftToken.sol,87.69
1047,ThriftToken.sol,87.69
1058,ThriftToken.sol,87.69
1067,ThriftToken.sol,87.69
1076,ThriftToken.sol,87.69
1086,ThriftToken.sol,87.69
1095,ThriftToken.sol,87.69
1105,ThriftToken.sol,87.69
1116,ThriftToken.sol,87.69
1124,ThriftToken.sol,87.69
1136,ThriftToken.sol,87.69
1150,ThriftToken.sol,87.69
1160,ThriftToken.sol,87.69
1171,ThriftToken.sol,87.69
1179,ThriftToken.sol,87.69
1190,ThriftToken.sol,87.69
1205,ThriftToken.sol,87.69
1220,ThriftToken.sol,87.69
1233,ThriftToken.sol,87.69
1242,ThriftToken.sol,87.69
1251,ThriftToken.sol,87.69
1263,ThriftToken.sol,87.69
1278,ThriftToken.sol,87.69
1291,ThriftToken.sol,87.69
1299,ThriftToken.sol,87.69
1311,ThriftToken.sol,87.69
1320,ThriftToken.sol,87.69
1330,ThriftToken.sol,87.69
1340,ThriftToken.sol,87.69
1350,ThriftToken.sol,87.69
1362,ThriftToken.sol,87.69
1373,ThriftToken.sol,87.69
1388,ThriftToken.sol,87.69
1404,ThriftToken.sol,87.69
1419,ThriftToken.sol,87.69
1434,ThriftToken.sol,87.69
1446,ThriftToken.sol,87.69
1456,ThriftToken.sol,87.69
1462,ThriftToken.sol,87.69
1477,ThriftToken.sol,87.69
1491,ThriftToken.sol,87.69
1503,ThriftToken.sol,87.69
1516,ThriftToken.sol,87.69
1532,ThriftToken.sol,87.69
1542,ThriftToken.sol,87.69
1552,ThriftToken.sol,87.69
1567,ThriftToken.sol,87.69
1581,ThriftToken.sol,87.69
1590,ThriftToken.sol,87.69
1599,ThriftToken.sol,87.69
1609,ThriftToken.sol,87.69
1621,ThriftToken.sol,87.69
1634,ThriftToken.sol,87.69
1646,ThriftToken.sol,87.69
1660,ThriftToken.sol,87.69
1669,ThriftToken.sol,87.69
1680,ThriftToken.sol,87.69
1688,ThriftToken.sol,87.69
1697,ThriftToken.sol,87.69
1713,ThriftToken.sol,87.69
1727,ThriftToken.sol,87.69
1740,ThriftToken.sol,87.69
1751,ThriftToken.sol,87.69
1764,ThriftToken.sol,87.69
1775,ThriftToken.sol,87.69
1787,ThriftToken.sol,87.69
1796,ThriftToken.sol,87.69
1801,ThriftToken.sol,87.69
