TIME,SUBJECT,COVERAGE
0,BancorV2_ZapIn_General_V1_1.sol,0
33,BancorV2_ZapIn_General_V1_1.sol,18.49
70,BancorV2_ZapIn_General_V1_1.sol,18.49
107,BancorV2_ZapIn_General_V1_1.sol,18.49
145,BancorV2_ZapIn_General_V1_1.sol,18.49
183,BancorV2_ZapIn_General_V1_1.sol,23.53
222,BancorV2_ZapIn_General_V1_1.sol,23.53
262,BancorV2_ZapIn_General_V1_1.sol,23.53
301,BancorV2_ZapIn_General_V1_1.sol,26.89
339,BancorV2_ZapIn_General_V1_1.sol,26.89
379,BancorV2_ZapIn_General_V1_1.sol,26.89
418,BancorV2_ZapIn_General_V1_1.sol,26.89
457,BancorV2_ZapIn_General_V1_1.sol,26.89
498,BancorV2_ZapIn_General_V1_1.sol,26.89
537,BancorV2_ZapIn_General_V1_1.sol,26.89
575,BancorV2_ZapIn_General_V1_1.sol,26.89
614,BancorV2_ZapIn_General_V1_1.sol,26.89
654,BancorV2_ZapIn_General_V1_1.sol,26.89
695,BancorV2_ZapIn_General_V1_1.sol,26.89
735,BancorV2_ZapIn_General_V1_1.sol,26.89
775,BancorV2_ZapIn_General_V1_1.sol,26.89
814,BancorV2_ZapIn_General_V1_1.sol,26.89
854,BancorV2_ZapIn_General_V1_1.sol,26.89
894,BancorV2_ZapIn_General_V1_1.sol,26.89
932,BancorV2_ZapIn_General_V1_1.sol,26.89
972,BancorV2_ZapIn_General_V1_1.sol,26.89
1012,BancorV2_ZapIn_General_V1_1.sol,26.89
1052,BancorV2_ZapIn_General_V1_1.sol,26.89
1092,BancorV2_ZapIn_General_V1_1.sol,26.89
1132,BancorV2_ZapIn_General_V1_1.sol,26.89
1172,BancorV2_ZapIn_General_V1_1.sol,29.41
1212,BancorV2_ZapIn_General_V1_1.sol,29.41
1252,BancorV2_ZapIn_General_V1_1.sol,29.41
1294,BancorV2_ZapIn_General_V1_1.sol,29.41
1334,BancorV2_ZapIn_General_V1_1.sol,29.41
1373,BancorV2_ZapIn_General_V1_1.sol,29.41
1413,BancorV2_ZapIn_General_V1_1.sol,29.41
1454,BancorV2_ZapIn_General_V1_1.sol,29.41
1495,BancorV2_ZapIn_General_V1_1.sol,29.41
1535,BancorV2_ZapIn_General_V1_1.sol,29.41
1576,BancorV2_ZapIn_General_V1_1.sol,29.41
1616,BancorV2_ZapIn_General_V1_1.sol,29.41
1655,BancorV2_ZapIn_General_V1_1.sol,29.41
1696,BancorV2_ZapIn_General_V1_1.sol,29.41
1735,BancorV2_ZapIn_General_V1_1.sol,29.41
1775,BancorV2_ZapIn_General_V1_1.sol,29.41
1801,BancorV2_ZapIn_General_V1_1.sol,29.41
