TIME,SUBJECT,COVERAGE
0,DMONDETHRewards.sol,0
20,DMONDETHRewards.sol,33.33
42,DMONDETHRewards.sol,44.44
64,DMONDETHRewards.sol,44.44
86,DMONDETHRewards.sol,44.44
108,DMONDETHRewards.sol,44.44
129,DMONDETHRewards.sol,44.44
150,DMONDETHRewards.sol,44.44
172,DMONDETHRewards.sol,46.03
194,DMONDETHRewards.sol,46.03
215,DMONDETHRewards.sol,46.03
237,DMONDETHRewards.sol,47.62
259,DMONDETHRewards.sol,50.79
280,DMONDETHRewards.sol,52.38
301,DMONDETHRewards.sol,52.38
323,DMONDETHRewards.sol,52.38
343,DMONDETHRewards.sol,52.38
365,DMONDETHRewards.sol,52.38
386,DMONDETHRewards.sol,52.38
408,DMONDETHRewards.sol,58.73
429,DMONDETHRewards.sol,58.73
451,DMONDETHRewards.sol,58.73
474,DMONDETHRewards.sol,58.73
495,DMONDETHRewards.sol,60.32
517,DMONDETHRewards.sol,60.32
538,DMONDETHRewards.sol,60.32
560,DMONDETHRewards.sol,60.32
581,DMONDETHRewards.sol,60.32
604,DMONDETHRewards.sol,60.32
625,DMONDETHRewards.sol,60.32
646,DMONDETHRewards.sol,60.32
668,DMONDETHRewards.sol,60.32
689,DMONDETHRewards.sol,60.32
710,DMONDETHRewards.sol,60.32
732,DMONDETHRewards.sol,60.32
753,DMONDETHRewards.sol,60.32
775,DMONDETHRewards.sol,60.32
796,DMONDETHRewards.sol,60.32
817,DMONDETHRewards.sol,60.32
839,DMONDETHRewards.sol,60.32
859,DMONDETHRewards.sol,60.32
881,DMONDETHRewards.sol,60.32
901,DMONDETHRewards.sol,60.32
923,DMONDETHRewards.sol,60.32
943,DMONDETHRewards.sol,60.32
964,DMONDETHRewards.sol,60.32
985,DMONDETHRewards.sol,60.32
1006,DMONDETHRewards.sol,60.32
1026,DMONDETHRewards.sol,60.32
1048,DMONDETHRewards.sol,61.9
1070,DMONDETHRewards.sol,61.9
1090,DMONDETHRewards.sol,61.9
1112,DMONDETHRewards.sol,61.9
1132,DMONDETHRewards.sol,61.9
1153,DMONDETHRewards.sol,61.9
1178,DMONDETHRewards.sol,61.9
1201,DMONDETHRewards.sol,61.9
1224,DMONDETHRewards.sol,61.9
1245,DMONDETHRewards.sol,61.9
1267,DMONDETHRewards.sol,61.9
1287,DMONDETHRewards.sol,61.9
1308,DMONDETHRewards.sol,61.9
1329,DMONDETHRewards.sol,61.9
1349,DMONDETHRewards.sol,61.9
1371,DMONDETHRewards.sol,61.9
1391,DMONDETHRewards.sol,61.9
1411,DMONDETHRewards.sol,61.9
1431,DMONDETHRewards.sol,61.9
1451,DMONDETHRewards.sol,61.9
1472,DMONDETHRewards.sol,61.9
1493,DMONDETHRewards.sol,61.9
1513,DMONDETHRewards.sol,61.9
1535,DMONDETHRewards.sol,61.9
1556,DMONDETHRewards.sol,61.9
1577,DMONDETHRewards.sol,61.9
1600,DMONDETHRewards.sol,61.9
1623,DMONDETHRewards.sol,61.9
1643,DMONDETHRewards.sol,61.9
1664,DMONDETHRewards.sol,61.9
1685,DMONDETHRewards.sol,61.9
1705,DMONDETHRewards.sol,61.9
1725,DMONDETHRewards.sol,61.9
1745,DMONDETHRewards.sol,61.9
1765,DMONDETHRewards.sol,61.9
1784,DMONDETHRewards.sol,61.9
1801,DMONDETHRewards.sol,61.9
