TIME,SUBJECT,COVERAGE
0,BACMARSLPTOKENPool.sol,0
29,BACMARSLPTOKENPool.sol,22.95
54,BACMARSLPTOKENPool.sol,22.95
71,BACMARSLPTOKENPool.sol,24.59
90,BACMARSLPTOKENPool.sol,26.23
111,BACMARSLPTOKENPool.sol,27.87
133,BACMARSLPTOKENPool.sol,31.15
156,BACMARSLPTOKENPool.sol,37.7
179,BACMARSLPTOKENPool.sol,37.7
201,BACMARSLPTOKENPool.sol,37.7
223,BACMARSLPTOKENPool.sol,37.7
245,BACMARSLPTOKENPool.sol,37.7
267,BACMARSLPTOKENPool.sol,37.7
290,BACMARSLPTOKENPool.sol,37.7
312,BACMARSLPTOKENPool.sol,37.7
334,BACMARSLPTOKENPool.sol,39.34
356,BACMARSLPTOKENPool.sol,39.34
378,BACMARSLPTOKENPool.sol,39.34
400,BACMARSLPTOKENPool.sol,39.34
420,BACMARSLPTOKENPool.sol,39.34
442,BACMARSLPTOKENPool.sol,39.34
463,BACMARSLPTOKENPool.sol,39.34
485,BACMARSLPTOKENPool.sol,39.34
507,BACMARSLPTOKENPool.sol,39.34
529,BACMARSLPTOKENPool.sol,39.34
552,BACMARSLPTOKENPool.sol,39.34
574,BACMARSLPTOKENPool.sol,39.34
596,BACMARSLPTOKENPool.sol,39.34
619,BACMARSLPTOKENPool.sol,39.34
642,BACMARSLPTOKENPool.sol,39.34
664,BACMARSLPTOKENPool.sol,39.34
687,BACMARSLPTOKENPool.sol,39.34
710,BACMARSLPTOKENPool.sol,39.34
732,BACMARSLPTOKENPool.sol,39.34
753,BACMARSLPTOKENPool.sol,39.34
776,BACMARSLPTOKENPool.sol,39.34
798,BACMARSLPTOKENPool.sol,39.34
821,BACMARSLPTOKENPool.sol,39.34
843,BACMARSLPTOKENPool.sol,39.34
865,BACMARSLPTOKENPool.sol,39.34
887,BACMARSLPTOKENPool.sol,39.34
909,BACMARSLPTOKENPool.sol,39.34
932,BACMARSLPTOKENPool.sol,39.34
954,BACMARSLPTOKENPool.sol,39.34
976,BACMARSLPTOKENPool.sol,39.34
998,BACMARSLPTOKENPool.sol,39.34
1021,BACMARSLPTOKENPool.sol,39.34
1043,BACMARSLPTOKENPool.sol,39.34
1066,BACMARSLPTOKENPool.sol,39.34
1089,BACMARSLPTOKENPool.sol,39.34
1112,BACMARSLPTOKENPool.sol,39.34
1135,BACMARSLPTOKENPool.sol,39.34
1156,BACMARSLPTOKENPool.sol,39.34
1177,BACMARSLPTOKENPool.sol,39.34
1200,BACMARSLPTOKENPool.sol,39.34
1223,BACMARSLPTOKENPool.sol,39.34
1245,BACMARSLPTOKENPool.sol,39.34
1267,BACMARSLPTOKENPool.sol,39.34
1291,BACMARSLPTOKENPool.sol,39.34
1313,BACMARSLPTOKENPool.sol,39.34
1337,BACMARSLPTOKENPool.sol,44.26
1360,BACMARSLPTOKENPool.sol,44.26
1382,BACMARSLPTOKENPool.sol,44.26
1404,BACMARSLPTOKENPool.sol,44.26
1426,BACMARSLPTOKENPool.sol,44.26
1449,BACMARSLPTOKENPool.sol,44.26
1471,BACMARSLPTOKENPool.sol,44.26
1494,BACMARSLPTOKENPool.sol,44.26
1517,BACMARSLPTOKENPool.sol,44.26
1540,BACMARSLPTOKENPool.sol,44.26
1562,BACMARSLPTOKENPool.sol,44.26
1586,BACMARSLPTOKENPool.sol,44.26
1610,BACMARSLPTOKENPool.sol,44.26
1632,BACMARSLPTOKENPool.sol,44.26
1655,BACMARSLPTOKENPool.sol,44.26
1677,BACMARSLPTOKENPool.sol,44.26
1700,BACMARSLPTOKENPool.sol,44.26
1723,BACMARSLPTOKENPool.sol,44.26
1745,BACMARSLPTOKENPool.sol,44.26
1769,BACMARSLPTOKENPool.sol,44.26
1791,BACMARSLPTOKENPool.sol,44.26
1800,BACMARSLPTOKENPool.sol,44.26
