TIME,SUBJECT,COVERAGE
0,DJCoin.sol,0
12,DJCoin.sol,52.31
23,DJCoin.sol,53.85
34,DJCoin.sol,53.85
44,DJCoin.sol,53.85
57,DJCoin.sol,53.85
67,DJCoin.sol,61.54
78,DJCoin.sol,66.15
91,DJCoin.sol,66.15
107,DJCoin.sol,66.15
122,DJCoin.sol,73.85
133,DJCoin.sol,73.85
144,DJCoin.sol,73.85
153,DJCoin.sol,73.85
164,DJCoin.sol,73.85
174,DJCoin.sol,73.85
184,DJCoin.sol,73.85
195,DJCoin.sol,73.85
204,DJCoin.sol,73.85
215,DJCoin.sol,73.85
225,DJCoin.sol,73.85
235,DJCoin.sol,73.85
246,DJCoin.sol,78.46
257,DJCoin.sol,78.46
267,DJCoin.sol,78.46
277,DJCoin.sol,78.46
288,DJCoin.sol,78.46
298,DJCoin.sol,78.46
308,DJCoin.sol,78.46
319,DJCoin.sol,78.46
328,DJCoin.sol,78.46
338,DJCoin.sol,78.46
347,DJCoin.sol,78.46
357,DJCoin.sol,78.46
367,DJCoin.sol,78.46
376,DJCoin.sol,78.46
386,DJCoin.sol,78.46
397,DJCoin.sol,78.46
408,DJCoin.sol,78.46
419,DJCoin.sol,78.46
429,DJCoin.sol,78.46
439,DJCoin.sol,78.46
450,DJCoin.sol,78.46
461,DJCoin.sol,78.46
471,DJCoin.sol,78.46
481,DJCoin.sol,78.46
492,DJCoin.sol,78.46
502,DJCoin.sol,78.46
514,DJCoin.sol,78.46
525,DJCoin.sol,78.46
537,DJCoin.sol,78.46
549,DJCoin.sol,78.46
559,DJCoin.sol,78.46
569,DJCoin.sol,78.46
578,DJCoin.sol,78.46
588,DJCoin.sol,78.46
597,DJCoin.sol,78.46
607,DJCoin.sol,78.46
617,DJCoin.sol,78.46
626,DJCoin.sol,78.46
636,DJCoin.sol,78.46
645,DJCoin.sol,78.46
654,DJCoin.sol,80
665,DJCoin.sol,80
675,DJCoin.sol,80
685,DJCoin.sol,80
694,DJCoin.sol,80
705,DJCoin.sol,80
718,DJCoin.sol,80
731,DJCoin.sol,80
743,DJCoin.sol,80
755,DJCoin.sol,80
766,DJCoin.sol,80
776,DJCoin.sol,80
787,DJCoin.sol,80
799,DJCoin.sol,80
810,DJCoin.sol,80
823,DJCoin.sol,80
834,DJCoin.sol,80
847,DJCoin.sol,80
858,DJCoin.sol,80
870,DJCoin.sol,80
883,DJCoin.sol,80
895,DJCoin.sol,80
906,DJCoin.sol,80
918,DJCoin.sol,80
929,DJCoin.sol,80
941,DJCoin.sol,80
953,DJCoin.sol,80
964,DJCoin.sol,80
975,DJCoin.sol,80
986,DJCoin.sol,80
999,DJCoin.sol,80
1011,DJCoin.sol,80
1023,DJCoin.sol,80
1034,DJCoin.sol,80
1045,DJCoin.sol,80
1059,DJCoin.sol,80
1070,DJCoin.sol,80
1084,DJCoin.sol,80
1095,DJCoin.sol,80
1106,DJCoin.sol,80
1116,DJCoin.sol,80
1125,DJCoin.sol,80
1137,DJCoin.sol,80
1150,DJCoin.sol,80
1162,DJCoin.sol,80
1172,DJCoin.sol,80
1184,DJCoin.sol,80
1195,DJCoin.sol,80
1207,DJCoin.sol,80
1219,DJCoin.sol,80
1231,DJCoin.sol,80
1242,DJCoin.sol,80
1254,DJCoin.sol,80
1265,DJCoin.sol,80
1277,DJCoin.sol,80
1288,DJCoin.sol,80
1299,DJCoin.sol,80
1313,DJCoin.sol,80
1324,DJCoin.sol,80
1335,DJCoin.sol,80
1347,DJCoin.sol,80
1358,DJCoin.sol,80
1368,DJCoin.sol,80
1379,DJCoin.sol,80
1389,DJCoin.sol,80
1399,DJCoin.sol,80
1410,DJCoin.sol,80
1421,DJCoin.sol,80
1430,DJCoin.sol,80
1439,DJCoin.sol,80
1452,DJCoin.sol,80
1464,DJCoin.sol,80
1477,DJCoin.sol,80
1490,DJCoin.sol,80
1502,DJCoin.sol,80
1515,DJCoin.sol,80
1533,DJCoin.sol,80
1547,DJCoin.sol,80
1561,DJCoin.sol,80
1583,DJCoin.sol,80
1598,DJCoin.sol,80
1615,DJCoin.sol,80
1629,DJCoin.sol,80
1646,DJCoin.sol,80
1658,DJCoin.sol,80
1668,DJCoin.sol,80
1679,DJCoin.sol,80
1698,DJCoin.sol,80
1711,DJCoin.sol,80
1725,DJCoin.sol,80
1744,DJCoin.sol,80
1764,DJCoin.sol,80
1781,DJCoin.sol,80
1798,DJCoin.sol,80
1800,DJCoin.sol,80
