TIME,SUBJECT,COVERAGE
0,Reentrance.sol,0
9,Reentrance.sol,30.77
16,Reentrance.sol,30.77
25,Reentrance.sol,30.77
32,Reentrance.sol,30.77
41,Reentrance.sol,30.77
49,Reentrance.sol,30.77
56,Reentrance.sol,30.77
63,Reentrance.sol,30.77
71,Reentrance.sol,30.77
81,Reentrance.sol,30.77
87,Reentrance.sol,30.77
97,Reentrance.sol,30.77
107,Reentrance.sol,30.77
114,Reentrance.sol,30.77
122,Reentrance.sol,30.77
129,Reentrance.sol,30.77
142,Reentrance.sol,30.77
151,Reentrance.sol,30.77
158,Reentrance.sol,30.77
169,Reentrance.sol,30.77
176,Reentrance.sol,30.77
186,Reentrance.sol,30.77
195,Reentrance.sol,30.77
205,Reentrance.sol,30.77
219,Reentrance.sol,30.77
231,Reentrance.sol,30.77
241,Reentrance.sol,30.77
253,Reentrance.sol,30.77
261,Reentrance.sol,30.77
271,Reentrance.sol,30.77
279,Reentrance.sol,30.77
286,Reentrance.sol,30.77
294,Reentrance.sol,30.77
301,Reentrance.sol,30.77
315,Reentrance.sol,30.77
326,Reentrance.sol,30.77
337,Reentrance.sol,30.77
348,Reentrance.sol,30.77
360,Reentrance.sol,30.77
371,Reentrance.sol,30.77
382,Reentrance.sol,30.77
395,Reentrance.sol,30.77
403,Reentrance.sol,30.77
414,Reentrance.sol,30.77
420,Reentrance.sol,30.77
432,Reentrance.sol,30.77
444,Reentrance.sol,30.77
455,Reentrance.sol,30.77
468,Reentrance.sol,30.77
482,Reentrance.sol,30.77
492,Reentrance.sol,30.77
498,Reentrance.sol,30.77
509,Reentrance.sol,30.77
517,Reentrance.sol,30.77
529,Reentrance.sol,30.77
543,Reentrance.sol,30.77
555,Reentrance.sol,30.77
566,Reentrance.sol,30.77
575,Reentrance.sol,30.77
582,Reentrance.sol,30.77
593,Reentrance.sol,30.77
607,Reentrance.sol,30.77
615,Reentrance.sol,30.77
627,Reentrance.sol,30.77
636,Reentrance.sol,30.77
646,Reentrance.sol,30.77
653,Reentrance.sol,30.77
660,Reentrance.sol,30.77
668,Reentrance.sol,30.77
678,Reentrance.sol,30.77
689,Reentrance.sol,30.77
702,Reentrance.sol,30.77
710,Reentrance.sol,30.77
717,Reentrance.sol,30.77
723,Reentrance.sol,30.77
733,Reentrance.sol,30.77
742,Reentrance.sol,30.77
751,Reentrance.sol,30.77
758,Reentrance.sol,30.77
768,Reentrance.sol,30.77
775,Reentrance.sol,30.77
786,Reentrance.sol,30.77
797,Reentrance.sol,30.77
804,Reentrance.sol,30.77
